規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
100～499人,サービス業（他に分類されないもの）,403066,-,87.3,87.2,1.39,-
500人以上,調査産業計,937795,11.5,89.5,92.6,2.14,0.19
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,770521,13.6,100,100,1.77,0.33
500人以上,製造業,1110186,6.1,97.8,97.8,2.47,0.09
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,891392,6.4,92.7,97.7,2.18,0.09
500人以上,運輸業，郵便業,876209,12,78.4,69.4,2.16,0.1
500人以上,卸売業，小売業,1251505,18.3,91.2,93.8,2.4,0.4
500人以上,"金融業,保険業",1060961,0.7,92.6,92.2,2.17,0
500人以上,不動産業，物品賃貸業,748546,-,88.9,88.9,1.77,-
500人以上,学術研究，専門・技術サービス業,866705,-,66.7,79.5,1.67,-
500人以上,宿泊業，飲食サービス業,333900,-,66.7,71.4,1.12,-
500人以上,生活関連サービス業，娯楽業,439192,-,100,100,1.39,-
500人以上,教育，学習支援業,834558,1.2,95.5,96.5,2.18,-0.01
500人以上,医療，福祉,533335,-12.9,100,100,1.48,-0.19
500人以上,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,サービス業（他に分類されないもの）,638120,-,50.7,56.5,1.65,-
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
平成22年から平成19年11月改定の日本標準産業分類による表章に変更しています。平成21年以前と接続しない産業の前年比等については算出できないため、「－」と表記しています。,,,,,,,
