区分１,区分２,該当数計,割合計,睡眠不足になった該当数,睡眠不足になった割合,視力が落ちた該当数,視力が落ちた割合,猫背になったり、巻き肩になるなど、姿勢が悪くなった該当数,猫背になったり、巻き肩になるなど、姿勢が悪くなった割合,肩こりや頭痛、めまい等の不調を訴えるようになった該当数,肩こりや頭痛、めまい等の不調を訴えるようになった割合,勉強に集中できなくなったり、記憶力がさがったりした該当数,勉強に集中できなくなったり、記憶力がさがったりした割合,成績が下がった該当数,成績が下がった割合,その他該当数,その他割合,悪影響は特にない該当数,悪影響は特にない割合
利用制限サービスの加入状況別,わからない,85,100.0,18,21.2,18,21.2,16,18.8,10,11.8,18,21.2,17,20.0,1,1.2,42,49.4
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,44,7.7,50,8.7,34,5.9,14,2.4,43,7.5,28,4.9,7,1.2,443,77.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,144,21.4,126,18.7,82,12.2,31,4.6,132,19.6,91,13.5,13,1.9,320,47.5
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,43,25.3,41,24.1,29,17.1,14,8.2,37,21.8,30,17.6,4,2.4,69,40.6
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,7,9.6,8,11.0,5,6.8,1,1.4,2,2.7,4,5.5,2,2.7,54,74.0
利用状況の管理状態別,その他,9,100.0,3,33.3,1,11.1,1,11.1,2,22.2,3,33.3,2,22.2,0,0.0,5,55.6
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,102,18.3,96,17.2,64,11.5,16,2.9,71,12.7,62,11.1,11,2.0,318,57.0
説明・学習経験別,インターネットで調べた,505,100.0,86,17.0,84,16.6,62,12.3,22,4.4,82,16.2,57,11.3,10,2.0,280,55.4
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,98,18.0,97,17.9,68,12.5,29,5.3,87,16.0,64,11.8,14,2.6,300,55.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,58,16.8,61,17.6,39,11.3,19,5.5,52,15.0,40,11.6,10,2.9,193,55.8
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,8,13.6,19,32.2,11,18.6,3,5.1,11,18.6,6,10.2,0,0.0,29,49.2
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,8,9.1,13,14.8,14,15.9,5,5.7,16,18.2,13,14.8,2,2.3,51,58.0
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,2,9.5,3,14.3,3,14.3,1,4.8,4,19.0,3,14.3,1,4.8,10,47.6
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,44,13.2,26,7.8,22,6.6,11,3.3,41,12.3,26,7.8,2,0.6,242,72.5
説明・学習経験別,その他,11,100.0,2,18.2,0,0.0,0,0.0,0,0.0,2,18.2,0,0.0,3,27.3,7,63.6
