区分１,区分２,該当数計,割合計,高額のゲーム代（アイテム購入代など）の請求が届いた該当数,高額のゲーム代（アイテム購入代など）の請求が届いた割合,アイテム交換等をすると言ってだまされた該当数,アイテム交換等をすると言ってだまされた割合,個人情報を知られた（盗まれた）該当数,個人情報を知られた（盗まれた）割合,掲示板等に個人の誹謗中傷などの書き込みをされた該当数,掲示板等に個人の誹謗中傷などの書き込みをされた割合,使い過ぎによる体調不良や成績の落ち込み該当数,使い過ぎによる体調不良や成績の落ち込み割合,その他該当数,その他割合
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,6,100.0,0,0.0,1,16.7,1,16.7,2,33.3,3,50.0,1,16.7
利用状況の管理状態別,子供の利用状況に関心がない,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,その他,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,20,100.0,5,25.0,3,15.0,2,10.0,2,10.0,10,50.0,3,15.0
説明・学習経験別,インターネットで調べた,33,100.0,9,27.3,8,24.2,3,9.1,4,12.1,14,42.4,1,3.0
説明・学習経験別,学校から配布される資料等を読んだ,27,100.0,5,18.5,4,14.8,2,7.4,5,18.5,14,519,4,14.8
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,18,100.0,3,16.7,3,16.7,2,11.1,3,16.7,11,61.1,2,11.1
説明・学習経験別,知識のある知人から説明を受けた,7,100.0,2,28.6,3,42.9,2,28.6,1,14.3,2,28.6,1,14.3
説明・学習経験別,販売店等から詳しく説明をうけた,5,100.0,2,40.0,2,40.0,0,0.0,0,0.0,1,20.0,1,20.0
説明・学習経験別,公共施設などで開催された講座に参加した,3,100.0,0,.0,1,33.3,0,0.0,0,0.0,2,66.7,1,33.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,4,100.0,1,25.0,0,0.0,1,25.0,2,50.0,1,25.0,0,0.0
説明・学習経験別,その他,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
