区分１,区分２,該当数計,割合計,使い方は個人の問題だから該当数,使い方は個人の問題だから割合,家庭のルールがあれば十分だ該当数,家庭のルールがあれば十分だ割合,子供同士でルールを決めても守らないと思う該当数,子供同士でルールを決めても守らないと思う割合,友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う該当数,友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う割合,ルールで子供をしばりたくない該当数,ルールで子供をしばりたくない割合,子供同士も失敗の中で経験を積むべきだ該当数,子供同士も失敗の中で経験を積むべきだ割合,その他該当数,その他割合
利用制限サービスの加入状況別,わからない,33,100.0,22,66.7,10,30.3,3,9.1,5,15.2,0,0.0,4,12.1,2,6.1
利用状況の管理状態別,利用状況の把握及び監督もできている,131,100.0,65,49.6,58,44.3,13,9.9,15,11.5,7,5.3,17,13.0,9,6.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,141,100.0,78,55.3,39,27.7,24,17.0,32,22.7,12,8.5,24,17.0,2,1.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,46,100.0,28,60.9,8,17.4,3,6.5,12,26.1,2,4.2,5,10.9,0,0.0
利用状況の管理状態別,子供の利用状況に関心がない,49,100.0,22,44.9,8,16.3,4,8.2,6,12.2,6,12.2,16,32.7,2,4.1
利用状況の管理状態別,その他,4,100.0,4,100.0,3,75.0,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,113,100.0,71,62.8,43,38.1,16,14.2,26,23.0,12,10.6,20,17.7,4,3.5
説明・学習経験別,インターネットで調べた,111,100.0,65,58.6,39,35.1,10,9.0,21,18.9,12,10.8,18,16.2,3,2.7
説明・学習経験別,学校から配布される資料等を読んだ,94,100.0,49,52.1,37,39.4,14,14.9,28,29.8,5,5.3,19,20.2,3,3.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,59,100.0,30,50.8,26,44.1,9,15.3,22,37.3,2,3.4,13,22.0,2,3.4
説明・学習経験別,知識のある知人から説明を受けた,8,100.0,3,37.5,4,50.0,1,12.5,2,25.0,1,12.5,3,37.5,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,14,100.0,6,42.9,7,50.0,0,0.0,3,21.4,1,7.1,4,28.6,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,3,100.0,2,66.7,2,66.7,1,33.3,1,33.3,2,66.7,2,66.7,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,125,100.0,63,50.4,28,22.4,16,12.8,12,9.6,9,7.2,23,18.4,7,5.6
説明・学習経験別,その他,4,100.0,3,75.0,3,75.0,0,0.0,1,25.0,0,0.0,1,25.0,1,25.0
