区分１,区分２,該当数計,割合計,インターネットの使い方について、子供を信用しているから該当数,インターネットの使い方について、子供を信用しているから割合,子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから該当数,子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから割合,フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから該当数,フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから割合,フィルタリングサービスの利用方法がわからない該当数,フィルタリングサービスの利用方法がわからない割合,フィルタリングサービスの必要性がわからない該当数,フィルタリングサービスの必要性がわからない割合,子供にフィルタリング設定をしないようせがまれて、仕方なく該当数,子供にフィルタリング設定をしないようせがまれて、仕方なく割合,フィルタリングサービス自体を知らない該当数,フィルタリングサービス自体を知らない割合,無料サービスのものがあることを知らず、お金がかかると思った該当数,無料サービスのものがあることを知らず、お金がかかると思った割合,購入時に説明を受けなかったから該当数,購入時に説明を受けなかったから割合,キッズ携帯等で、インターネットを利用させていないから該当数,キッズ携帯等で、インターネットを利用させていないから割合,その他該当数,その他割合
児童・生徒×子どもの性別,高校生女子,110,100.0,70,63.6,22,20.0,16,14.5,5,4.5,4,3.6,4,3.6,2,1.8,4,3.6,5,4.5,0,0.0,7,6.4
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,330,100.0,169,51.2,55,16.7,37,11.2,30,9.1,20,6.1,6,1.8,8,2.4,14,4.2,14,4.2,48,14.5,12,3.6
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,40,100.0,17,42.5,7,17.5,8,20.0,3,7.5,2,5.0,1,2.5,3,7.5,3,7.5,5,12.5,3,7.5,2,5.0
携帯電話の購入場所別,家電量販店,116,100.0,58,50.0,26,22.4,15,12.9,8,6.9,6,5.2,3,2.6,3,2.6,10,8.6,5,4.3,12,10.3,9,7.8
携帯電話の購入場所別,インターネット販売,60,100.0,29,48.3,8,13.3,4,6.7,4,6.7,1,1.7,0,0.0,3,5.0,5,8.3,10,16.7,1,1.7,5,8.3
携帯電話の購入場所別,その他,13,100.0,4,30.8,5,38.5,2,15.4,1,7.7,0,0.0,0,0.0,1,7.7,1,7.7,3,23.1,1,7.7,1,7.7
携帯電話の購入場所別,わからない,4,100.0,3,75.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,280,49.7,101,17.9,66,11.7,47,8.3,29,5.2,10,1.8,19,3.4,33,5.9,37,6.6,65,11.5,29,5.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入している,35,100.0,17,48.6,11,31.4,9,25.7,5,14.3,1,2.9,1,2.9,1,2.9,2,5.7,0,0.0,1,2.9,2,5.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,74,100.0,35,47.3,22,29.7,11,14.9,6,8.1,3,4.1,0,0.0,3,4.1,8,10.8,9,12.2,1,1.4,6,8.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,251,100.0,157,62.5,38,15.1,31,12.4,12,4.8,15,6.0,5,2.0,7,2.8,12,4.8,15,6.0,0,0.0,10,4.0
利用制限サービスの加入状況別,わからない,18,100.0,11,61.1,3,16.7,3,16.7,2,11.1,1,5.6,2,11.1,1,5.6,3,16.7,2,11.1,1,5.6,1,5.6
利用状況の管理状態別,利用状況の把握及び監督もできている,194,100.0,92,47.4,45,23.2,15,7.7,10,5.2,5,2.6,2,1.0,1,0.5,8,4.1,4,2.1,39,20.1,16,8.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,253,100.0,130,51.4,45,17.8,38,15.0,26,10.3,17,6.7,6,2.4,9,3.6,19,7.5,24,9.5,18,7.1,9,3.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,85,100.0,40,47.1,9,10.6,11,12.9,10,11.8,5,5.9,2,2.4,8,9.4,5,5.9,8,9.4,4,4.7,1,1.2
利用状況の管理状態別,子供の利用状況に関心がない,27,100.0,16,59.3,2,7.4,1,3.7,1,3.7,2,7.4,0,0.0,1,3.7,1,3.7,1,3.7,3,11.1,3,11.1
利用状況の管理状態別,その他,4,100.0,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,208,100.0,104,50.0,43,20.7,29,13.9,18,8.7,9,4.3,1,0.5,7,3.4,13,6.3,12,5.8,25,12.0,11,5.3
説明・学習経験別,インターネットで調べた,203,100.0,114,56.2,53,26.1,21,10.3,16,7.9,15,7.4,4,2.0,6,3.0,13,6.4,6,3.0,18,8.9,10,4.9
説明・学習経験別,学校から配布される資料等を読んだ,188,100.0,92,48.9,46,24.5,28,14.9,25,13.3,10,5.3,3,1.6,7,3.7,14,7.4,12,6.4,18,9.6,13,6.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,112,100.0,409,43.8,23,20.5,17,15.2,8,7.1,5,4.5,1,0.9,2,1.8,7,6.3,12,10.7,20,17.9,8,7.1
説明・学習経験別,知識のある知人から説明を受けた,18,100.0,8,44.4,10,55.6,2,11.1,3,16.7,2,11.1,2,11.1,0,0.0,0,0.0,1,5.6,1,5.6,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,19,100.0,7,36.8,8,42.1,2,10.5,3,15.8,1,5.3,2,10.5,1,5.3,1,5.3,0,0.0,1,5.3,1,5.3
説明・学習経験別,公共施設などで開催された講座に参加した,3,100.0,0,0.0,1,33.3,1,33.3,1,33.3,0,0.0,1,33.3,0,0.0,1,33.3,1,33.3,0,0.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,127,100.0,59,46.5,12,9.4,6,4.7,7,5.5,8,6.3,2,1.6,5,3.9,6,4.7,12,9.4,18,14.2,8,6.3
説明・学習経験別,その他,6,100.0,3,50.0,2,33.3,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,1,16.7,1,16.7,0,0.0,1,16.7
