区分１,区分２,該当数計（人）,該当数割合（％）,家庭のルール作りを推進する講座の開催該当数（人）,家庭のルール作りを推進する講座の開催割合（％）,学校・地域（家庭外）のルール作りを推進する講座の開催該当数（人）,学校・地域（家庭外）のルール作りを推進する講座の開催割合（％）,インターネットの危険性について啓発する講演会・イベントの開催該当数（人）,インターネットの危険性について啓発する講演会・イベントの開催割合（％）,ネットトラブル相談の充実化該当数（人）,ネットトラブル相談の充実化割合（％）,ネットに潜む危険性に関する、より一層の広報該当数（人）,ネットに潜む危険性に関する、より一層の広報割合（％）,学校の授業等で、ネットの危険性について取り扱う該当数（人）,学校の授業等で、ネットの危険性について取り扱う割合（％）,子供の有害にならないよう、事業者を規制すべき該当数（人）,子供の有害にならないよう、事業者を規制すべき割合（％）,各家庭で小学生に携帯電話・スマートフォンを持たせないようにする該当数（人）,各家庭で小学生に携帯電話・スマートフォンを持たせないようにする割合（％）,各家庭で中学生に携帯電話・スマートフォンを持たせないようにする該当数（人）,各家庭で中学生に携帯電話・スマートフォンを持たせないようにする割合（％）,小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする該当数（人）,小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする割合（％）,特に必要ない該当数（人）,特に必要ない割合（％）,その他該当数（人）,その他割合（％）
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,20,15.3,22,16.8,28,21.4,23,17.6,24,18.3,44,33.6,17,13.0,4,3.1,7,5.3,12,9.2,13,9.9,2,1.5
携帯電話の購入場所別,家電量販店,273,100.0,57,20.9,52,19.0,66,24.2,43,15.8,40,14.7,106,38.8,33,12.1,2,0.7,9,3.3,19,7.0,30,11.0,1,0.4
携帯電話の購入場所別,インターネット販売,96,100.0,19,19.8,19,19.8,24,25.0,13,13.5,17,17.7,22,22.9,17,17.7,4,4.2,3,3.1,13,12.5,9,9.4,1,1.0
携帯電話の購入場所別,その他,31,100.0,1,3.2,8,25.8,9,29.0,3,9.7,8,25.8,15,48.4,4,12.9,1,3.2,0,0.0,1,3.2,4,12.9,1,3.2
携帯電話の購入場所別,わからない,25,100.0,3,12.0,2,8.0,1,4.0,1,4.0,3,12.0,5,20.0,2,8.0,1,4.0,1,4.0,1,4.0,12,48.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,101,22.0,102,22.2,128,27.9,77,16.8,83,18.1,157,34.2,58,12.6,10,2.2,14,3.1,34,7.4,28,6.1,3,0.7
フィルタリングサービスの加入状況別,加入していない,563,100.0,116,20.6,105,18.7,139,24.7,94,16.7,88,15.6,159,28.2,58,10.3,11,2.0,23,4.1,45,8.0,68,12.1,6,1.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,50,20.1,41,16.5,51,20.5,28,11.2,37,14.9,93,37.3,37,14.9,8,3.2,13,5.2,24,9.6,25,10.0,5,2.0
フィルタリングサービスの加入状況別,わからない,229,100.0,41,17.9,28,12.2,41,17.9,28,12.2,39,17.0,61,26.6,28,12.2,6,2.6,7,3.1,12,5.2,50,21.8,1,0.4
利用制限サービスの加入状況別,加入している,261,100.0,58,22.2,59,22.6,72,27.6,43,16.5,48,18.4,92,35.2,39,14.9,3,1.1,5,1.9,11,4.2,20,7.7,3,1.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,29,15.8,35,19.1,48,26.2,28,15.3,38,15.3,38,20.8,71,38.8,25,13.7,5,2.7,8,4.4,16,8.7,13,7.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,56,17.6,49,15.4,83,26.1,55,17.3,56,17.6,90,28.3,32,10.1,10,3.1,13,4.1,29,9.1,41,12.9,3,0.9
利用制限サービスの加入状況別,わからない,85,100.0,19,22.4,13,15.3,18,21.2,17,20.0,10,11.8,19,22.4,9,10.6,3,3.5,4,4.7,6,7.1,13,15.3,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,138,24.0,115,20.0,124,21.6,68,11.8,77,13.4,184,32.1,71,12.4,13,2.3,21,3.7,46,8.0,67,11.7,9,1.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,138,20.5,130,19.3,187,27.7,113,16.8,126,18.7,225,33.4,81,12.0,18,2.7,21,3.1,54,8.0,51,7.6,3,0.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,27,15.9,26,15.3,38,22.4,42,24.7,33,19.4,46,27.1,22,12.9,4,2.4,11,6.5,10,5.9,17,10.0,2,1.2
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,4,5.5,5,6.8,9,12.3,2,2.7,8,11.0,10,13.7,7,9.6,0,0.0,2,2.7,4,5.5,35,47.9,0,0.0
利用状況の管理状態別,その他,9,100.0,1,11.1,0,0.0,1,11.1,2,22.2,3,33.3,5,55.6,0,0.0,0,0.0,2,22.2,1,11.1,1,11.1,1,11.1
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,148,26.5,126,22.6,161,28.9,88,15.8,95,17.0,205,36.7,68,12.2,13,2.3,17,3.0,38,6.8,26,4.7,7,1.3
説明・学習経験別,インターネットで調べた,505,100.0,139,27.5,120,23.8,135,26.7,87,17.2,71,14.1,151,29.9,57,11.3,15,3.0,15,3.0,40,7.9,29,5.7,3,0.6
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,104,19.2,112,20.6,159,29.3,90,16.6,112,20.6,221,40.7,73,13.4,16,2.9,27,5.0,44,8.1,18,3.3,7,1.3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,64,18.5,70,20.2,106,30.6,48,13.9,78,22.5,144,41.6,47,13.6,4,1.2,21,6.1,31,9.0,11,3.2,7,2.0
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,9,15.3,12,20.3,19,32.2,13,22.0,16,27.1,13,22.0,9,15.3,1,1.7,2,3.4,1,1.7,6,10.2,1,1.7
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,21,23.9,19,21.6,26,29.5,21,23.9,16,18.2,29,33.0,16,18.2,2,2.3,2,2.3,7,8.0,3,3.4,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,6,28.6,5,23.8,5,23.8,7,33.3,3,14.3,7,33.3,2,9.5,0,0.0,0,0.0,2,9.5,1,4.8,1,4.8
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,43,12.9,30,9.0,52,15.6,33,9.9,39,11.7,79,23.7,37,11.1,6,1.8,10,3.0,33,9.9,108,32.3,2,0.6
説明・学習経験別,その他,11,100.0,2,18.2,2,18.2,2,18.2,1,9.1,0,0.0,6,54.5,0,0.0,0,0.0,0,0.0,2,18.2,2,18.2,2,18.2
