区分１,区分２,該当数計,割合計,子供といつでも連絡が取れるようにするため該当数,子供といつでも連絡が取れるようにするため割合,子供の所在地がわかるようにするため該当数,子供の所在地がわかるようにするため割合,子供にせがまれたため仕方なく持たせた該当数,子供にせがまれたため仕方なく持たせた割合,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため該当数,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため割合,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため該当数,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため割合,お祝い等で、親戚等からもらったため該当数,お祝い等で、親戚等からもらったため割合,子供の疾病等があり、大切なコミュニケーション手段として活用するため該当数,子供の疾病等があり、大切なコミュニケーション手段として活用するため割合,その他該当数,その他割合
フィルタリングサービスの加入状況別,加入していない,135,100.0,119,88.1,65,48.1,3,2.2,3,2.2,4,3.0,0,0.0,3,2.2,2,1.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,223,100.0,198,88.8,115,51.6,6,2.7,2,0.9,2,0.9,0,0.0,0,0.0,17,7.6
フィルタリングサービスの加入状況別,わからない,57,100.0,48,84.2,27,47.4,1,1.8,0,0.0,0,0.0,1,1.8,2,3.5,2,3.5
利用制限サービスの加入状況別,加入している,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,わからない,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,288,100.0,258,89.6,149,51.7,5,1.7,5,1.7,1,0.3,2,0.7,1,0.3,16,5.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,170,100.0,143,84.1,89,52.4,9,5.3,4,2.4,5,2.9,0,0.0,2,1.2,8,4.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,29,100.0,26,89.7,14,48.3,0,0.0,0,0.0,0,0.0,1,3.4,1,3.4,1,3.4
利用状況の管理状態別,子供の利用状況に関心がない,20,100.0,16,80.0,2,10.0,0,0.0,0,0.0,1,5.0,0,0.0,1,5.0,1,5.0
利用状況の管理状態別,その他,3,100.0,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.3
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,207,100.0,180,87.0,121,58.5,3,1.4,6,2.9,3,1.4,1,0.5,1,0.5,13,6.3
説明・学習経験別,インターネットで調べた,169,100.0,148,87.6,93,55.0,7,4.1,5,3.0,2,1.2,1,0.6,2,1.2,8,4.7
説明・学習経験別,学校から配布される資料等を読んだ,186,100.0,159,85.5,104,55.9,4,2.2,5,2.7,1,0.5,2,1.1,2,1.1,12,6.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,116,100.0,103,88.8,69,59.5,1,0.9,2,1.7,0,0.0,0,0.0,0,0.0,9,7.8
説明・学習経験別,知識のある知人から説明を受けた,18,100.0,15,83.3,8,44.4,1,5.6,0,0.0,0,0.0,1,5.6,1,5.6,1,5.6
説明・学習経験別,販売店等から詳しく説明をうけた,23,100.0,21,91.3,14,60.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.3
説明・学習経験別,公共施設などで開催された講座に参加した,6,100.0,6,100.0,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,120,100.0,107,89.2,44,36.7,3,2.5,1,0.8,3,2.5,1,0.8,2,1.7,6,5.0
説明・学習経験別,その他,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0
