区分１,区分２,該当数計,割合計,子どもを信用しており不要だから該当数,子どもを信用しており不要だから割合,子どもが有害情報を含むアプリをダウンロードしないよう、保護者として適切に管理できているから該当数,子どもが有害情報を含むアプリをダウンロードしないよう、保護者として適切に管理できているから割合,利用制限サービスの利用方法がわからない該当数,利用制限サービスの利用方法がわからない割合,利用制限サービスの必要性がわからない該当数,利用制限サービスの必要性がわからない割合,子どもに利用制限サービスの設定をしないようにせがまれて、仕方なく該当数,子どもに利用制限サービスの設定をしないようにせがまれて、仕方なく割合,利用制限サービス自体を知らない該当数,利用制限サービス自体を知らない割合,無料サービスのものがあることを知らず、お金がかかると思った該当数,無料サービスのものがあることを知らず、お金がかかると思った割合,購入時に説明を受けなかったから該当数,購入時に説明を受けなかったから割合,その他該当数,その他割合
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,4,100.0,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0
フィルタリングサービスの加入状況別,わからない,31,100.0,15,48.4,2,6.5,5,16.1,2,6.5,0,0.0,0,0.0,2,6.5,4,12.9,1,3.2
利用制限サービスの加入状況別,加入している,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,185,58.2,48,15.1,18,5.7,10,3.1,6,1.9,13,4.1,8,2.5,17,5.3,13,4.1
利用制限サービスの加入状況別,わからない,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,82,100.0,54,65.9,18,22.0,3,3.7,0,0.0,0,0.0,0,0.0,1,1.2,2,2.4,4,4.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,151,100.0,82,54.3,24,15.9,8,5.3,5,3.3,4,2.6,8,5.3,4,2.6,12,7.9,4,2.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,62,100.0,36,58.1,2,3.2,7,11.3,2,3.2,2,3.2,4,6.5,3,4.8,2,3.2,4,6.5
利用状況の管理状態別,子供の利用状況に関心がない,21,100.0,12,57.1,4,19.0,0,0.0,3,14.3,0,0.0,0,0.0,0,0.0,1,4.8,1,4.8
利用状況の管理状態別,その他,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,115,100.0,69,60.0,18,15.7,3,2.6,2,1.7,2,1.7,8,7.0,3,2.6,3,2.6,7,6.1
説明・学習経験別,インターネットで調べた,114,100.0,67,58.8,22,19.3,5,4.4,2,1.8,1,0.9,6,5.3,5,4.4,3,2.6,3,2.6
説明・学習経験別,学校から配布される資料等を読んだ,109,100.0,60,55.0,21,19.3,8,7.3,2,1.8,0,0.0,6,5.5,0,0.0,6,5.5,6,5.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,60,100.0,26,43.3,13,21.7,4,6.7,2,3.3,0,0.0,2,3.3,1,1.7,6,10.0,6,10.0
説明・学習経験別,知識のある知人から説明を受けた,14,100.0,3,21.4,4,28.6,1,7.1,1,7.1,0,0.0,2,14.3,1,7.1,1,7.1,1,7.1
説明・学習経験別,販売店等から詳しく説明をうけた,12,100.0,5,41.7,4,33.3,1,8.3,0,0.0,0,0.0,1,8.3,0,0.0,1,8.3,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,3,100.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,71,100.0,44,62.0,7,9.9,3,4.2,4,5.6,3,4.2,0,0.0,1,1.4,6,8.5,3,4.2
説明・学習経験別,その他,3,100.0,1,33.3,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
