区分１,区分２,該当数計,割合計,利用料金の制限該当数,利用料金の制限割合,利用する際のマナー（誹謗中傷することは書かない等）該当数,利用する際のマナー（誹謗中傷することは書かない等）割合,利用するサイトやアプリを決めている該当数,利用するサイトやアプリを決めている割合,利用する時間の制限該当数,利用する時間の制限割合,利用する場所の制限該当数,利用する場所の制限割合,メールなどの相手を制限該当数,メールなどの相手を制限割合,困ったときはすぐに保護者へ相談すること該当数,困ったときはすぐに保護者へ相談すること割合,パスワードや利用者情報が漏れないようにすること該当数,パスワードや利用者情報が漏れないようにすること割合,その他該当数,その他割合
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,80,100.0,28,35.0,26,32.5,26,32.5,46,57.5,17,21.3,14,17.5,26,32.5 ,16,20.0,4,5.0
携帯電話の購入所別,家電量販店,165,100.0,54,32.7,59,35.8,50,30.3,101,61.2,53,32.1,39,23.6,77,46.7,37,22.4,9,5.5
携帯電話の購入所別,インターネット販売,67,100.0,22,32.8,32,47.8,31,46.3,43,64.2,19,28.4,12,17.9,30,44.8,19,28.4,0,0.0
携帯電話の購入所別,その他,20,100.0,5,25.0,8,40.0,9,45.0,17,85.0,8,40.0,5,25.0,6,30.0,4,20.0,1,5.0
携帯電話の購入所別,わからない,10,100.0,4,40.0,3,30.0,2,20.0,4,40.0,3,30.0,2,20.0,3,30.0,2,20.0,0,0.0
フィルタリングサービスの加入状況別,加入している,339,100.0,117,34.5,139,41.0,136,40.1,214,63.1,113,33.3,73,21.5,151,44.5,98,28.9,9,2.7
フィルタリングサービスの加入状況別,加入していない,313,100.0,10,35.1,134,42.8,88,28.1,180,57.5,89,28.4,54,17.3,137,43.8,74,23.6,13,4.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,137,100.0,25,18.2,42,30.7,34,24.8,68,49.6,29,21.2,56,40.9,59,43.1,29,21.2,10,7.3
フィルタリングサービスの加入状況別,わからない,107,100.0,29,27.1,32,29.9,27,25.2,63,58.9,33,30.8,21,19.6,34,31.8,24,22.4,1,0.9
利用制限サービスの加入状況別,加入している,196,100.0,75,38.3,94,48.0,87,44.4,134,68.4,74,37.8,35,17.9,83,42.3,60,30.6,4,2.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,142,100.0,59,41.5,82,57.7,73,51.4,82,57.7,40,28.2,33,23.2,77,54.2,54,38.0,1,0.7
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,156,100.0,54,34.6,62,39.7,37,23.7,94,60.9,43,27.6,10,6.4,71,45.5,43,27.6,5,3.2
利用制限サービスの加入状況別,わからない,40,100.0,10,25.0,12,30.0,7,17.5,24,60.0,14,35.0,4,10.0,13,32.5,5,12.5,1,2.5
利用状況の管理状態別,利用状況の把握及び監督もできている,379,100.0,106,28.0,150,39.6,134,35.4,222,58.6,132,34.8,119,31.4,183,48.3,114,30.1,24,6.3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,444,100.0,156,35.1,174,39.2,137,30.9,261,58.8,114,25.7,80,18.0,180,40.5,94,21.2,7,1.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,56,100.0,13,23.2,17,30.4,11,19.6,35,62.5,12,21.4,4,7.1,14,25.0,10,17.9,1,1.8
利用状況の管理状態別,子供の利用状況に関心がない,11,100.0,3,27.3,4,36.4,0,0.0,4,36.4,2,18.2,1,9.1,2,18.2,5,45.5,0,0.0
利用状況の管理状態別,その他,6,100.0,3,50.0,2,33.3,3,50.0,3,50.0,4,66.7,0,0.0,2,33.3,2,33.3,1,16.7
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,368,100.0,131,35.6,166,45.1,124,33.7,224,60.9,111,30.2,78,21.2,171,46.5,111,30.2,13,3.5
説明・学習経験別,インターネットで調べた,352,100.0,143,40.6,150,42.6,124,35.2,226,64.2,119,33.8,72,20.5,165,46.9,98,27.8,10,2.8
説明・学習経験別,学校から配布される資料等を読んだ,391,100.0,121,30.9,193,49.4,144,36.8,235,60.1,133,34.0,109,27.9,214,54.7,137,35.0,17,4.3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,269,100.0,89,33.1,136,50.6,105,39.0,168,62.5,92,34.2,87,32.3,145,53.9,98,36.4,13,4.8
説明・学習経験別,知識のある知人から説明を受けた,48,100.0,21,43.8,20,41.7,21,43.8,32,66.7,17,35.4,13,27.1,24,50.0,13,27.1,3,6.3
説明・学習経験別,販売店等から詳しく説明をうけた,67,100.0,34,50.7,33,49.3,30,44.8,43,64.2,27,40.3,21,31.3,42,62.7,27,40.3,1,1.5
説明・学習経験別,公共施設などで開催された講座に参加した,15,100.0,8,53.3,10,66.7,7,46.7,10,66.7,7,46.7,6,40.0,6,40.0,6,40.0,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,132,100.0,29,22.0,35,26.5,33,25.0,67,50.8,33,25.0,27,20.5,43,32.6,16,12.1,6,4.5
説明・学習経験別,その他,9,100.0,1,11.1,5,55.6,5,55.6,6,66.7,5,55.6,3,33.3,5,55.6,4,44.4,0,0.0
