年次,Year,総平均 All commodities,食料品 Foodstuffs,繊維品 Textiles,木材・同製品 Wood， lumber & related products,パルプ・紙・同製品 Pulp， paper & related products,化学製品 Chemicals & related products,石油・石炭・同製品 Petroleum， coal & related products,窯業・土石製品 Ceramic， stone & clay products,鉄鋼 Iron & steel,非鉄金属 Nonferrous metals,金属製品 Metal products,機械器具 Machinery & equipment,雑品 Miscellaneous goods
平成14,2002,645.7,986.3,483.3,2224.9,710.6,360.7,1500.3,781.4,513.8,475.3,754.5,258.2,801.2
平成15,2003,637.3,990.2,476.6,2211.4,721.9,364.3,1595.9,771.8,546.1,478.5,754.3,246.8,791.4
平成16,2004,644.7,1006.9,475.7,2264.7,730,377.8,1771.5,770.5,636,564,773.9,239.1,788
平成17,2005,665,1005.5,481.8,2249.9,724,401.5,2304.9,782.9,721,643.4,803.8,235,788.4
平成18,2006,692.7,1009.8,497.7,2440.6,732.1,419.1,2826.7,799.4,760.7,938.7,823,233.6,815.4
平成19,2007,711.9,1030.8,511.9,2625.9,760,436.5,3036.4,806.5,853.2,1053.7,847.9,231.8,842.9
平成20,2008,736.6,1078.5,507.4,2503,804.5,448.8,3907.8,817.1,1019.5,966.3,879.8,223.1,894.3
平成21,2009,664.4,1057.3,490.4,2296.1,810.6,404.5,2421.2,831.9,833.8,703.2,860.3,216.1,840.4
平成22,2010,668.5,1056.1,496.9,2351.4,796,408,2806.8,823.2,865.1,844.9,845.5,208.3,834.2
平成23,2011,680.9,1083.5,510.4,2415.8,787.4,415,3353.1,795.3,931.8,905.1,854.4,199.7,881.3
平成24,2012,674.4,1091.7,517.4,2340.9,796.4,408.9,3416,786.3,843.8,830.7,858,195.3,933
平成25,2013,711.1,1113.3,570,2685.2,797.6,432.6,3841.7,806.3,870,907.6,875.5,202.5,1016.8
平成26,2014,735.4,1142.4,596.2,2872.6,821.6,445.3,3971.5,827,904.4,943.4,919,207.6,1082.4
平成27,2015,710,1161.7,627.4,2905.8,840.6,429.7,2750.6,851.1,829.4,926.7,939.4,213.1,1030.4
平成28,2016,658.2,1156,601,2790.3,823.5,395.3,2125,829.8,750,779.9,926.4,203,902.7
平成29,2017,687.8,1173.2,602.4,2897.8,830.3,410.2,2712.2,827.4,871.9,905.3,947.2,204.2,937.7
平成30,2018,710.6,1180.6,605.3,3032,855,424,3304.7,867.4,924.9,944.3,974.1,203.2,986.8
平成31･令和元,2019,698.7,1184.5,602.8,2975.6,890.8,405.2,3031.5,901.5,918.3,892.7,992.1,200.5,999.4
令和2,2020,675.5,1188.2,597.6,2894.5,897.3,382.7,2313.8,898.8,899.5,920.5,1004.4,199.7,951
,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 13 　物価・地価 13   PRICES,,,,,,,,,,,,,,
13-2  企業物価指数  （ 全国 ） (4) 　戦前基準指数（類別指数） （昭和9～令和2年） 13-2 CORPORATE GOODS PRICE INDEX （ JAPAN ） (4) PREWAR BASE PRICE INDEX ( INDEXES BY GROUPS ) ( 1934-2020 ),,,,,,,,,,,,,,
企業物価指数は，企業間で取引される商品の価格に焦点を当てた物価指数である。,,,,,,,,,,,,,,
The Corporate Goods Price Index (CGPI) is a price index that focuses on the prices of goods traded among companies.,,,,,,,,,,,,,,
注) 雑品は，昭和26年以前と同27年以降とでは概念がかなり異なるので，昭和26年以前指数と同27年以降の指数とは連続しない。,,,,,,,,,,,,,,
"Note: There is no continuity between the indexes for ""Miscellaneous goods"" up to 1951 and from 1952 because of significant change in item structure.",,,,,,,,,,,,,,
資料：日本銀行 「企業物価指数」 Source: The Bank of Japan,,,,,,,,,,,,,,
(昭和9～11年平均＝1) (1934-1936 Average=1),,,,,,,,,,,,,,
