年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
令和2,2020,2,13116,豊島区,Toshima-ku,58100,11704,197,7074,141,1081,10,1376,7
令和2,2020,2,13117,北区,Kita-ku,88169,18584,387,10885,244,1659,22,2180,21
令和2,2020,2,13118,荒川区,Arakawa-ku,50634,9411,213,5931,141,1170,17,1242,21
令和2,2020,2,13119,板橋区,Itabashi-ku,132983,26213,511,15338,336,2379,32,2946,22
令和2,2020,2,13120,練馬区,Nerima-ku,162395,34875,703,21394,468,4005,83,4249,43
令和2,2020,2,13121,足立区,Adachi-ku,171451,36141,827,20280,535,3767,64,4875,56
令和2,2020,2,13122,葛飾区,Katsushika-ku,114870,22934,513,14164,355,3120,61,2944,31
令和2,2020,2,13123,江戸川区,Edogawa-ku,148518,27237,745,16490,501,3076,62,2790,40
令和2,2020,1,13200,市部,All shi,1053013,197618,4324,113899,2712,20021,331,27771,295
令和2,2020,2,13201,八王子市,Hachioji-shi,152272,28790,582,15336,370,3283,58,3663,42
令和2,2020,2,13202,立川市,Tachikawa-shi,44921,8580,204,4995,140,917,16,1199,12
令和2,2020,2,13203,武蔵野市,Musashino-shi,33076,6471,144,4149,2,602,16,1006,8
令和2,2020,2,13204,三鷹市,Mitaka-shi,41343,7859,183,4788,126,870,17,1050,12
令和2,2020,2,13205,青梅市,Ome-shi,39240,6029,162,2896,95,499,10,1352,13
令和2,2020,2,13206,府中市,Fuchu-shi,57855,11099,265,6280,174,1045,18,1473,14
令和2,2020,2,13207,昭島市,Akishima-shi,29772,5480,140,3095,94,653,14,1023,11
令和2,2020,2,13208,調布市,Chofu-shi,51598,10371,205,6041,136,820,9,1183,11
令和2,2020,2,13209,町田市,Machida-shi,115712,21817,426,12962,291,2275,28,2823,30
令和2,2020,2,13210,小金井市,Koganei-shi,26481,5271,92,3138,67,599,6,705,7
令和2,2020,2,13211,小平市,Kodaira-shi,45608,9180,208,5162,131,849,12,1119,16
令和2,2020,2,13212,日野市,Hino-shi,46648,9305,183,5198,121,780,16,1279,18
令和2,2020,2,13213,東村山市,Higashimurayama-shi,40258,7937,202,4725,125,838,16,1234,12
令和2,2020,2,13214,国分寺市,Kokubunji-shi,27932,5497,113,3311,68,656,13,633,8
令和2,2020,2,13215,国立市,Kunitachi-shi,18095,3712,84,2114,55,367,8,463,3
令和2,2020,2,13218,福生市,Fussa-shi,15115,2397,61,1354,34,183,5,522,7
令和2,2020,2,13219,狛江市,Komae-shi,20132,4256,82,2697,55,404,6,467,6
令和2,2020,2,13220,東大和市,Higashiyamato-shi,23389,4437,89,2433,49,296,9,686,6
令和2,2020,2,13221,清瀬市,Kiyose-shi,20913,4418,96,2531,56,373,5,657,5
令和2,2020,2,13222,東久留米市,Higashikurume-shi,33491,6391,121,3658,75,617,7,852,7
令和2,2020,2,13223,武蔵村山市,Musashimurayama-shi,19120,2908,84,1680,54,322,5,529,10
令和2,2020,2,13224,多摩市,Tama-shi,42807,6085,146,3956,113,711,8,802,13
令和2,2020,2,13225,稲城市,Inagi-shi,19810,2919,88,1730,57,358,5,432,2
令和2,2020,2,13227,羽村市,Hamura-shi,14454,2254,56,1168,35,141,2,425,1
令和2,2020,2,13228,あきる野市,Akiruno-shi,23436,3655,80,1871,48,333,9,874,10
令和2,2020,2,13229,西東京市,Nishitokyo-shi,49535,10500,228,6631,141,1230,13,1320,11
令和2,2020,1,13300,郡部,All gun,17816,2858,75,1373,43,236,2,703,7
令和2,2020,1,13350,島部,All islands,8971,1757,30,907,15,185,2,393,1
,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-9  介護保険被保険者数 ・認定者・受給者の状況（平成30～令和2年度） 18-9  PERSONS INSURED BY LONG-TERM CARE (LTC) INSURANCE， CERTIFIED FOR LTC/SUPPORT， AND BENEFICIARIES OF LTC SERVICES ( Fiscal Years 2018-2020 ) ,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
