年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
令和2,2020,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,163323,101872,61451
令和2,2020,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,669267,498246,171021
,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成28～令和2年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2016-2020 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
