事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
2,身体障害者福祉センター（Ｂ型）,Welfare centers (type B),7,3,…,…,4,…,…
2,障害者更生センター,Recreation and rehabilitation centers ,-,-,-,…,-,-,…
2,補装具製作施設,Prosthetic device making facilities,2,-,…,…,2,…,…
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,…,…,1,…,…
2,点字図書館,Braille libraries,6,2,…,…,4,…,…
2,点字出版施設,Braille publishing facilities,5,-,…,…,5,…,…
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,…,…,1,…,…
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,80
1,児童福祉施設等,Child welfare facilities， etc.,4995,1337,75804,75864,3658,233724,221780
2,助産施設,Midwifery homes,35,12,196,…,23,373,…
2,乳児院,Infant homes,11,-,-,-,11,542,422
2,母子生活支援施設 3),Living support facilities for single-mother families 3),32,-,-,-,32,639,1122
2,保育所等,Day care centers， etc.,3114,710,74261,73616,2404,216212,205409
2,地域型保育事業所,Community childcare facilities,1007,40,152,141,967,11339,10620
2,児童養護施設,Foster homes,55,-,-,-,55,2933,2687
2,障害児入所施設（福祉型）,Facilities for children with impairments (welfare type),9,-,-,-,9,460,380
2,障害児入所施設（医療型）,Facilities for children with impairments (medical care type),12,4,345,18,8,1156,979
2,児童発達支援センター（福祉型）,Child development support centers (welfare type),31,11,453,1791,20,674,1224
2,児童発達支援センター（医療型）,Child development support centers (medical care type),5,4,145,174,1,35,59
2,児童心理治療施設,Child mental care facilities,-,-,-,-,-,-,-
2,児童自立支援施設,Children's self-reliance support facilities,2,2,252,124,-,-,-
2,児童家庭支援センター,Child and family support centers,-,-,…,…,-,…,…
2,小型児童館,Child centers (small size),370,300,…,…,70,…,…
2,児童センター,Child centers,221,163,…,…,58,…,…
2,大型児童館（Ａ型）,Large child centers (type A),-,-,…,…,-,…,…
2,大型児童館（B型）,Large child centers (type B),-,-,…,…,-,…,…
2,大型児童館（C型）,Large child centers (type C),-,-,…,…,-,…,…
2,その他の児童館,Other child centers,-,-,…,…,-,…,…
2,児童遊園,Child play space,91,91,…,…,-,…,…
1,母子・父子福祉施設,Welfare facilities for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子福祉センター,Welfare centers for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子休養ホーム,Recreational facilities for single-mother/father families,-,-,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,1371,5,135,54,1366,69620,40377
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),10,3,104,…,7,212,…
2,宿所提供施設（社会福祉法）,Facilities providing accommodation (Social Welfare Act),153,-,-,…,153,4206,…
2,盲人ホーム,Vocational centers for the visually impaired,4,-,-,…,4,80,…
2,隣保館,Social service facilities,-,-,…,…,-,…,…
2,へき地保健福祉館,Public health and welfare centers in remote areas,-,-,…,…,-,…,…
2,へき地保育所,Day care centers in remote areas,…,…,…,…,…,…,…
2,有料老人ホーム,Fee-based nursing homes for the elderly,1204,2,31,54,1202,65122,40377
,(別掲）介護老人福祉施設（特別養護老人ホーム）4),(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly) 4),553,…,…,…,553,48488,46008
,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（平成31・令和元年） 18-1  SOCIAL WELFARE FACILITIES ( 2019 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
注 1) 施設数及び定員は基本票（行政情報），在所者数は詳細票（調査票が回収できた施設の状況）の結果である。,,,,,,,,,
2) 総数及び児童福祉施設の「定員」・「在所者数」には母子生活支援施設を含まない。,,,,,,,,,
3) 母子生活支援施設の定員は世帯数である。,,,,,,,,,
4) 介護老人福祉施設（特別養護老人ホーム）は，公営，私営別に集計していないため，私営部分に公営，私営を合算した数値を掲載している。,,,,,,,,,
Note: 1) The number of facilities and capacities are based on the basic records (government information)， and the number of residents is based on detailed records (facilities that responded to a survey). ,,,,,,,,,
"2) Living support facilities for single-mother families are not included in the total number of social welfare facilities or the child welfare facility ""capacity""  and ""number of service users.""",,,,,,,,,
3) The capacity of living support facilities for single-mother families is expressed in number of households.,,,,,,,,,
"4) Because figures for long-term care facilities for the elderly (special nursing homes for the elderly) are not tabulated separately as public or private， data are combined in the ""private"" column.   ",,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,
事業階層(0:総数　1:保護施設・老人福祉施設・障害者支援施設等・身体障害者社会参加支援施設・婦人保護施設・児童福祉施設・母子・父子福祉施設・その他の社会福祉施設 2:各事業施設),,,,,,,,,
