年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B/A) Coverage rate (%) 
令和2,2020,2,13207,7,昭島市,Akishima-shi,,113542,5,121072,113541,12814,1,120800,113269,12814,-,-,-,-,4,272,272,100
令和2,2020,2,13208,8,調布市,Chofu-shi,※,240857,4,12809,240857,-,-,-,240737,-,-,-,-,-,4,12809,120,100
令和2,2020,2,13209,9,町田市,Machida-shi,※,434994,2,-,434975,-,-,-,434975,-,-,-,-,-,2,-,-,100
令和2,2020,2,13210,10,小金井市,Koganei-shi,※,127623,3,13016,127623,-,-,-,127542,-,-,-,-,-,3,13016,81,100
令和2,2020,2,13211,11,小平市,Kodaira-shi,※,196773,10,9990,196773,-,-,-,193564,-,-,-,-,-,10,9990,3209,100
令和2,2020,2,13212,12,日野市,Hino-shi,※,190708,8,599,190708,-,-,-,190289,-,-,-,-,-,8,599,419,100
令和2,2020,2,13213,13,東村山市,Higashimurayama-shi,※,150421,4,1841,150421,-,-,-,149928,-,-,-,-,-,4,1841,493,100
令和2,2020,2,13214,14,国分寺市,Kokubunji-shi,※,130100,3,-,130100,-,-,-,130100,-,-,-,-,-,3,-,-,100
令和2,2020,2,13215,15,国立市,Kunitachi-shi,※,75310,3,-,75310,-,-,-,75310,-,-,-,-,-,3,-,-,100
令和2,2020,2,13218,16,福生市,Fussa-shi,※,56612,2,-,56612,-,-,-,56612,-,-,-,-,-,2,-,-,100
令和2,2020,2,13219,17,狛江市,Komae-shi,※,83787,-,-,83787,-,-,-,83787,-,-,-,-,-,-,-,-,100
令和2,2020,2,13220,18,東大和市,Higashiyamato-shi,※,84240,-,-,84240,-,-,-,84240,-,-,-,-,-,-,-,-,100
令和2,2020,2,13221,19,清瀬市,Kiyose-shi,※,75504,4,2205,75504,-,-,-,75499,-,-,-,-,-,4,2205,5,100
令和2,2020,2,13222,20,東久留米市,Higashikurume-shi,※,116550,2,2000,116550,-,-,-,116024,-,-,-,-,-,2,2000,526,100
令和2,2020,2,13223,21,武蔵村山市,Musashimurayama-shi,※,71162,2,180,71162,-,-,-,70982,-,-,-,-,-,2,180,180,100
令和2,2020,2,13224,22,多摩市,Tama-shi,※,147378,3,1739,147378,-,-,-,145534,-,-,-,-,-,3,1739,1844,100
令和2,2020,2,13225,23,稲城市,Inagi-shi,※,92895,-,-,92895,-,-,-,92895,-,-,-,-,-,-,-,-,100
令和2,2020,2,13227,24,羽村市,Hamura-shi,,54622,1,60000,54553,6321,1,60000,54553,6321,-,-,-,-,-,-,-,99.87
令和2,2020,2,13228,25,あきる野市,Akiruno-shi,※,79565,2,-,79565,-,-,-,79565,-,-,-,-,-,2,-,-,100
令和2,2020,2,13229,26,西東京市,Nishitokyo-shi,※,207210,1,7000,207210,-,-,-,207210,-,-,-,-,-,1,7000,-,100
令和2,2020,1,13300,,郡部,All gun,,55911,4,3400,55768,327,-,-,53755,-,1,3400,2013,327,3,-,-,99.74
令和2,2020,2,13303,1,瑞穂町,Mizuho-machi,※,32028,1,-,32028,-,-,-,32028,-,-,-,-,-,1,-,-,100
令和2,2020,2,13305,2,日の出町,Hinode-machi,※,17008,-,-,17008,-,-,-,17008,-,-,-,-,-,-,-,-,100
令和2,2020,2,13307,3,檜原村,Hinohara-mura,,2101,2,3400,2013,327,-,-,-,-,1,3400,2013,327,1,-,-,95.81
令和2,2020,2,13308,4,奥多摩町,Okutama-machi,※,4774,1,-,4719,-,-,-,4719,-,-,-,-,-,1,-,-,98.85
令和2,2020,1,13350,,島部,All islands,,24347,11,35668,24269,4132,2,22580,14258,2683,7,12880,10011,1449,2,208,-,99.68
令和2,2020,2,13361,1,大島町,Oshima-machi,,7228,2,10858,7220,1187,1,10650,7220,1187,-,-,-,-,1,208,-,99.89
令和2,2020,2,13362,2,利島村,Toshima-mura,,297,1,350,297,42,-,-,-,-,1,350,297,42,-,-,-,100
令和2,2020,2,13363,3,新島村,Niijima-mura,,2570,1,2830,2532,341,-,-,-,-,1,2830,2532,341,-,-,-,98.52
令和2,2020,2,13364,4,神津島村,Kozushima-mura,,1868,1,2150,1865,365,-,-,-,-,1,2150,1865,365,-,-,-,99.84
令和2,2020,2,13381,5,三宅村,Miyake-mura,,2294,1,3920,2294,332,-,-,-,-,1,3920,2294,332,-,-,-,100
令和2,2020,2,13382,6,御蔵島村,Mikurajima-mura,,303,1,500,303,52,-,-,-,-,1,500,303,52,-,-,-,100
令和2,2020,2,13401,7,八丈町,Hachijo-machi,,7062,1,11930,7038,1496,1,11930,7038,1496,-,-,-,-,-,-,-,99.66
令和2,2020,2,13402,8,青ヶ島村,Aogashima-mura,,166,1,300,166,30,-,-,-,-,1,300,166,30,-,-,-,100
令和2,2020,2,13421,9,小笠原村,Ogasawara-mura,,2559,2,2830,2554,287,-,-,-,-,1,2830,2554,287,1,-,-,99.8
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-2  地域別水道の普及状況（平成28～令和2年度末） 6-2  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2016-2020 ),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
4) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
