年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
令和2,2020,13220,18,東大和市,Higashiyamato-shi,42281,290,12772,17275,2442,37,60,319,1456,1346,4507,48,1730,-
令和2,2020,13221,19,清瀬市,Kiyose-shi,42405,291,14423,16580,2051,118,71,345,1835,1012,3766,-,1914,-
令和2,2020,13222,20,東久留米市,Higashikurume-shi,57021,305,16481,23340,3145,190,72,350,3344,1564,6165,-,2065,-
令和2,2020,13223,21,武蔵村山市,Musashimurayama-shi,37401,262,10181,15687,2095,48,50,445,2021,1058,4303,-,1251,-
令和2,2020,13224,22,多摩市,Tama-shi,72029,378,22719,28251,4254,297,55,483,2943,2222,8410,23,1995,-
令和2,2020,13225,23,稲城市,Inagi-shi,45622,308,12816,15162,3155,90,104,476,2937,1092,7433,-,2048,-
令和2,2020,13227,24,羽村市,Hamura-shi,29332,238,8524,10774,2042,131,29,473,2376,963,2724,64,994,-
令和2,2020,13228,25,あきる野市,Akiruno-shi,41760,270,11587,14005,3681,188,452,576,2984,1416,3719,464,2417,-
令和2,2020,13229,26,西東京市,Nishitokyo-shi,99594,443,26977,39733,5256,362,83,648,6317,2438,12269,-,5068,-
平成28,2016,13300,,郡部,All gun,32389,465,4850,10404,2959,329,1564,725,5221,1452,2967,27,1426,-
平成29,2017,13300,,郡部,All gun,33512,465,5286,10600,3106,334,1748,776,5338,1382,3091,5,1382,-
平成30,2018,13300,,郡部,All gun,33937,465,5928,10489,3022,333,1713,922,5261,1431,2978,55,1338,-
令和元,2019,13300,,郡部,All gun,36779,461,8026,11108,2976,362,1711,766,4959,1700,2964,387,1358,-
令和2,2020,13300,,郡部,All gun,41531,462,12118,11160,3264,333,1731,1127,4318,1543,3408,680,1387,-
令和2,2020,13303,1,瑞穂町,Mizuho-machi,18973,163,6248,5557,1538,132,78,184,2209,788,1561,-,516,-
令和2,2020,13305,2,日の出町,Hinode-machi,11021,132,3118,3798,871,88,190,240,584,360,1021,59,561,-
令和2,2020,13307,3,檜原村,Hinohara-mura,4111,75,997,609,310,66,728,253,431,99,253,190,99,-
令和2,2020,13308,4,奥多摩町,Okutama-machi,7426,92,1755,1196,545,48,735,450,1094,297,572,432,211,-
平成28,2016,13350,,島部,All islands,36814,422,9075,5779,5519,434,1998,1920,4059,1181,2874,688,2678,187
平成29,2017,13350,,島部,All islands,38112,411,9355,5599,6550,403,2689,1895,3499,1100,3265,177,2969,201
平成30,2018,13350,,島部,All islands,35716,415,7961,5471,6799,394,2033,1847,3830,1661,2582,37,2517,168
令和元,2019,13350,,島部,All islands,36275,422,7473,5490,5447,416,2216,1913,4082,1391,3735,959,2598,132
令和2,2020,13350,,島部,All islands,42978,396,11311,6097,6457,429,2888,2169,3934,2080,3815,590,2625,188
令和2,2020,13361,1,大島町,Oshima-machi,10026,75,1939,1422,1537,62,427,503,1329,276,1436,159,862,-
令和2,2020,13362,2,利島村,Toshima-mura,1488,18,487,154,189,33,91,130,34,169,120,14,49,-
令和2,2020,13363,3,新島村,Niijima-mura,4746,49,1123,555,402,60,585,400,361,304,378,248,281,-
令和2,2020,13364,4,神津島村,Kozushima-mura,3330,37,917,479,251,92,431,265,265,47,393,10,143,-
令和2,2020,13381,5,三宅村,Miyake-mura,4757,45,869,801,613,52,301,302,350,701,306,73,257,88
令和2,2020,13382,6,御蔵島村,Mikurajima-mura,1918,12,902,94,262,-,136,63,289,13,81,-,66,-
令和2,2020,13401,7,八丈町,Hachijo-machi,9876,85,2786,1512,1826,125,578,227,670,506,714,22,726,100
令和2,2020,13402,8,青ヶ島村,Aogashima-mura,1138,17,670,47,94,-,39,21,151,9,72,-,18,-
令和2,2020,13421,9,小笠原村,Ogasawara-mura,5699,58,1616,1034,1285,5,300,257,485,56,316,64,223,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成28～令和2年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2016-2020 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
