項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
2,6,1,2,4,他の魚介加工品,1104,0.4,-2.1,1148,0.4,754,0.4,803,0.4,1244,0.4,1255,0.4,793,0.4
2,5,1,3,0,肉類,6411,2.4,-10.5,6652,2.4,5026,3,5331,3,6965,2.3,7067,2.3,4734,2.6
2,6,1,3,1,生鮮肉,5119,1.9,-11.4,5324,1.9,3981,2.4,4272,2.4,5574,1.8,5655,1.8,3680,2
2,6,1,3,2,加工肉,1292,0.5,-6.7,1328,0.5,1045,0.6,1060,0.6,1391,0.5,1412,0.4,1055,0.6
2,5,1,4,0,乳卵類,4064,1.5,-1.3,4320,1.5,2973,1.8,3315,1.9,4502,1.5,4633,1.5,2321,1.3
2,6,1,4,1,牛乳,1368,0.5,1.5,1466,0.5,948,0.6,1065,0.6,1537,0.5,1591,0.5,705,0.4
2,6,1,4,2,乳製品,1954,0.7,-1.9,2096,0.7,1396,0.8,1607,0.9,2176,0.7,2249,0.7,972,0.5
2,6,1,4,3,卵,743,0.3,-4.6,757,0.3,629,0.4,643,0.4,789,0.3,793,0.3,644,0.4
2,5,1,5,0,野菜・海藻,10965,4.1,-10.9,11303,4,8622,5.1,9193,5.1,11904,3.9,11965,3.8,8595,4.7
2,6,1,5,1,生鮮野菜,7443,2.8,-12.3,7685,2.7,5849,3.5,6260,3.5,8082,2.6,8132,2.6,5752,3.2
2,6,1,5,2,乾物・海藻,885,0.3,-1.8,931,0.3,661,0.4,746,0.4,975,0.3,989,0.3,560,0.3
2,6,1,5,3,大豆加工品,1207,0.4,-9.7,1238,0.4,973,0.6,1035,0.6,1301,0.4,1302,0.4,980,0.5
2,6,1,5,4,他の野菜・海藻加工品,1430,0.5,-9.1,1449,0.5,1139,0.7,1152,0.6,1547,0.5,1543,0.5,1303,0.7
2,5,1,6,0,果物,4104,1.5,-7.5,4350,1.5,3161,1.9,3689,2.1,4480,1.4,4558,1.5,2431,1.3
2,6,1,6,1,生鮮果物,3687,1.4,-9.1,3892,1.4,2891,1.7,3348,1.9,4004,1.3,4063,1.3,2305,1.3
2,6,1,6,2,果物加工品,417,0.2,8.9,459,0.2,270,0.2,341,0.2,476,0.2,495,0.2,126,0.1
2,5,1,7,0,油脂・調味料,3526,1.3,-4.1,3631,1.3,2657,1.6,2751,1.5,3875,1.3,3906,1.2,2819,1.5
2,6,1,7,1,油脂,377,0.1,-6.5,388,0.1,295,0.2,309,0.2,409,0.1,413,0.1,299,0.2
2,6,1,7,2,調味料,3150,1.2,-3.8,3243,1.2,2362,1.4,2442,1.4,3466,1.1,3493,1.1,2521,1.4
2,5,1,8,0,菓子類,5664,2.1,6.1,5921,2.1,4254,2.5,4490,2.5,6226,2,6366,2,3887,2.1
2,5,1,9,0,調理食品,11907,4.4,8.3,12015,4.3,10007,5.9,9817,5.5,12665,4.1,12709,4.1,11151,6.1
2,6,1,9,1,主食的調理食品,5090,1.9,18.7,5129,1.8,4269,2.5,4267,2.4,5418,1.8,5400,1.7,4857,2.7
2,6,1,9,2,他の調理食品,6817,2.5,1.7,6886,2.4,5738,3.4,5550,3.1,7247,2.3,7309,2.3,6295,3.5
2,5,1,10,0,飲料,4335,1.6,1.9,4479,1.6,3135,1.9,3095,1.7,4813,1.6,4909,1.6,3398,1.9
2,6,1,10,1,茶類,1272,0.5,2,1342,0.5,810,0.5,868,0.5,1456,0.5,1490,0.5,804,0.4
2,6,1,10,2,コーヒー・ココア,834,0.3,10.2,847,0.3,668,0.4,636,0.4,899,0.3,913,0.3,740,0.4
2,6,1,10,3,他の飲料,2229,0.8,-0.9,2289,0.8,1657,1,1590,0.9,2458,0.8,2506,0.8,1854,1
2,5,1,11,0,酒類,3002,1.1,2.8,3036,1.1,2240,1.3,2211,1.2,3308,1.1,3292,1,2804,1.5
2,5,1,12,0,外食,10905,4.1,10,11551,4.1,6233,3.7,6294,3.5,12763,4.1,13190,4.2,6515,3.6
2,6,1,12,1,一般外食,10889,4,9.8,11534,4.1,6233,3.7,6294,3.5,12740,4.1,13168,4.2,6504,3.6
2,6,1,12,2,学校給食,16,0,...,17,0,-,-,-,-,23,0,23,0,11,0
2,4,2,0,0,住居,18849,7,-9.9,16727,5.9,7848,4.6,3904,2.2,23200,7.5,20720,6.6,32810,18
2,5,2,1,0,家賃地代,6061,2.3,-18.1,2193,0.8,5842,3.5,1317,0.7,6152,2,2467,0.8,32392,17.8
2,5,2,2,0,設備修繕・維持,12788,4.8,-5.4,14534,5.2,2006,1.2,2587,1.4,17048,5.5,18253,5.8,418,0.2
2,6,2,2,1,設備材料,4306,1.6,0.1,4895,1.7,286,0.2,398,0.2,5906,1.9,6319,2,137,0.1
2,6,2,2,2,工事その他のサービス,8482,3.2,-8,9639,3.4,1720,1,2189,1.2,11142,3.6,11934,3.8,281,0.2
2,4,3,0,0,光熱・水道,20576,7.6,-5.3,21494,7.6,16576,9.8,17852,10,22176,7.2,22633,7.2,14176,7.8
2,5,3,1,0,電気代,9895,3.7,-3.2,10438,3.7,7860,4.7,8712,4.9,10710,3.5,10978,3.5,6179,3.4
2,5,3,2,0,ガス代,5657,2.1,-2.5,5868,2.1,4671,2.8,4954,2.8,6048,2,6151,2,4141,2.3
2,5,3,3,0,他の光熱,494,0.2,8.1,443,0.2,583,0.3,446,0.2,460,0.1,443,0.1,811,0.4
2,5,3,4,0,上下水道料,4529,1.7,-13.6,4745,1.7,3462,2,3741,2.1,4958,1.6,5061,1.6,3046,1.7
2,4,4,0,0,家具・家事用品,11172,4.2,9.5,12093,4.3,5833,3.5,6837,3.8,13307,4.3,13714,4.4,5074,2.8
2,5,4,1,0,家庭用耐久財,4560,1.7,15.1,5117,1.8,1979,1.2,2512,1.4,5593,1.8,5921,1.9,922,0.5
2,6,4,1,1,家事用耐久財,2606,1,53.1,2874,1,1614,1,2027,1.1,3002,1,3138,1,864,0.5
2,6,4,1,2,冷暖房用器具,1657,0.6,-13.8,1905,0.7,346,0.2,461,0.3,2184,0.7,2347,0.7,43,0
2,6,4,1,3,一般家具,296,0.1,-11.9,339,0.1,19,0,24,0,407,0.1,436,0.1,15,0
2,5,4,2,0,室内装備・装飾品,551,0.2,-5.7,605,0.2,206,0.1,254,0.1,686,0.2,717,0.2,145,0.1
2,5,4,3,0,寝具類,708,0.3,36.4,792,0.3,134,0.1,135,0.1,936,0.3,992,0.3,168,0.1
2,5,4,4,0,家事雑貨,1772,0.7,1.2,1880,0.7,1044,0.6,1190,0.7,2064,0.7,2095,0.7,1028,0.6
2,5,4,5,0,家事用消耗品,2663,1,7.6,2769,1,2015,1.2,2177,1.2,2922,0.9,2952,0.9,1945,1.1
2,5,4,6,0,家事サービス,918,0.3,0.3,930,0.3,455,0.3,569,0.3,1106,0.4,1037,0.3,868,0.5
2,4,5,0,0,被服及び履物,8897,3.3,20.3,9656,3.4,3895,2.3,4522,2.5,10903,3.5,11242,3.6,3792,2.1
2,5,5,1,0,和服,332,0.1,145.9,378,0.1,4,0,5,0,464,0.2,491,0.2,65,0
2,5,5,2,0,洋服,2902,1.1,24.2,3189,1.1,1243,0.7,1443,0.8,3567,1.2,3725,1.2,981,0.5
2,6,5,2,1,男子用洋服,710,0.3,-2.1,743,0.3,367,0.2,383,0.2,848,0.3,855,0.3,526,0.3
2,6,5,2,2,婦人用洋服,2182,0.8,36.1,2440,0.9,857,0.5,1046,0.6,2714,0.9,2866,0.9,423,0.2
2,6,5,2,3,子供用洋服,9,0,12.5,6,0,19,0,14,0,5,0,3,0,32,0
2,5,5,3,0,シャツ・セーター類,2136,0.8,34.3,2319,0.8,964,0.6,1154,0.6,2607,0.8,2677,0.9,850,0.5
2,6,5,3,1,男子用シャツ・セーター類,576,0.2,19.8,612,0.2,285,0.2,323,0.2,694,0.2,702,0.2,316,0.2
2,6,5,3,2,婦人用シャツ・セーター類,1554,0.6,40.1,1706,0.6,679,0.4,831,0.5,1906,0.6,1973,0.6,505,0.3
2,6,5,3,3,子供用シャツ・セーター類,5,0,400,2,0,-,-,-,-,7,0,2,0,29,0
2,5,5,4,0,下着類,848,0.3,3.3,889,0.3,423,0.3,423,0.2,1019,0.3,1035,0.3,604,0.3
2,6,5,4,1,男子用下着類,348,0.1,7.4,369,0.1,182,0.1,197,0.1,415,0.1,423,0.1,214,0.1
2,6,5,4,2,婦人用下着類,497,0.2,0.4,519,0.2,241,0.1,226,0.1,600,0.2,611,0.2,375,0.2
2,6,5,4,3,子供用下着類,3,0,0,1,0,-,-,-,-,4,0,1,0,15,0
2,5,5,5,0,生地・糸類,166,0.1,12.9,187,0.1,43,0,56,0,214,0.1,227,0.1,22,0
2,5,5,6,0,他の被服,760,0.3,19.7,804,0.3,391,0.2,447,0.3,906,0.3,915,0.3,449,0.2
2,5,5,7,0,履物類,1032,0.4,4.3,1120,0.4,490,0.3,575,0.3,1248,0.4,1291,0.4,415,0.2
2,5,5,8,0,被服関連サービス,723,0.3,-2.4,772,0.3,336,0.2,420,0.2,878,0.3,881,0.3,407,0.2
2,4,6,0,0,保健医療,17761,6.6,4.5,19059,6.8,10904,6.5,12488,7,20503,6.6,21117,6.7,8734,4.8
2,5,6,1,0,医薬品,3400,1.3,6,3510,1.2,2625,1.6,2779,1.6,3710,1.2,3741,1.2,2640,1.4
2,5,6,2,0,健康保持用摂取品,1683,0.6,1.9,1892,0.7,574,0.3,776,0.4,2126,0.7,2235,0.7,283,0.2
2,5,6,3,0,保健医療用品・器具,2433,0.9,16.7,2599,0.9,1505,0.9,1569,0.9,2803,0.9,2911,0.9,1224,0.7
2,5,6,4,0,保健医療サービス,10245,3.8,2,11059,3.9,6201,3.7,7365,4.1,11864,3.8,12231,3.9,4588,2.5
2,4,7,0,0,交通・通信,25100,9.3,-3.9,25942,9.2,16960,10,15908,8.9,28381,9.2,29070,9.3,19098,10.5
2,5,7,1,0,交通,5657,2.1,3.3,6101,2.2,2090,1.2,2385,1.3,7088,2.3,7262,2.3,2677,1.5
2,5,7,2,0,自動車等関係費,10076,3.7,-15.6,10490,3.7,7734,4.6,7045,3.9,11039,3.6,11557,3.7,7036,3.9
2,6,7,2,1,自動車等購入,2129,0.8,-43.9,1977,0.7,2859,1.7,1854,1,1862,0.6,2008,0.6,3071,1.7
2,6,7,2,2,自転車購入,296,0.1,92.2,328,0.1,157,0.1,209,0.1,352,0.1,365,0.1,93,0.1
2,6,7,2,3,自動車等維持,7651,2.8,-4.2,8185,2.9,4719,2.8,4982,2.8,8825,2.9,9184,2.9,3872,2.1
2,5,7,3,0,通信,9367,3.5,7.6,9352,3.3,7135,4.2,6478,3.6,10254,3.3,10251,3.3,9386,5.1
2,4,8,0,0,教育,2119,0.8,69.9,2113,0.8,859,0.5,3,0,2623,0.8,2767,0.9,2231,1.2
2,5,8,1,0,授業料等,1699,0.6,54.3,1641,0.6,857,0.5,-,-,2036,0.7,2151,0.7,2173,1.2
2,5,8,2,0,教科書・学習参考教材,11,0,37.5,6,0,2,0,3,0,15,0,8,0,41,0
2,5,8,3,0,補習教育,409,0.2,194.2,466,0.2,-,-,-,-,573,0.2,608,0.2,17,0
2,4,9,0,0,教養娯楽,31913,11.9,7.2,35068,12.4,14759,8.7,17546,9.8,38749,12.5,40547,12.9,10330,5.7
2,5,9,1,0,教養娯楽用耐久財,1897,0.7,7,2104,0.7,339,0.2,470,0.3,2510,0.8,2612,0.8,546,0.3
2,5,9,2,0,教養娯楽用品,6084,2.3,16.9,6703,2.4,2349,1.4,2759,1.5,7574,2.5,7938,2.5,1770,1
2,5,9,3,0,書籍・他の印刷物,4497,1.7,6.4,4659,1.7,3532,2.1,3751,2.1,4879,1.6,4944,1.6,3374,1.8
2,5,9,4,0,教養娯楽サービス,19435,7.2,4.7,21603,7.7,8540,5.1,10566,5.9,23785,7.7,25052,8,4640,2.5
2,6,9,4,1,宿泊料,1835,0.7,-5.3,2057,0.7,665,0.4,800,0.4,2304,0.7,2452,0.8,295,0.2
2,6,9,4,2,パック旅行費,5356,2,5.8,6089,2.2,2022,1.2,2774,1.6,6684,2.2,7122,2.3,353,0.2
2,6,9,4,3,月謝類,2089,0.8,5.5,2345,0.8,715,0.4,947,0.5,2638,0.9,2782,0.9,333,0.2
2,6,9,4,4,他の教養娯楽サービス,10155,3.8,6,11112,3.9,5138,3,6046,3.4,12159,3.9,12696,4,3659,2
2,4,10,0,0,その他の消費支出,54246,20.2,-0.2,58428,20.7,31497,18.6,37663,21.1,63281,20.5,64912,20.7,25474,14
2,5,10,1,0,諸雑費,23793,8.8,-3.4,25510,9.1,13379,7.9,15779,8.8,27949,9,28563,9.1,11639,6.4
2,6,10,1,1,理美容サービス,3712,1.4,7.8,4018,1.4,2566,1.5,3108,1.7,4173,1.4,4301,1.4,1581,0.9
2,6,10,1,2,理美容用品,4285,1.6,13.2,4700,1.7,2175,1.3,2596,1.5,5136,1.7,5356,1.7,1480,0.8
2,6,10,1,3,身の回り用品,1630,0.6,35.8,1701,0.6,417,0.2,491,0.3,2120,0.7,2088,0.7,1056,0.6
2,6,10,1,4,たばこ,721,0.3,15.4,639,0.2,696,0.4,780,0.4,732,0.2,595,0.2,1304,0.7
2,6,10,1,5,他の諸雑費,13446,5,-13.7,14451,5.1,7526,4.5,8804,4.9,15788,5.1,16224,5.2,6218,3.4
2,5,10,2,0,こづかい,5861,2.2,3.4,6381,2.3,2998,1.8,3305,1.8,7009,2.3,7344,2.3,2319,1.3
2,5,10,3,0,交際費,23825,8.9,3.8,25765,9.1,15020,8.9,18440,10.3,27289,8.8,28039,8.9,10697,5.9
2,6,10,3,0,食料,5834,2.2,-12.4,6256,2.2,2950,1.7,3435,1.9,6975,2.3,7138,2.3,3026,1.7
2,6,10,3,0,家具・家事用品,141,0.1,-30.2,157,0.1,42,0,53,0,181,0.1,190,0.1,26,0
2,6,10,3,0,被服及び履物,491,0.2,-5,556,0.2,220,0.1,296,0.2,600,0.2,638,0.2,49,0
2,6,10,3,0,教養娯楽,1644,0.6,-49.2,1833,0.7,767,0.5,915,0.5,1989,0.6,2114,0.7,428,0.2
2,6,10,3,0,他の物品サービス,464,0.2,-15.6,525,0.2,127,0.1,160,0.1,601,0.2,639,0.2,72,0
2,6,10,3,6,贈与金,12412,4.6,30.3,13427,4.8,8546,5.1,10825,6.1,13914,4.5,14231,4.5,5434,3
2,6,10,3,7,他の交際費,2839,1.1,25.5,3011,1.1,2367,1.4,2756,1.5,3031,1,3089,1,1663,0.9
2,5,10,4,0,仕送り金,767,0.3,-29.1,773,0.3,99,0.1,139,0.1,1035,0.3,966,0.3,818,0.4
2,3,0,0,0,土地家屋購入,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
2,3,0,0,0,（再掲）教育関係費,2699,1,49.6,2748,1,1065,0.6,245,0.1,3353,1.1,3524,1.1,2443,1.3
2,3,0,0,0,（再掲）教養娯楽関係費,36844,13.7,0.6,40549,14.4,16338,9.7,19408,10.9,45019,14.6,47155,15,11612,6.4
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,13180,4.9,24.2,14200,5,8646,5.1,10963,6.1,14949,4.8,15197,4.8,6252,3.4
2,3,0,0,0,（再掲）経常消費支出,193720,72,-0.3,198903,70.6,136455,80.8,141116,78.9,216614,70.1,216953,69.1,157933,86.6
2,3,0,0,0,（再掲）情報通信関係費,12754,4.7,2.1,12954,4.6,9450,5.6,8884,5,14073,4.6,14226,4.5,11341,6.2
2,3,0,0,0,（再掲）消費支出（除く住居等）　１）,234990,87.3,1,248783,88.3,149609,88.5,162061,90.6,269090,87.1,275866,87.9,140265,76.9
2,2,0,0,0,その他の実支出,35175,-,9.8,38293,-,14679,-,17493,-,43397,-,44771,-,14001,-
2,3,0,0,0,直接税,15193,-,6.9,17058,-,6637,-,8977,-,18611,-,19552,-,2504,-
2,4,0,0,0,勤労所得税,744,-,150.5,829,-,14,-,20,-,1038,-,1082,-,163,-
2,4,0,0,0,個人住民税,5395,-,36.4,5993,-,2205,-,2977,-,6664,-,6930,-,1267,-
2,4,0,0,0,他の税,9054,-,-9.1,10236,-,4418,-,5981,-,10909,-,11540,-,1075,-
2,3,0,0,0,社会保険料,19955,-,12.2,21207,-,8040,-,8512,-,24749,-,25185,-,11473,-
2,4,0,0,0,公的年金保険料,3088,-,82.9,3121,-,1330,-,948,-,3797,-,3785,-,2867,-
2,4,0,0,0,健康保険料,10506,-,2.2,11434,-,3548,-,4279,-,13292,-,13685,-,4282,-
2,4,0,0,0,介護保険料,6322,-,9.2,6611,-,3151,-,3272,-,7609,-,7665,-,4306,-
2,4,0,0,0,他の社会保険料,39,-,62.5,41,-,10,-,14,-,50,-,50,-,19,-
2,3,0,0,0,その他,28,-,-20,28,-,3,-,4,-,37,-,35,-,24,-
2,1,0,0,0,実支出以外の支払(繰越金を除く),288557,-,11.1,303269,-,145679,-,159971,-,346169,-,348086,-,189889,-
2,2,0,0,0,預貯金,241746,-,14,252750,-,128196,-,138014,-,287614,-,288694,-,168456,-
2,2,0,0,0,保険料,6392,-,-26.7,6947,-,2568,-,3170,-,7900,-,8128,-,2547,-
2,3,0,0,0,個人・企業年金保険料,479,-,14.3,548,-,78,-,105,-,636,-,684,-,-,-
2,3,0,0,0,他の保険料,5913,-,-28.7,6399,-,2490,-,3065,-,7265,-,7445,-,2547,-
2,2,0,0,0,有価証券購入,1006,-,-78.1,820,-,40,-,50,-,1401,-,1054,-,1995,-
2,2,0,0,0,土地家屋借金返済,3807,-,40.7,4369,-,1354,-,1792,-,4805,-,5153,-,-,-
2,2,0,0,0,他の借金返済,589,-,-2.8,283,-,343,-,371,-,684,-,251,-,2776,-
2,2,0,0,0,分割払購入借入金返済,1432,-,1.8,1446,-,495,-,217,-,1814,-,1827,-,1368,-
2,2,0,0,0,一括払購入借入金返済,32126,-,12.1,34986,-,12412,-,15983,-,40017,-,40910,-,12671,-
2,2,0,0,0,実支出以外の支払のその他,1461,-,65.3,1668,-,270,-,375,-,1934,-,2068,-,76,-
2,1,0,0,0,繰越金,66892,-,5,71113,-,49068,-,54613,-,73975,-,76332,-,37797,-
3,0,0,0,0,可処分所得,188050,-,9.3,195610,-,111487,-,115407,-,219071,-,220896,-,136512,-
3,0,0,0,0,黒字,-81099,-,15.5,-86077,-,-57475,-,-63376,-,-90030,-,-92896,-,-45886,-
3,1,0,0,0,金融資産純増,-35421,-,42.5,-38946,-,-31558,-,-36020,-,-36415,-,-39753,-,-9265,-
3,3,0,0,0,貯蓄純増,-36356,-,41.4,-39684,-,-31598,-,-36069,-,-37715,-,-40699,-,-11260,-
3,4,0,0,0,預貯金純増,-13724,-,69.6,-14817,-,-26857,-,-30036,-,-7844,-,-9867,-,-3025,-
3,4,0,0,0,保険純増,-22632,-,-34,-24868,-,-4741,-,-6033,-,-29871,-,-30833,-,-8235,-
3,3,0,0,0,有価証券純購入,935,-,114.9,739,-,40,-,50,-,1300,-,946,-,1995,-
3,1,0,0,0,土地家屋借金純減,3807,-,40.7,4369,-,1354,-,1792,-,4805,-,5153,-,-,-
3,1,0,0,0,他の借金純減,405,-,22,73,-,167,-,126,-,500,-,53,-,2776,-
3,1,0,0,0,分割払購入借入金純減,424,-,153.8,318,-,-90,-,-484,-,634,-,567,-,1183,-
3,1,0,0,0,一括払購入借入金純減,-22834,-,-18.5,-25665,-,-7300,-,-9471,-,-29059,-,-30718,-,-3680,-
3,1,0,0,0,土地家屋純増,-7908,-,-442.9,-6528,-,-,-,-,-,-11094,-,-8428,-,-18443,-
3,1,0,0,0,その他の純増,797,-,40.8,910,-,227,-,313,-,1023,-,1094,-,31,-
3,1,0,0,0,繰越純増,-20369,-,-0.7,-20609,-,-20274,-,-19632,-,-20424,-,-20864,-,-18487,-
,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,,,,,,,,,
第３０表　年間収入区分別及び住居所有形態別１世帯当たり年平均１か月間の収入と用途別生計支出　―　無職世帯　―,,,,,,,,,,,,,,,,,,,,
注１）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。,,,,,,,,,,,,,,,,,,,,
