項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
菓子類,6027,6.4,4.3,6612,6.4,4.3
調理食品,10397,4.8,3.9,10642,3.9,3
主食的調理食品,4354,6.4,5.5,4510,5,4.1
他の調理食品,6043,3.8,2.9,6132,3.1,2.2
飲料,4698,5.9,5.7,4960,4.8,4.6
茶類,1095,5.2,5.7,1102,5.6,6.1
コーヒー・ココア,945,5.7,6.1,1005,5.1,5.5
他の飲料,2658,6.3,5.5,2853,4.4,3.6
酒類,3184,1.5,2,3127,1.3,1.8
外食,12726,3.9,2.4,16139,4.6,3.1
一般外食,11875,4.1,2.5,14722,4.8,3.1
学校給食,850,1.2,1.2,1417,2.5,2.5
住居,17094,1.1,0.1,19292,6,5
家賃地代,8095,-4.6,-4.6,11405,-6.1,-6.1
設備修繕・維持,8999,6.7,4.7,7886,30.2,27.8
設備材料,2757,3.8,3.4,2297,15.8,15.3
工事その他のサービス,6241,8.1,5.5,5590,37.3,34
光熱・水道,21951,-0.3,-2.5,21838,0.3,-2
電気代,10825,0.6,-2.3,10734,1.6,-1.4
ガス代,4852,1.9,-1.2,4920,1.5,-1.6
他の光熱,1229,-11.6,-11.6,957,-13.2,-13.2
上下水道料,5044,-1.2,-1.8,5226,-0.4,-1
家具・家事用品,11486,6,3.7,12079,6.5,4.2
家庭用耐久財,3970,7.8,2.8,4050,10.1,5
家事用耐久財,2065,10.6,3.9,2051,9.9,3.3
冷暖房用器具,1360,3.9,-0.6,1321,4.2,-0.3
一般家具,544,7.1,5.6,678,25.1,23.4
室内装備・装飾品,640,4.1,2.5,629,5.5,3.8
寝具類,807,1,-0.8,890,3.5,1.7
家事雑貨,2192,4.7,5,2476,2.9,3.2
家事用消耗品,3024,7,5.4,3270,6.9,5.3
家事サービス,853,3.9,2.6,764,3.4,2.1
被服及び履物,10779,-0.1,-0.5,12935,-1,-1.4
和服,138,3.8,2.8,118,-7.8,-8.7
洋服,4332,0.1,0.3,5514,-0.1,0.1
男子用洋服,1410,-0.4,-0.9,1820,-0.4,-0.9
婦人用洋服,2473,0.1,0,2970,-0.2,-0.3
子供用洋服,448,1.4,5.2,724,1.3,5.1
シャツ・セーター類,2146,0.5,0.1,2465,0.5,0.1
男子用シャツ・セーター類,686,3.5,4.1,804,4.3,4.9
婦人用シャツ・セーター類,1300,-1.5,-2.3,1399,-2.4,-3.2
子供用シャツ・セーター類,160,4.6,3.7,262,5.2,4.3
下着類,1004,-0.5,-1.1,1097,-1.3,-1.9
男子用下着類,311,-3.4,-3.7,290,-2.7,-3
婦人用下着類,583,1.6,0.8,624,-0.6,-1.4
子供用下着類,111,-1.8,-2.6,183,-1.1,-1.9
生地・糸類,117,-0.8,-,102,-1.9,-
他の被服,855,-1.6,-2,1022,-1.8,-2.2
履物類,1501,-0.1,-1.4,1840,-3.8,-5
被服関連サービス,687,-1.2,-3.5,778,-3,-5.3
保健医療,13933,5.3,4.6,12662,5.8,5.1
医薬品,2577,8.6,8.7,2178,7.6,7.7
健康保持用摂取品,1106,-7.8,-,816,-0.5,-
保健医療用品・器具,2467,12.1,11.3,2641,4.5,3.8
保健医療サービス,7783,4.4,3.4,7026,6.4,5.3
交通・通信,43632,3.6,4.3,54943,6.7,7.5
交通,5965,8.9,8.1,7684,9.3,8.5
自動車等関係費,24076,3.6,3.5,31054,11.1,11
自動車等購入,6864,4.8,4,10251,29.6,28.6
自転車購入,338,24.7,22.5,470,32.8,30.5
自動車等維持,16874,2.8,2.9,20333,3.3,3.4
通信,13591,1.4,4.6,16206,-2,1.1
教育,11492,-2.5,-1,18529,-3.1,-1.6
授業料等,8622,-2.7,0,13832,-4.2,-1.5
教科書・学習参考教材,221,23.5,23.1,367,21.5,21.1
補習教育,2649,-3.6,-4.7,4331,-1.5,-2.7
教養娯楽,29343,6.4,4.7,31948,7.1,5.4
教養娯楽用耐久財,2027,19.6,19.5,2462,19.7,19.6
教養娯楽用品,6644,4.6,3.1,7522,3.8,2.3
書籍・他の印刷物,3325,0.1,-2.6,3016,-0.8,-3.5
教養娯楽サービス,17347,7,5.4,18948,8.3,6.7
宿泊料,1883,15.5,13.3,2196,22.1,19.8
パック旅行費,3556,10.5,-,3026,16.2,-
月謝類,3022,2.9,1.6,4121,3.1,1.8
他の教養娯楽サービス,8887,5.5,4.4,9605,5.7,4.5
その他の消費支出,58412,0.6,0,62195,-0.3,-0.9
諸雑費,23875,2.2,2.2,24995,3.4,3.4
理美容サービス,3106,5.4,4.6,3190,8.6,7.7
理美容用品,4686,6.7,6.7,5255,6.9,6.9
身の回り用品,1815,12.5,10.5,2274,17.1,15
たばこ,988,9.5,2.9,1107,11,4.3
他の諸雑費,13281,-1.6,1,13168,-1.5,1.1
こづかい(使途不明) ,9305,5.2,4.6,11897,0.2,-0.4
交際費,19740,-1.6,-2.2,17402,-3.1,-3.7
食料,5203,-3.1,-,4024,-4.6,-
家具・家事用品,231,-9.4,-,277,8.6,-
被服及び履物,528,-11,-,530,-10.8,-
教養娯楽,1336,-11.1,-,1151,-4.7,-
他の物品サービス,538,-1.6,-,470,-11.7,-
贈与金,8500,0.1,-,6362,-4.6,-
他の交際費,3404,3.1,-,4588,2.5,-
仕送り金,5491,-5.5,-6.1,7901,-5.9,-6.5
非消費支出,-,-,-,109504,5.7,-
勤労所得税,-,-,-,18675,7.3,-
個人住民税,-,-,-,19833,4.4,-
他の税,-,-,-,6979,-0.5,-
社会保険料,-,-,-,63925,6.4,-
実支出以外の支払(繰越金を除く),-,-,-,614769,7.6,-
預貯金,-,-,-,482965,7.2,-
可処分所得,-,-,-,476645,4.7,4.1
黒字,-,-,-,152792,9.3,-
金融資産純増,-,-,-,150723,22.6,-
貯蓄純増,-,-,-,149704,23.6,-
預貯金純増,-,-,-,131941,28.6,-
保険純増,-,-,-,17762,-4.1,-
有価証券純購入,-,-,-,1020,-44.3,-
土地家屋借金純減,-,-,-,32837,-5.1,-
分割払購入借入金純減,-,-,-,1103,-55.7,-
一括払購入借入金純減,-,-,-,-25838,-,-
平均消費性向（％）,-,-,-,67.9,-,-
貯蓄純増(平均貯蓄率) （％）　　　　,-,-,-,31.4,-,-
エンゲル係数（％）,25.7,-,-,23.9,-,-
,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,
参考表１　１世帯当たり年平均１か月間の収入と支出－全国,,,,,,
注1） 内訳は主要項目を掲げたため、内訳を足し上げても必ずしも合計とは一致しない。,,,,,,
注2） 「その他の消費支出」、「こづかい（使途不明）」、「交際費」及び「仕送り金」は、消費者物価指数（持家の帰属家賃を除く総合）を用いて実質化している。,,,,,,
注3） 平成31年・令和元年平均,,,,,,
資料）総務省統計局 「家計調査」,,,,,,
