項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,管理職／実数（円）,管理職／構成比（％）,専門職／実数（円）,専門職／構成比（％）,事務職／実数（円）,事務職／構成比（％）,技術職／実数（円）,技術職／構成比（％）,技能・労務職／実数（円）,技能・労務職／構成比（％）
1,3,0,0,0,個人・企業年金保険金,4836,-,2123,-,8720,-,5216,-,1846,-,4424,-
1,3,0,0,0,他の保険金,4016,-,-,-,846,-,6483,-,2701,-,1131,-
1,2,0,0,0,有価証券売却,1468,-,-,-,-,-,2881,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,144,-,-,-,-,-,134,-,84,-,355,-
1,2,0,0,0,分割払購入借入金,4529,-,9,-,15127,-,3874,-,4533,-,370,-
1,2,0,0,0,一括払購入借入金,110187,-,126219,-,141700,-,115001,-,126587,-,56380,-
1,2,0,0,0,土地家屋売却,384,-,-,-,-,-,775,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,448,-,68,-,441,-,528,-,654,-,73,-
1,1,0,0,0,繰入金,115365,-,108730,-,107469,-,92975,-,226979,-,75380,-
2,0,0,0,0,支払,1301276,-,1636827,-,1502066,-,1321178,-,1492371,-,911420,-
2,1,0,0,0,実支出,501987,-,770683,-,574702,-,520698,-,517076,-,369859,-
2,2,0,0,0,生計支出,368036,-,485084,-,410124,-,381533,-,366077,-,295373,-
2,3,0,0,0,消費支出,360606,100,485084,100,409228,100,366854,100,366077,100,294511,100
2,4,1,0,0,食料,90551,25.1,125098,25.8,93164,22.8,91530,24.9,91242,24.9,83429,28.3
2,5,1,1,0,穀類,6925,1.9,8807,1.8,6780,1.7,6920,1.9,6559,1.8,7250,2.5
2,6,1,1,1,米類,1832,0.5,2954,0.6,1823,0.4,1741,0.5,1654,0.5,2201,0.7
2,6,1,1,2,パン,3186,0.9,3732,0.8,2940,0.7,3314,0.9,3119,0.9,2997,1
2,6,1,1,3,麺類,1414,0.4,1596,0.3,1413,0.3,1367,0.4,1305,0.4,1633,0.6
2,6,1,1,4,他の穀類,493,0.1,525,0.1,605,0.1,498,0.1,482,0.1,418,0.1
2,5,1,2,0,魚介類,5193,1.4,5483,1.1,4889,1.2,5359,1.5,4754,1.3,5371,1.8
2,6,1,2,1,生鮮魚介,3121,0.9,3445,0.7,2917,0.7,3229,0.9,2944,0.8,3127,1.1
2,6,1,2,2,塩干魚介,886,0.2,802,0.2,846,0.2,915,0.2,765,0.2,958,0.3
2,6,1,2,3,魚肉練製品,457,0.1,531,0.1,389,0.1,457,0.1,401,0.1,559,0.2
2,6,1,2,4,他の魚介加工品,729,0.2,706,0.1,736,0.2,758,0.2,644,0.2,727,0.2
2,5,1,3,0,肉類,7951,2.2,10853,2.2,7903,1.9,8047,2.2,7522,2.1,7883,2.7
2,6,1,3,1,生鮮肉,6499,1.8,9182,1.9,6482,1.6,6573,1.8,6167,1.7,6388,2.2
2,6,1,3,2,加工肉,1453,0.4,1671,0.3,1420,0.3,1474,0.4,1355,0.4,1494,0.5
2,5,1,4,0,乳卵類,4109,1.1,4823,1,5034,1.2,4145,1.1,3943,1.1,3526,1.2
2,6,1,4,1,牛乳,1297,0.4,1411,0.3,1516,0.4,1380,0.4,1139,0.3,1080,0.4
2,6,1,4,2,乳製品,2058,0.6,2555,0.5,2708,0.7,2019,0.6,2066,0.6,1698,0.6
2,6,1,4,3,卵,754,0.2,856,0.2,810,0.2,746,0.2,738,0.2,747,0.3
2,5,1,5,0,野菜・海藻,8941,2.5,10334,2.1,9197,2.2,8973,2.4,8562,2.3,8972,3
2,6,1,5,1,生鮮野菜,6254,1.7,7006,1.4,6447,1.6,6290,1.7,6114,1.7,6105,2.1
2,6,1,5,2,乾物・海藻,683,0.2,921,0.2,728,0.2,667,0.2,675,0.2,694,0.2
2,6,1,5,3,大豆加工品,1028,0.3,1303,0.3,1120,0.3,1047,0.3,975,0.3,957,0.3
2,6,1,5,4,他の野菜・海藻加工品,975,0.3,1106,0.2,903,0.2,969,0.3,798,0.2,1216,0.4
2,5,1,6,0,果物,2839,0.8,3292,0.7,2978,0.7,2859,0.8,2799,0.8,2685,0.9
2,6,1,6,1,生鮮果物,2513,0.7,2911,0.6,2596,0.6,2531,0.7,2413,0.7,2463,0.8
2,6,1,6,2,果物加工品,327,0.1,381,0.1,382,0.1,328,0.1,386,0.1,222,0.1
2,5,1,7,0,油脂・調味料,3575,1,4680,1,3627,0.9,3559,1,3392,0.9,3695,1.3
2,6,1,7,1,油脂,351,0.1,577,0.1,362,0.1,352,0.1,327,0.1,348,0.1
2,6,1,7,2,調味料,3224,0.9,4103,0.8,3265,0.8,3207,0.9,3065,0.8,3347,1.1
2,5,1,8,0,菓子類,7073,2,9690,2,7171,1.8,7283,2,7110,1.9,6129,2.1
2,5,1,9,0,調理食品,11918,3.3,10866,2.2,11281,2.8,11924,3.3,11859,3.2,12483,4.2
2,6,1,9,1,主食的調理食品,5045,1.4,4748,1,4952,1.2,4937,1.3,5406,1.5,5062,1.7
2,6,1,9,2,他の調理食品,6872,1.9,6119,1.3,6329,1.5,6987,1.9,6452,1.8,7421,2.5
2,5,1,10,0,飲料,5309,1.5,4834,1,5628,1.4,5145,1.4,5458,1.5,5429,1.8
2,6,1,10,1,茶類,1238,0.3,1203,0.2,1165,0.3,1255,0.3,1263,0.3,1231,0.4
2,6,1,10,2,コーヒー・ココア,1008,0.3,1230,0.3,879,0.2,1004,0.3,1125,0.3,962,0.3
2,6,1,10,3,他の飲料,3063,0.8,2401,0.5,3584,0.9,2886,0.8,3070,0.8,3237,1.1
2,5,1,11,0,酒類,3618,1,2265,0.5,3732,0.9,3535,1,3392,0.9,4096,1.4
2,5,1,12,0,外食,23100,6.4,49171,10.1,24946,6.1,23782,6.5,25893,7.1,15911,5.4
2,6,1,12,1,一般外食,21656,6,48440,10,23399,5.7,22411,6.1,24592,6.7,14115,4.8
2,6,1,12,2,学校給食,1445,0.4,731,0.2,1547,0.4,1371,0.4,1301,0.4,1796,0.6
2,4,2,0,0,住居,26402,7.3,38655,8,33705,8.2,21999,6,26087,7.1,32996,11.2
2,5,2,1,0,家賃地代,18308,5.1,27374,5.6,24307,5.9,12939,3.5,20398,5.6,25681,8.7
2,5,2,2,0,設備修繕・維持,8094,2.2,11281,2.3,9398,2.3,9060,2.5,5689,1.6,7316,2.5
2,6,2,2,1,設備材料,2335,0.6,88,0,289,0.1,2366,0.6,2731,0.7,3299,1.1
2,6,2,2,2,工事その他のサービス,5759,1.6,11193,2.3,9109,2.2,6695,1.8,2958,0.8,4016,1.4
2,4,3,0,0,光熱・水道,21172,5.9,23823,4.9,21291,5.2,21443,5.8,19713,5.4,21490,7.3
2,5,3,1,0,電気代,9749,2.7,10323,2.1,10241,2.5,10027,2.7,8912,2.4,9451,3.2
2,5,3,2,0,ガス代,6074,1.7,6991,1.4,5798,1.4,6112,1.7,6132,1.7,5981,2
2,5,3,3,0,他の光熱,237,0.1,230,0,126,0,162,0,117,0,647,0.2
2,5,3,4,0,上下水道料,5111,1.4,6279,1.3,5126,1.3,5142,1.4,4551,1.2,5411,1.8
2,4,4,0,0,家具・家事用品,12628,3.5,12858,2.7,15611,3.8,12534,3.4,13186,3.6,10066,3.4
2,5,4,1,0,家庭用耐久財,3625,1,2176,0.4,6202,1.5,3021,0.8,4503,1.2,2461,0.8
2,6,4,1,1,家事用耐久財,1715,0.5,1857,0.4,1301,0.3,1654,0.5,2460,0.7,1199,0.4
2,6,4,1,2,冷暖房用器具,1031,0.3,100,0,1636,0.4,757,0.2,1689,0.5,724,0.2
2,6,4,1,3,一般家具,879,0.2,218,0,3265,0.8,610,0.2,355,0.1,537,0.2
2,5,4,2,0,室内装備・装飾品,955,0.3,525,0.1,650,0.2,1403,0.4,668,0.2,318,0.1
2,5,4,3,0,寝具類,1197,0.3,2086,0.4,1045,0.3,1025,0.3,1006,0.3,1877,0.6
2,5,4,4,0,家事雑貨,2872,0.8,3345,0.7,3313,0.8,2856,0.8,3466,0.9,1979,0.7
2,5,4,5,0,家事用消耗品,3170,0.9,3899,0.8,3269,0.8,3255,0.9,2881,0.8,3088,1
2,5,4,6,0,家事サービス,810,0.2,827,0.2,1134,0.3,975,0.3,662,0.2,344,0.1
2,4,5,0,0,被服及び履物,16768,4.6,28898,6,20073,4.9,17523,4.8,17396,4.8,10642,3.6
2,5,5,1,0,和服,162,0,21,0,38,0,131,0,494,0.1,14,0
2,5,5,2,0,洋服,7728,2.1,12633,2.6,7916,1.9,8433,2.3,8305,2.3,4699,1.6
2,6,5,2,1,男子用洋服,2465,0.7,5958,1.2,2131,0.5,2804,0.8,2756,0.8,1235,0.4
2,6,5,2,2,婦人用洋服,4312,1.2,6188,1.3,4581,1.1,4665,1.3,4333,1.2,2952,1
2,6,5,2,3,子供用洋服,950,0.3,487,0.1,1204,0.3,965,0.3,1215,0.3,512,0.2
2,5,5,3,0,シャツ・セーター類,2980,0.8,5817,1.2,3893,1,2989,0.8,3133,0.9,1900,0.6
2,6,5,3,1,男子用シャツ・セーター類,1034,0.3,1705,0.4,1366,0.3,1044,0.3,1144,0.3,595,0.2
2,6,5,3,2,婦人用シャツ・セーター類,1679,0.5,4050,0.8,2135,0.5,1692,0.5,1640,0.4,1146,0.4
2,6,5,3,3,子供用シャツ・セーター類,268,0.1,62,0,392,0.1,253,0.1,349,0.1,159,0.1
2,5,5,4,0,下着類,1168,0.3,1164,0.2,1629,0.4,1178,0.3,1162,0.3,815,0.3
2,6,5,4,1,男子用下着類,309,0.1,175,0,328,0.1,317,0.1,317,0.1,266,0.1
2,6,5,4,2,婦人用下着類,664,0.2,840,0.2,1036,0.3,677,0.2,584,0.2,441,0.1
2,6,5,4,3,子供用下着類,195,0.1,149,0,265,0.1,185,0.1,262,0.1,108,0
2,5,5,5,0,生地・糸類,168,0,776,0.2,341,0.1,155,0,112,0,63,0
2,5,5,6,0,他の被服,1184,0.3,2080,0.4,1487,0.4,1239,0.3,1089,0.3,820,0.3
2,5,5,7,0,履物類,2243,0.6,4376,0.9,3366,0.8,2093,0.6,2282,0.6,1600,0.5
2,5,5,8,0,被服関連サービス,1136,0.3,2031,0.4,1404,0.3,1306,0.4,820,0.2,731,0.2
2,4,6,0,0,保健医療,15418,4.3,22753,4.7,17539,4.3,15417,4.2,17559,4.8,11458,3.9
2,5,6,1,0,医薬品,2337,0.6,3692,0.8,2521,0.6,2411,0.7,2100,0.6,2233,0.8
2,5,6,2,0,健康保持用摂取品,937,0.3,1495,0.3,706,0.2,1082,0.3,810,0.2,809,0.3
2,5,6,3,0,保健医療用品・器具,2780,0.8,2708,0.6,3060,0.7,2999,0.8,2636,0.7,2133,0.7
2,5,6,4,0,保健医療サービス,9364,2.6,14858,3.1,11253,2.7,8924,2.4,12013,3.3,6283,2.1
2,4,7,0,0,交通・通信,46350,12.9,54441,11.2,57089,14,47151,12.9,49364,13.5,33578,11.4
2,5,7,1,0,交通,13316,3.7,21412,4.4,14229,3.5,14325,3.9,15363,4.2,6577,2.2
2,5,7,2,0,自動車等関係費,18341,5.1,19803,4.1,25950,6.3,18225,5,20820,5.7,11888,4
2,6,7,2,1,自動車等購入,5577,1.5,-,-,12349,3,4922,1.3,7992,2.2,1404,0.5
2,6,7,2,2,自転車購入,514,0.1,460,0.1,855,0.2,463,0.1,669,0.2,213,0.1
2,6,7,2,3,自動車等維持,12249,3.4,19343,4,12746,3.1,12841,3.5,12160,3.3,10271,3.5
2,5,7,3,0,通信,14694,4.1,13227,2.7,16911,4.1,14600,4,13182,3.6,15113,5.1
2,4,8,0,0,教育,32489,9,60280,12.4,34095,8.3,36428,9.9,28408,7.8,20824,7.1
2,5,8,1,0,授業料等,24202,6.7,49593,10.2,27690,6.8,26101,7.1,20868,5.7,16991,5.8
2,5,8,2,0,教科書・学習参考教材,385,0.1,575,0.1,526,0.1,425,0.1,386,0.1,147,0
2,5,8,3,0,補習教育,7903,2.2,10113,2.1,5879,1.4,9903,2.7,7154,2,3686,1.3
2,4,9,0,0,教養娯楽,40890,11.3,55362,11.4,55085,13.5,43042,11.7,42217,11.5,23913,8.1
2,5,9,1,0,教養娯楽用耐久財,3301,0.9,8386,1.7,5541,1.4,3197,0.9,3574,1,1338,0.5
2,5,9,2,0,教養娯楽用品,8383,2.3,16895,3.5,8680,2.1,8783,2.4,8222,2.2,5894,2
2,5,9,3,0,書籍・他の印刷物,3651,1,5933,1.2,3526,0.9,4001,1.1,3460,0.9,2836,1
2,5,9,4,0,教養娯楽サービス,25556,7.1,24148,5,37337,9.1,27062,7.4,26962,7.4,13844,4.7
2,6,9,4,1,宿泊料,3699,1,3662,0.8,4933,1.2,3808,1,4861,1.3,1750,0.6
2,6,9,4,2,パック旅行費,4378,1.2,5731,1.2,9334,2.3,4169,1.1,5491,1.5,1431,0.5
2,6,9,4,3,月謝類,5618,1.6,3836,0.8,9740,2.4,5679,1.5,5381,1.5,3004,1
2,6,9,4,4,他の教養娯楽サービス,11861,3.3,10919,2.3,13329,3.3,13406,3.7,11228,3.1,7659,2.6
2,4,10,0,0,その他の消費支出,57937,16.1,62916,13,61576,15,59786,16.3,60905,16.6,46115,15.7
2,5,10,1,0,諸雑費,26231,7.3,28298,5.8,29183,7.1,26543,7.2,27615,7.5,21668,7.4
2,6,10,1,1,理美容サービス,3774,1,6716,1.4,4054,1,3962,1.1,3964,1.1,2663,0.9
2,6,10,1,2,理美容用品,5814,1.6,9625,2,6104,1.5,5931,1.6,6389,1.7,4414,1.5
2,6,10,1,3,身の回り用品,3276,0.9,2496,0.5,3606,0.9,3492,1,3653,1,2164,0.7
2,6,10,1,4,たばこ,805,0.2,34,0,437,0.1,570,0.2,724,0.2,1871,0.6
2,6,10,1,5,他の諸雑費,12564,3.5,9428,1.9,14982,3.7,12588,3.4,12886,3.5,10555,3.6
2,5,10,2,0,こづかい,10653,3,16881,3.5,8001,2,11419,3.1,10770,2.9,9510,3.2
2,5,10,3,0,交際費,17012,4.7,17738,3.7,17380,4.2,17371,4.7,19135,5.2,13186,4.5
2,6,10,3,0,食料,4012,1.1,5509,1.1,5064,1.2,3981,1.1,4109,1.1,3140,1.1
2,6,10,3,0,家具・家事用品,178,0,154,0,226,0.1,176,0,224,0.1,99,0
2,6,10,3,0,被服及び履物,625,0.2,262,0.1,480,0.1,490,0.1,1407,0.4,388,0.1
2,6,10,3,0,教養娯楽,1035,0.3,762,0.2,1072,0.3,1055,0.3,1312,0.4,686,0.2
2,6,10,3,0,他の物品サービス,412,0.1,78,0,685,0.2,482,0.1,306,0.1,155,0.1
2,6,10,3,6,贈与金,5338,1.5,6923,1.4,5365,1.3,5021,1.4,5771,1.6,5381,1.8
2,6,10,3,7,他の交際費,5413,1.5,4050,0.8,4489,1.1,6167,1.7,6007,1.6,3336,1.1
2,5,10,4,0,仕送り金,4041,1.1,-,-,7012,1.7,4452,1.2,3386,0.9,1752,0.6
2,3,0,0,0,土地家屋購入,7430,-,-,-,896,-,14679,-,-,-,861,-
2,3,0,0,0,（再掲）教育関係費,37307,10.3,65763,13.6,42397,10.4,40607,11.1,33908,9.3,24239,8.2
2,3,0,0,0,（再掲）教養娯楽関係費,48142,13.4,66245,13.7,62319,15.2,51167,13.9,50501,13.8,26945,9.1
2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,9380,2.6,6923,1.4,12377,3,9473,2.6,9157,2.5,7134,2.4
2,3,0,0,0,（再掲）経常消費支出,251186,69.7,319297,65.8,266653,65.2,252213,68.8,255390,69.8,227955,77.4
2,3,0,0,0,（再掲）情報通信関係費,18133,5,16358,3.4,19650,4.8,18666,5.1,15470,4.2,18609,6.3
2,3,0,0,0,（再掲）消費支出（除く住居等）　１）,319247,88.5,439505,90.6,350798,85.7,330460,90.1,322842,88.2,252978,85.9
2,2,0,0,0,その他の実支出,133951,-,285599,-,164578,-,139165,-,150999,-,74486,-
2,3,0,0,0,直接税,63345,-,173844,-,87963,-,67183,-,68326,-,25558,-
2,4,0,0,0,勤労所得税,30342,-,136246,-,48452,-,31421,-,31485,-,9322,-
2,4,0,0,0,個人住民税,25761,-,34874,-,32735,-,27644,-,28602,-,11695,-
2,4,0,0,0,他の税,7243,-,2723,-,6776,-,8118,-,8239,-,4541,-
2,3,0,0,0,社会保険料,70554,-,111565,-,76440,-,71973,-,82589,-,48880,-
2,4,0,0,0,公的年金保険料,42206,-,66202,-,45382,-,43389,-,51440,-,26544,-
2,4,0,0,0,健康保険料,23205,-,36300,-,26017,-,23448,-,25857,-,17505,-
2,4,0,0,0,介護保険料,3802,-,6980,-,3547,-,3797,-,3630,-,3961,-
2,4,0,0,0,他の社会保険料,1341,-,2083,-,1493,-,1339,-,1663,-,870,-
2,3,0,0,0,その他,52,-,191,-,176,-,9,-,84,-,49,-
2,1,0,0,0,実支出以外の支払(繰越金を除く),704476,-,796121,-,854503,-,725029,-,767180,-,486733,-
2,2,0,0,0,預貯金,547819,-,649448,-,652168,-,557896,-,601147,-,396736,-
2,2,0,0,0,保険料,26356,-,38357,-,37750,-,25623,-,27122,-,19833,-
2,3,0,0,0,個人・企業年金保険料,4877,-,4838,-,5089,-,5285,-,6706,-,1741,-
2,3,0,0,0,他の保険料,21479,-,33519,-,32661,-,20338,-,20416,-,18092,-
2,2,0,0,0,有価証券購入,3401,-,10750,-,2461,-,3995,-,4078,-,1338,-
2,2,0,0,0,土地家屋借金返済,46472,-,14082,-,70120,-,50861,-,44515,-,23561,-
2,2,0,0,0,他の借金返済,2007,-,205,-,1631,-,1971,-,1999,-,2507,-
2,2,0,0,0,分割払購入借入金返済,3857,-,774,-,7304,-,3854,-,2328,-,3392,-
2,2,0,0,0,一括払購入借入金返済,73765,-,81924,-,82301,-,80029,-,85296,-,38414,-
2,2,0,0,0,実支出以外の支払のその他,799,-,583,-,769,-,801,-,696,-,952,-
2,1,0,0,0,繰越金,94813,-,70024,-,72860,-,75450,-,208114,-,54827,-
3,0,0,0,0,可処分所得,539517,-,692731,-,640589,-,544967,-,607469,-,384757,-
3,0,0,0,0,黒字,178911,-,207648,-,231361,-,178113,-,241392,-,90245,-
3,1,0,0,0,金融資産純増,180825,-,275084,-,260217,-,163754,-,257281,-,98288,-
3,3,0,0,0,貯蓄純増,178892,-,264334,-,257756,-,162640,-,253204,-,96950,-
3,4,0,0,0,預貯金純増,161389,-,228100,-,229572,-,148716,-,230628,-,82672,-
3,4,0,0,0,保険純増,17503,-,36234,-,28184,-,13924,-,22576,-,14278,-
3,3,0,0,0,有価証券純購入,1933,-,10750,-,2461,-,1114,-,4078,-,1338,-
3,1,0,0,0,土地家屋借金純減,46472,-,14082,-,70120,-,50861,-,44515,-,23561,-
3,1,0,0,0,他の借金純減,1863,-,205,-,1631,-,1838,-,1915,-,2152,-
3,1,0,0,0,分割払購入借入金純減,-671,-,765,-,-7823,-,-20,-,-2205,-,3023,-
3,1,0,0,0,一括払購入借入金純減,-36422,-,-44296,-,-59400,-,-34972,-,-41291,-,-17966,-
3,1,0,0,0,土地家屋純増,7046,-,-,-,896,-,13905,-,-,-,861,-
3,1,0,0,0,その他の純増,351,-,515,-,328,-,273,-,42,-,879,-
3,1,0,0,0,繰越純増,-20552,-,-38707,-,-34609,-,-17525,-,-18864,-,-20553,-
,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,,,,,,
第２３表　職能形態別１世帯当たり年平均１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,
注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）,,,,,,,,,,,,,,,,,
