事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
100～499人,平成19,2007,9月,18.9,158.2,143.3,14.9,15.5,103,97.6,5.4
100～499人,平成19,2007,10月,20.1,167.5,152,15.5,16,107.6,102.3,5.3
100～499人,平成19,2007,11月,20.6,172.2,156.5,15.7,16.4,107.5,102.3,5.2
100～499人,平成19,2007,12月,19.4,161.6,146.3,15.3,15.8,106.8,101,5.8
500人以上,平成17,2005,年平均,19.5,161.1,145.4,15.7,15.4,96.3,89.9,6.4
500人以上,平成18,2006,年平均,19.6,162.4,146.5,15.9,15,93.7,88,5.7
500人以上,平成19,2007,年平均,19.6,163.5,146.4,17.1,14.5,84.8,79.4,5.4
500人以上,平成19,2007,1月,18.5,155.2,138.9,16.3,14.1,84,77.9,6.1
500人以上,平成19,2007,2月,18.7,156.6,139.9,16.7,14.3,84.1,78.6,5.5
500人以上,平成19,2007,3月,19.7,165,147,18,14.5,86.3,80,6.3
500人以上,平成19,2007,4月,19.9,167.1,149,18.1,14.5,85.4,80,5.4
500人以上,平成19,2007,5月,19.5,163.1,146.1,17,14.4,84.5,78.8,5.7
500人以上,平成19,2007,6月,20.2,168.5,151.3,17.2,15.2,87.7,82,5.7
500人以上,平成19,2007,7月,20.3,169.3,151.7,17.6,14.9,87.2,81.4,5.8
500人以上,平成19,2007,8月,19.9,166,149.4,16.6,14.8,87.3,81.6,5.7
500人以上,平成19,2007,9月,18.5,155.1,138.8,16.3,14.2,84.4,78.1,6.3
500人以上,平成19,2007,10月,20,166,149,17,14.6,82.2,78.2,4
500人以上,平成19,2007,11月,20.4,170.5,152.7,17.8,14.6,82.2,78.2,4
500人以上,平成19,2007,12月,19,159.5,142.5,17,14.2,81.6,77.4,4.2
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成19年確報,,,,,,,,,,,
第９表　規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数  （調査産業計）,,,,,,,,,,,
