実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年6月,2012,6,-,-,-,-,1.6,2.1,2.3,-9.1,9,10.2,2.4,2.3,13.3,-6.5,-4.4,3.4,-1.1,-2.9
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年7月,2012,7,-,-,-,-,4.7,4.1,-0.9,44.2,6.6,-0.8,8.9,27.5,5.3,-15.3,-1.9,-0.3,0.2,73.8
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年8月,2012,8,-,-,-,-,7.2,7.2,-1.3,30.4,4.3,0.5,15.4,31,12.5,-9.2,-0.3,10.5,24.2,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年9月,2012,9,-,-,-,-,-3.6,0.8,-1,-1.4,3.7,-0.8,11.7,25.1,12.6,-21.4,-1.6,2,10.9,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年10月,2012,10,-,-,-,-,-9.4,2.9,-3,25.2,3.8,15.8,11.3,7.5,-1.5,1.5,1.4,1.3,10.1,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年11月,2012,11,-,-,-,-,-4.8,-1.8,-0.6,9.2,6.9,10.2,7.4,-19.8,-3.2,-22.6,0.9,-4.9,1.8,-26.6
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年12月,2012,12,-,-,-,-,-4,-1.6,0,14.3,11.3,-8.2,1.2,-5.5,6.1,-34.3,6.7,-11.9,-3.8,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成25年1月,2013,1,-,-,-,-,13.3,0,-3.3,-8.4,6.5,1,4.8,9.6,15.3,8.1,0.7,-7.8,-10.1,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成25年2月,2013,2,-,-,-,-,-1.5,1,-2.3,20.7,1.8,-0.6,12.3,-12.8,15.8,-13.5,11.1,-8.6,-12.2,-84.3
jissitu,nen,対前年（同期・同月）実質増加率_平成21年平均,2009,,-,-,-,-,-,5,3.6,12.8,-0.3,11.7,7.5,6.4,7.8,-3.7,5.7,-,7.8,-
jissitu,nen,対前年（同期・同月）実質増加率_平成22年平均,2010,,-,-,-,-,-,0.8,-2.2,-0.8,4.8,4.5,0.3,-1.9,1.7,7.5,7.7,-,3.5,-
jissitu,nen,対前年（同期・同月）実質増加率_平成23年平均,2011,,-,-,-,-,-,-4.7,-0.4,-5.8,-7.7,2,-11.4,3.4,-7.3,2.2,-11.4,-,-9.7,-
jissitu,nen,対前年（同期・同月）実質増加率_平成24年平均,2012,,-,-,-,-,-,2.9,2,8.8,2.5,9.9,6.1,0.6,5.3,-3.1,2.4,-,7.5,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成23年10～12月,2011,10～12,-,-,-,-,-,1.7,3.8,-12,-4.7,16.6,-0.7,7.3,4.2,19.8,-11.6,-,12.2,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成24年1～3月,2012,1～3,-,-,-,-,-,2.5,3.5,0.5,3.4,12.2,7.6,-7.6,-6.9,3.8,7.2,-,15.2,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成24年4～6月,2012,4～6,-,-,-,-,-,3.8,3.9,-2.2,6.1,11.6,-0.3,-6.6,19,11.9,-4,-,0.5,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成24年7～9月,2012,7～9,-,-,-,-,-,4.7,0.5,23.9,-1.2,5.6,10.6,27.7,10.7,-17.3,1.6,-,12.2,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成24年10～12月,2012,10～12,-,-,-,-,-,0.5,0.4,16.8,1.4,10.2,7.7,-6.9,0.6,-14.7,5.5,-,2.9,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年2月,2012,2,-,-,-,-,-,-1.4,5.9,-12.3,4.4,29.3,7.8,3.3,-22.4,-12.4,-9.1,-,10.6,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年3月,2012,3,-,-,-,-,-,7.9,2.7,-3.9,1.8,35.9,38.3,-23.6,-0.1,46,41.1,-,13.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年4月,2012,4,-,-,-,-,-,4.4,6.5,-15.9,5.3,3.7,1,-7.8,24.3,21,-8.7,-,-5.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年5月,2012,5,-,-,-,-,-,4.2,2.4,12.1,8.7,11.7,-4.1,-13.9,18.2,-1.9,-1,-,8.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年6月,2012,6,-,-,-,-,-,2.6,2.9,-8.5,3.6,17.5,2.8,3.1,13.5,-6.6,-2.2,-,-0.4,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年7月,2012,7,-,-,-,-,-,4.8,0.5,45.1,1.6,4.9,7.4,27.5,6.3,-15.4,0.8,-,1,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年8月,2012,8,-,-,-,-,-,8,0.3,31.2,-0.8,6.8,14.1,30.7,13.1,-9.3,1.9,-,24.6,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年9月,2012,9,-,-,-,-,-,1.5,0.9,-0.9,-4.1,5.3,11.6,25,12.7,-21.5,1.9,-,11.6,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年10月,2012,10,-,-,-,-,-,3.7,-0.6,25.7,-2.9,21.9,12.2,7.4,-1.7,1.4,4.5,-,10.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年11月,2012,11,-,-,-,-,-,-1.3,0.6,9.5,0.9,16.4,8.9,-19.6,-2.8,-22.7,2.9,-,2.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成24年12月,2012,12,-,-,-,-,-,-1,1,14.6,5.6,-3,2.4,-5.3,6.8,-34.4,8.9,-,-3.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成25年1月,2013,1,-,-,-,-,-,0.6,-2.4,-8.1,1.7,8.3,4.9,9.9,16.3,8,2.3,-,-9.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成25年2月,2013,2,-,-,-,-,-,2,-0.2,21.1,-1.9,5,15.1,-12.7,15.6,-13.6,13.7,-,-11.4,-
,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成25年2月,,,,,,,,,,,,,,,,,,,,,,
主要指標１　―全世帯―,,,,,,,,,,,,,,,,,,,,,,
