"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","内容まで知っていた[人]","大体知っていた[人]","あまり知らなかった[人]","全く知らなかった[人]","無回答[人]"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","居住地区別","赤坂地区","83","12","43","25","3","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","居住地区別","高輪地区","146","17","72","45","10","2"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","居住地区別","芝浦港南地区","140","18","70","43","8","1"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","居住地区別","無回答","19","2","3","2","1","11"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","持家（一戸建）","64","9","31","22","2","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","持家（マンション）","270","30","140","83","14","3"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","借家（一戸建）","9","3","2","2","2","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","民間の賃貸マンション・アパート","151","27","64","48","11","1"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","都営住宅・区営住宅・区立住宅","26","0","12","11","1","2"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","2","4","4","1","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","社宅・公務員宿舎","10","4","3","3","0","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","0","3","0","1"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","その他","5","0","3","1","1","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","住居形態別","無回答","11","0","1","0","0","10"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","定住意向別","ずっと住み続けていたい","281","39","131","91","14","6"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","定住意向別","当分は住んでいたい","204","29","100","55","13","7"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","4","17","17","4","3"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","0","2","3","0","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","定住意向別","近いうちに区外に転居する予定である","13","1","4","7","1","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","定住意向別","わからない","10","2","4","4","0","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","定住意向別","無回答","3","0","2","0","0","1"

"第33回港区民世論調査クロス集計表・地球温暖化対策Q19","Ver202203",,,,,,,,,
