"事業所名称","サービス名","対象","定員[人]","運営法人","郵便番号","住所","電話番号","FAX番号","緯度","経度"
"就労継続支援Ｂ型　MUSE935","就労継続支援Ｂ型","18歳以上で障害者総合支援法における就労継続支援Ｂ型支給決定者","20","一般社団法人日本代替医療食品研究会","106-0031","東京都港区西麻布四丁目11番4号　西麻布尾花ビル5、6階","03-6433-5936","03-6433-5937","35.658910","139.722953"
"ライフ＆ワーク","就労移行支援","18歳以上で障害者総合支援法における就労移行支援支給決定者","20","株式会社Decent work","105-0001","東京都港区虎ノ門一丁目16番16号　虎ノ門1丁目MGビル5階","03-3593-1120","03-3593-1126","35.668405","139.748635"
"ディーキャリア芝浦オフィス","就労移行支援","18歳以上で障害者総合支援法における就労移行支援支給決定者","20","デコボコベース株式会社","108-0023","東京都港区芝浦四丁目12番31号","03-6809-6985","03-6809-6957","35.640053","139.749134"
"リヴァトレ品川","就労移行支援","18歳以上で障害者総合支援法における就労移行支援支給決定者","20","株式会社リヴァ","108-0075","東京都港区港南二丁目11番1号　品川シティビル2F","03-6433-3016","03-6433-3017","35.624520","139.745346"
"ディーキャリアITエキスパート田町オフィス","就労移行支援","18歳以上で障害者総合支援法における就労移行支援支給決定者","20","デコボコベース株式会社","108-0023","東京都港区芝浦四丁目12番44号　芝浦TMビル6階","03-6811-5818","03-6811-5817","35.641279","139.748219"
"株式会社ＬＩＴＡＬＩＣＯパートナーズ","就労移行支援","18歳以上で障害者総合支援法における就労移行支援支給決定者","20","株式会社ＬＩＴＡＬＩＣＯパートナーズ","105-0004","東京都港区新橋二丁目3番6号　中沢建物新橋ビル4階","03-3500-3595","03-3500-3596","35.667606","139.755460"
"株式会社ブラボークリエイティブス","就労継続支援Ａ型","18歳以上で障害者総合支援法における就労継続支援Ａ型支給決定者","20","株式会社ブラボークリエイティブス","106-0047","東京都港区南麻布一丁目6番8号　南麻布古川ビル3階","03-5419-9272","03-5419-9273","35.652445","139.736245"
"株式会社ＫＡＩＳＥＩ","就労継続支援Ｂ型","18歳以上で障害者総合支援法における就労継続支援Ｂ型支給決定者","20","株式会社ＫＡＩＳＥＩ","107-0052","東京都港区赤坂二丁目17番55号","03-6459-1071","03-6459-1071","35.670463","139.738159"
"ハービー＆マックローリン・陽だまり介護センター","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","Ｈａｒｖｅｙ＆Ｍａｃｌａｕｒｉｎ特定非営利活動法人","108-0074","東京都港区高輪三丁目19番20号　103号・102号","03-5791-2097","03-5423-7410","35.633555","139.737531"
"スポーツ塾　ハートフルデイ東麻布","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","ハートフルデイ株式会社","106-0044","東京都港区東麻布二丁目5番9号　サンエイビル2階","03-6441-0607","03-6441-0607","35.657092","139.741822"
"ＴＯＤＡＹ児童デイサービス白金","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","ＡＨＣグループ株式会社","108-0072","東京都港区白金三丁目16番9号","03-6450-2157","03-6450-2158","35.644424","139.728061"
"ハッピーテラス芝浦教室","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","ハッピーテラス株式会社","108-0023","東京都港区芝浦四丁目12番31号","03-6435-3386","03-6435-3387","35.640053","139.749134"
"スポーツ塾　ハートフルデイ芝浦","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","ハートフルデイ株式会社","108-0023","東京都港区芝浦二丁目17番10号　新大友ビル1階","03-5439-9929","03-5439-9929","35.644944","139.752266"
"こどもサポート教室「きらり」白金高輪校","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","株式会社クラ・ゼミ","108-0073","東京都港区三田四丁目10番5号　テラドール1階","03-6435-3438","03-6435-3438","35.641843","139.738439"
"すてっぷわん","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","アイピートーク株式会社","108-0074","東京都港区高輪一丁目17番15号　オーク高輪ビル2階","03-5860-2378","03-5860-2379","35.640298","139.733180"
"児童発達支援・放課後等デイサービス　キッズプレイスたかなわだい","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","一般社団法人日本発達障害支援協会Humane　Place","108-0074","東京都港区高輪三丁目6番23号　エステート高輪102A","03-5422-7049","03-5422-7049","35.633999","139.732197"
"児童発達支援・放課後等デイサービス　キッズプレイスたかなわだいセカンド","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","株式会社BEYS","108-0074","東京都港区高輪三丁目6番23号　エステート高輪202","03-6277-4247","03-6277-4248","35.633999","139.732197"
"児童発達支援・放課後等デイサービス　Lumo　by　animom　芝浦校","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","株式会社Gotoschool","108-0023","東京都港区芝浦三丁目19番18号","03-3456-2738","03-3456-2738","35.641533","139.748577"
"ＴＯＤＡＹ児童デイサービス白金２号館","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","ＡＨＣグループ株式会社","108-0072","東京都港区白金五丁目6番9号　田中ビル1階","03-5422-7853","03-5422-7854","35.645078","139.727902"
"ＤＲＫ青山スタジオ","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","株式会社デジタル療育研究所","107-0062","東京都港区南青山二丁目24番10号　2F","03-843-0982","03-5843-0983","35.670069","139.717947"
"児童発達支援・放課後等デイサービス LUMO 三田校","児童発達支援・放課後等デイサービス","原則18歳未満で児童福祉法における児童発達支援、放課後等デイサービス支給決定者","10","株式会社Gotoschool","105-0014","東京都港区芝三丁目30番11号　芝三第二ビル　2階","03-6453-7397","03-6453-7398","35.651064","139.746292"
"コペルプラス　浜松町教室","児童発達支援","原則18歳未満で児童福祉法における児童発達支援支給決定者","10","株式会社アイグラン","105-0013","東京都港区浜松町一丁目24番8号","03-5422-1107","03-5422-1108","35.657292","139.756703"
"児童発達支援　ヒトツナ麻布教室","児童発達支援","原則18歳未満で児童福祉法における児童発達支援支給決定者","10","株式会社ＳＶＣ","106-0046","東京都港区元麻布三丁目1番36号　つなかわビル2階","03-6721-1561","03-6721-1562","35.658119","139.727573"
"スマートキッズプラス芝公園","放課後等デイサービス","原則18歳未満で児童福祉法における放課後等デイサービス支給決定者","10","スマートキッズ株式会社","105-0014","東京都港区芝三丁目25番2号　黒田芝ビル2階","03-6809-5597","03-6809-5598","35.651543","139.747061"
"ＫＯＫＯＺＯ　南青山","放課後等デイサービス","原則18歳未満で児童福祉法における放課後等デイサービス支給決定者","10","株式会社ファンライン","107-0062","東京都港区南青山四丁目3番24号　青山NKビル1階","03-6434-5596","03-6434-5596","35.666197","139.720200"
"アフタースクール　クローバーキッズ麻布十番","放課後等デイサービス","原則18歳未満で児童福祉法における放課後等デイサービス支給決定者","10","株式会社ＣＬＯＶＥＲ","106-0045","東京都港区麻布十番三丁目11番12号","03-3451-4141","03-3451-4141","35.652734","139.735130"

"港区内の障害者（児）施設など(2024年4月1日現在)","Ver202404",,,,,,,,,
