地域,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災事故,救急出場件数・運動競技事故,救急出場件数・自然災害事故,救急出場件数・水難事故,救急出場件数・労働災害事故,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材等輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・総数,救護人員・交通事故,救護人員・火災事故,救護人員・運動競技事故,救護人員・自然災害事故,救護人員・水難事故,救護人員・労働災害事故,救護人員・一般負傷,救護人員・自損行為,救護人員・加害,救護人員・急病,救護人員・転院搬送
武蔵村山市,"3,691",239,10,27,0,2,27,568,18,12,"2,235",174,1,0,34,"3,312",239,10,27,0,2,27,568,18,12,"2,235",174
多摩市,"7,454",348,7,59,0,6,40,"1,169",39,20,"4,183",434,0,0,87,"6,305",348,7,59,0,6,40,"1,169",39,20,"4,183",434
羽村市,"2,544",193,8,9,0,1,22,395,16,13,"1,545",63,0,0,21,"2,265",193,8,9,0,1,22,395,16,13,"1,545",63
あきる野市,"3,305",243,5,26,0,1,28,549,20,10,"1,968",121,2,1,35,"2,971",243,5,26,0,1,28,549,20,10,"1,968",121
西東京市,"9,564",391,5,63,0,5,34,"1,450",47,32,"5,354",628,0,0,139,"8,009",391,5,63,0,5,34,"1,450",47,32,"5,354",628
瑞穂町,"1,503",135,2,11,0,0,35,232,13,8,932,23,0,0,13,"1,391",135,2,11,0,0,35,232,13,8,932,23
日の出町,817,48,1,14,0,1,12,135,3,1,527,25,0,0,5,767,48,1,14,0,1,12,135,3,1,527,25
檜原村,209,42,1,1,0,0,3,43,0,0,75,1,0,0,2,166,42,1,1,0,0,3,43,0,0,75,1
奥多摩町,550,63,0,0,0,4,6,110,6,0,186,18,0,2,18,393,63,0,0,0,4,6,110,6,0,186,18
管轄外計,234,32,2,0,0,4,0,1,1,0,4,163,0,26,1,70,32,0,0,0,0,0,0,0,0,4,34
