政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
十五項・変電所,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,400,0,0
十五項・官公署,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,"3,800",0,0
十五項・銀行,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,300,0,0
十五項・事務所,83,0,0,10,73,85,0,0,10,75,20,5,1,14,36,325,150311064,0,7
十五項・その他の事業所,32,1,0,2,29,33,1,0,3,29,2,1,0,1,5,82,24102463,0,1
政令用途以外から出火,232,1,8,24,199,247,1,8,28,210,117,17,13,87,193,797,198998848,7,47
複合用途建物の住宅部分,75,1,8,17,49,90,1,8,21,60,110,17,13,80,179,724,163987396,6,40
使用中建物の空室部分,6,0,0,1,5,6,0,0,1,5,0,0,0,0,0,20,14215730,0,0
使用中建物の工事部分,12,0,0,1,11,12,0,0,1,11,0,0,0,0,0,5,2563300,0,0
複合用途建物の共用部分,139,0,0,5,134,139,0,0,5,134,7,0,0,7,14,48,18232422,1,7
