消防署, 損害額（ 円 ）・計, 損害額（ 円 ）・建物, 損害額（ 円 ）・建物内収容物, 損害額（ 円 ）・林野, 損害額（ 円 ）・車両, 損害額（ 円 ）・船舶, 損害額（ 円 ）・航空機, 損害額（ 円 ）・その他,死者,負傷者・計,負傷者・重症,負傷者・中等症,負傷者・軽症
東村山,"16,390,850","10,033,500","3,974,150",-,"2,364,000",-,-,"19,200",1,6,1,-,5
国分寺,"10,613,374","9,672,900","860,474",-,"70,000",-,-,"10,000",2,7,1,-,6
狛江,"11,780,051","7,285,576","1,119,910",-,3372065,-,-,2500,-,4,2,1,1
北多摩西部,"106,423,238","82,853,587","17,899,249",-,"5,577,500",-,-,"92,902",2,10,4,4,2
清瀬,"14,109,200","11,309,000","2,763,400",-,-,-,-,36800,1,1,-,1,-
東久留米,"53,026,836","46,108,210","6,915,546",-,-,-,-,"3,080",1,7,2,2,3
西東京,"33,194,330","26,038,235","6,647,705",-,"495,860",-,-,"12,530",1,4,1,1,2
八王子,"719,889,763","318,729,550","396,083,877",400,"4,870,600",-,-,"205,336",6,22,2,7,13
青梅,"110,297,678","54,444,228","20,619,950",32280000,"2,780,000",-,-,"173,500",1,13,4,3,6
町田,"60,850,540","43,459,710","13,693,030",-,"1,293,600",-,-,"2,404,200",2,17,2,4,11
日野,"17,328,713","12,718,858","3,636,215",-,"571,340",-,-,"402,300",1,6,1,-,5
福生,"117,599,533","82,183,963","34,690,060",-,"648,500",-,-,"77,010",4,12,3,5,4
多摩,"8,314,410","5,538,700","2,430,050",-,-,-,-,"345,660",-,12,-,1,11
秋川,"47,637,200","41,975,700","4,090,300",35300,1301500,-,-,"234,400",1,7,1,2,4
奥多摩,"34,228,740","32,971,650","264,020",6870,500000,-,-,486200,-,-,-,-,-
