政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
七項・小学校,5,-,-,-,5,5,-,-,-,5,-,-,-,-,-,-,"4,018,850",-,-
七項・中学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"1,982,600",-,-
七項・高等学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"1,100",-,-
七項・大学,17,-,-,3,14,17,-,-,3,14,-,-,-,-,-,183,"737,916,677",-,4
八項・図書館,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,600,-,-
十項・停車場,14,-,-,-,14,14,-,-,-,14,-,-,-,-,-,-,"138,740",-,-
十一項・神社,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,800,-,-
十一項・寺院,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,100,-,-
十一項・教会,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"15,924",-,-
十二項・イ・工場,20,-,-,1,19,20,-,-,1,19,-,-,-,-,-,-,"65,234,902",-,3
十二項・イ・作業場,26,2,-,6,18,29,3,1,7,18,3,-,-,3,6,142,"70,602,400",1,2
十三項・イ・車庫,2,1,-,-,1,3,1,-,-,2,-,-,-,-,-,78,"2,499,500",-,-
十三項・イ・駐車場,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-
十四項・倉庫,11,1,3,-,7,16,1,4,1,10,2,-,-,2,7,474,"56,704,900",-,1
十五項・取引所,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"400,000",-,-
十五項・官公署,13,-,-,-,13,13,-,-,-,13,-,-,-,-,-,-,"75,994,100",-,-
十五項・銀行,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,700,-,-
十五項・事務所,59,-,-,2,57,59,-,-,2,57,-,-,-,-,-,-,"14,933,432",-,6
十五項・研究所,5,-,-,-,5,5,-,-,-,5,-,-,-,-,-,-,"265,900",-,-
十五項・その他の事業所,41,2,-,-,39,48,4,2,3,39,4,-,-,4,7,121,"15,060,444",-,2
十六項・イ・特定複合用途,773,1,9,66,697,785,1,9,67,708,257,23,19,215,450,1634,"499,127,842",6,115
十六項・ロ・非特定複合用途,293,3,14,55,221,332,3,16,67,246,332,41,40,251,522,"2,038","541,980,484",12,90
政令用途以外から出火,569,59,43,68,399,831,86,54,162,529,815,79,56,680,1880,8685,"1,330,462,280",40,174
住宅,525,46,41,62,376,751,68,50,141,492,794,75,54,665,1825,7440,"1,147,072,082",40,169
附属建物等,19,7,2,2,8,28,7,2,8,11,5,-,-,5,11,139,"4,716,080",-,2
空家,11,5,-,-,6,35,10,1,8,16,16,4,2,10,44,973,"161,098,718",-,3
使用中建物の空室部分,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"2,000",-,-
工事中の建物,13,1,-,4,8,16,1,1,5,9,-,-,-,-,-,133,"17,573,400",-,-
