認定番号,事業者名称,所在地,,電話番号,認定年月日,乗務員数,認定車両台数,その他
409,さくら介護タクシー,足立区,南花畑五丁目２０番１３号ディアコート弐番館１０１号室,090-8502-5397,2020/7/21,2,1,
420,足立介護タクシー　松寿丸,足立区,西伊興一丁目５番１２号,090-2527-5709,2020/9/29,2,1,
429,ケアさーくる１０１,足立区,鹿浜四丁目２７番２１号,090-8340-0506,2021/2/16,2,1,
453,富士搬送サービス,足立区,南花畑三丁目１８番６号,03-5851-9785,2021/10/21,1,1,
458,合同会社　日本救搬,足立区,千住桜木一丁目１番１２号１F,070-4114-0613,2021/12/8,1,1,
477,あやケアサポート株式会社,足立区,西加平一丁目１番６号,090-8875-8343,2022/4/22,4,2,
478,ケアサポートなかがわ,足立区,梅田七丁目２２番７号,090-6364-6727,2022/4/22,1,1,
497,株式会社　Ｓｕｎ　Ｒｏａｄ,足立区,谷在家二丁目９番１１号３０６号室,03-6338-3683,2023/3/3,3,2,
73,福祉移送サービスピクニック　村越信一,荒川区,荒川六丁目2番8号　町屋第2Ｍビル603,03-5855-1150,2022/11/28,2,1,
87,企業組合　ロマン交通　らくだサービス(営業所）,荒川区,西尾久六丁目１９番７号５１０番館１０５号,03-6861-4654,2007/9/10,3,1,
472,Jケア介護サポート,荒川区,南千住六丁目４５番３８号都営南千住六丁目アパート３８号棟７０３号室,090-4665-3434,2022/3/16,1,1,
58,介護タクシー「こばやし」,板橋区,前野町一丁目6番2号,03-3965-3175,2022/11/7,2,1,
61,有限会社　熊野町　橋本商店（東京板橋民間救急サービス）,板橋区,熊野町22番7号,03-3956-5962,2007/10/24,4,2,
89,有限会社　くんちゃんず,板橋区,双葉町40番9号,03-6789-2002,2007/12/27,3,1,
94,有限会社　城北民間救急ひまわり,板橋区,大山金井町35番5号,03-3958-7440,2007/11/2,2,1,
103,介護福祉タクシー　夢ドリーム,板橋区,三園一丁目29番8号,03-5968-4406,2022/11/15,3,4,
117,株式会社　Ｍ＆Ｗサポート,板橋区,四葉二丁目２１番１７号,03-3960-0401,2022/11/15,6,6,
172,キャメル福祉タクシー,板橋区,成増二丁目３０番８号,03-3976-6796,2010/11/1,1,1,
241,株式会社　アスク,板橋区,大谷口北町１３番７号,03-6316-826,2013/4/5,2,1,
261,ケアサポート　しまだ,板橋区,中丸町５７番１号,03-6784-7190,2013/9/30,2,1,
308,クニ　ケアサポート,板橋区,常盤台四丁目６番１８号,03-6676-4343,2015/3/19,2,1,
338,有限会社　光永オート　ベル民間救急,板橋区,新河岸一丁目１７番１８号,03-5920-1889,2016/8/30,3,1,
355,ＮＳＱＱ芙蓉,板橋区,南常盤台二丁目１６番１０号,090-7254-6106,2022/11/7,1,1,
376,株式会社ＰＡＬ,板橋区,西台一丁目２９番８号,03-4405-4271,2018/10/17,2,1,
417,ＡＧＡＳＡ救急サービス,板橋区,成増二丁目３４番１３号,090-7805-4465,2020/9/23,6,4,
435,介護タクシー　阿波っ子,板橋区,前野町二丁目４番１７号大商第三マンション２０３号室,090-8087-2150,2021/5/26,1,1,
437,株式会社　京花,板橋区,中丸町２８番３号,03-3973-5581,2021/6/11,3,1,
450,株式会社　ア・ビアント,板橋区,南常盤台一丁目２９番１２号　４Ｆ,03-5926-5877,2021/10/1,2,1,
461,ケアタクシー　オパール,板橋区,小茂根二丁目１４番５号,090-6526-0616,2022/1/4,1,1,
486,高度医療連携　民間救急搬送サービス,板橋区,大原町２１番１号,080-6862-0316,2022/8/26,3,1,
488,エイト救急サービス,板橋区,三園一丁目５１番４号　Ａ１０３,090-3472-8899,2022/10/12,3,1,
499,株式会社ＮＯＢＯＰＯ　やまたく介護タクシー,板橋区,四葉一丁目７番３号,090-2170-3762,2023/3/17,2,1,
87,企業組合　ロマン交通　らくだサービス,江戸川区,東瑞江二丁目１２番２０号　コーポ伊藤１０１,03-6861-4653,2007/9/10,3,1,
130,宮園バス株式会社（江戸川営業所）,江戸川区,西一之江四丁目13番20号,03-3652-2944,2008/10/28,2,1,
179,トータルエージェント株式会社,江戸川区,南小岩二丁目４番４７号,03-5876-7305,2011/2/7,2,3,
179,トータルエージェント株式会社　江戸川営業所,江戸川区,南篠崎町二丁目７番６号,070-1266-8314,2011/2/7,1,3,
179,トータルエージェント株式会社　南葛西営業所,江戸川区,南葛西六丁目１８番１号　２０４,080-9403-5198,2011/2/7,1,1,
179,トータルエージェント株式会社　小岩営業所,江戸川区,上一色二丁目１７番２４号　２Ｆ,070-1423-3695,2011/2/7,1,3,
202,株式会社　ティーケアブリッジ,江戸川区,江戸川三丁目３１番３号　４F,03-3677-7005,2012/5/10,4,2,
225,株式会社　ＩＥＥ（東京アンビュランス）,江戸川区,西小岩一丁目１１番２６号,03-3671-6365,2012/10/10,1,1,
288,株式会社　トータルクローバーサポート東京営業所,江戸川区,東松本二丁目１番３号３０６,03-6657-9974,2014/6/3,2,1,
300,株式会社　Ｈ　＆　Ｒ,江戸川区,宇喜田町１３０８番地１号,03-5878-3901,2014/11/10,4,2,
331,ケアサポート　あさひ,江戸川区,西一之江四丁目１０番１１号,080-4404-0388,2016/5/10,1,2,
434,合同会社ユアーズライフケアサービス,江戸川区,松島二丁目２番８号,080-2108-6662,2021/5/14,2,1,
482,岡野タクシー,江戸川区,東篠崎一丁目１番３号,080-6636-0976,2022/5/23,1,1,
494,株式会社オータム,江戸川区,南小岩二丁目７番２０号,03-5668-5574,2023/2/20,1,1,
495,福祉タクシーアザレ,江戸川区,東新小岩四丁目８番１６号,080-6197-3456,2023/2/28,2,1,
64,有限会社　成章堂（ケアタクシーみすず台）大田営業所,大田区,田園調布二丁目41番8号,042-720-9357,2007/9/10,4,1,
65,大礼自動車株式会社,大田区,大森東一丁目24番2号,03-5764-2411,2007/11/20,3,2,
121,合資会社　ファイン,大田区,大森中二丁目11番7号,03-5753-1650,2007/12/7,3,1,
143,合同会社　コールエンドコール,大田区,東雪谷三丁目32番3号,03-3720-5556,2009/6/24,1,1,
146,株式会社　ＧＯＯＤ　ＬＩＦＥ(ひよこタクシー）,大田区,大森東二丁目25番10号,03-3765-9636,2009/6/24,1,1,
155,有限会社　ブルーホール,大田区,久が原五丁目12番4号,03-6908-2042,2009/12/2,1,1,
211,羽田福祉サービス合同会社,大田区,羽田六丁目１３番７号,03-6423-8955,2012/7/25,3,1,
224,介護タクシー　スカイホエール,大田区,池上五丁目２０番５号,03-3755-7433,2022/11/7,3,2,
274,ケアタクシーヤマヨ,大田区,羽田三丁目２番１７号,03-3744-1735,2014/2/14,2,1,
291,１４３ケアタクシー,大田区,山王一丁目２２番１１号,03-6479-9578,2014/6/26,2,1,
305,ケアワークス・サンシャイン,大田区,池上一丁目８番２０号,03-6410-9668,2015/2/27,2,1,
326,アイヴイーインターナショナル株式会社,大田区,大森西四丁目１５番８号２２７号室,080-1148-5850,2016/3/2,1,1,
384,ケアサポート笑夢,大田区,大森本町二丁目１３番３号２０１号室,080-4715-8009,2019/1/31,2,1,
402,車いすサポート・東京ハイヤー有限会社,大田区,久が原四丁目１４番１１号,03-5747-1413,2020/4/7,3,2,
418,ケアタクシーここかな（株式会社ソーシャルアシスト）,大田区,大森西四丁目１７番２８号,03-6404-9196,2020/9/23,1,1,
421,合同会社　Ｓｏｃｉａｌ　Ｒｉｎｇ,大田区,南馬込二丁目２６番１８号,03-3773-4790,2020/9/29,1,1,
432,ゆうきケアタクシー,大田区,北千束三丁目１番６号３０２,090-9539-7613,2021/4/20,1,1,
460,送迎ステーション　中村　淳一,大田区,田園調布南三番９号ハイシティ田園調布南３０４,080-5511-6400,2022/1/4,2,1,
462,かめさん介護タクシー,大田区,南六郷一丁目２９番１号１００５号室,080-9368-0007,2022/1/4,2,1,
465,ダイシン移送サービス,大田区,矢口二丁目２９番２１号,080-3943-1819,2022/1/20,2,1,
483,トラベルドクター株式会社（営業所）,大田区,大森中二丁目１５番７号,090-9002-5147,2022/7/5,2,1,
498,株式会社　ケアキャリッジ,大田区,上池台四丁目２０番２号,03-6425-7496,2023/3/17,2,1,
60,アコール介護サービス,葛飾区,西水元三丁目18番9号,03-3608-7887,2007/10/24,1,1,
83,有限会社　トランスケア,葛飾区,立石三丁目6番1号　ライオンズ立石306号室,03-5654-1412,2007/10/24,1,1,
148,あしなが介護サービス,葛飾区,宝町二丁目27番16号,080-5409-0294,2009/7/31,1,1,
232,東京サポート,葛飾区,新小岩一丁目３２番９号,03-6677-0977,2012/11/8,2,1,
249,アクアント株式会社,葛飾区,鎌倉四丁目３４番１号ワイズフラット２Ａ,03-6657-9206,2013/6/7,2,1,
269,ケアタクシー　はるかぜ,葛飾区,立石一丁目１番８号,080-3241-3691,2013/12/27,2,1,
271,アシストキャブ龍馬,葛飾区,新小岩四丁目１７番２号,0120-02-1904,2014/1/31,2,1,
283,ケアサポート・クローバー,葛飾区,西亀有二丁目４８番１１号,090-2449-7786,2014/3/27,1,1,
287,ケアサポート　哲,葛飾区,亀有五丁目１６番１４号３０１号室,080-9177-0294,2014/5/16,2,1,
289,城東介護タクシー,葛飾区,東金町三丁目６番１１号,03-5876-9783,2014/6/16,2,1,
321,【民間救急】介護タクシーやまもと,葛飾区,立石四丁目１９番８号,080-5692-5599,2016/1/26,3,1,
323,東京搬送サポート,葛飾区,青戸八丁目４番５号４０６,03-6662-5642,2016/1/29,2,1,
354,エスコート介護タクシー,葛飾区,新宿五丁目２５番２１号　金町スカイハイツ２０６,03-3608-9562,2017/6/20,1,1,
378,イシカワ　エスコート,葛飾区,水元一丁目１１番３号,080-5672-1432,2018/10/17,1,1,
406,エポック救急搬送（本社）,葛飾区,東新小岩三丁目１６番８号,090-8314-8690,2021/9/3,0,0,
407,ＩＳＩＹＡＭＡ　ＴＡＸＩ,葛飾区,西水元四丁目１８番４号,090-2221-5640,2020/6/18,2,1,
408,葛飾介護タクシー,葛飾区,西水元六丁目１４番１０号,090-2083-4639,2020/7/8,2,1,
463,ムーブケア株式会社,葛飾区,新小岩三丁目２５番１号２１２,03-5879-6285,2022/1/4,1,1,
474,ケア・タクシー　コウノとり,葛飾区,高砂一丁目１１番１５号,03-3695-3083,2022/3/28,1,1,
493,ＢＩＧ　ＦＯＯＴ（ビッグ　フット）,葛飾区,亀有三丁目３７番３１号アビタシオン森３０２,080-3256-4040,2023/2/20,1,1,
188,さかもと救急サービス,北区,東十条四丁目６番１１号,03-3927-9312,2011/8/3,1,1,
302,有限会社ワールドアライアンス　ハル民間救急営業所,北区,滝野川七丁目５０番１２号５０１号室,048-645-4129,2014/12/25,2,1,
316,ケアタクシーＪサポート,北区,豊島五丁目６番１１号１０１１号室,090-4607-9725,2015/8/26,1,1,
379,有限会社　ハルインターナショナル　営業所,北区,滝野川七丁目５０番１２号９０３号室,090-3400-0040,2018/11/5,1,1,
449,株式会社　LIDER ACT,北区,豊島七丁目２番１１号,03-3919-2736,2021/10/1,1,1,
481,ライフケアパートナーズ,北区,王子五丁目１５分１２号,080-5759-0168,2022/5/23,1,1,
484,送迎ステーションＴＡＣ,北区,十条仲原三丁目１１番１４号,090-4677-4094,2022/7/15,2,1,
490,株式会社ライフサポート幸英,北区,赤羽西一丁目１番８号　ベルヴィータ赤羽３０１号室,03-6795-9385,2023/1/13,2,1,
276,アシストキャブ・ヒロ,江東区,大島一丁目２２番１２号　１００１号室,090-4930-7489,2014/2/17,2,1,
290,福祉タクシー９２３,江東区,永代二丁目５番１０号,03-3641-5267,2014/6/16,2,1,
360,ＦＬＡＴ（フラット）,江東区,東陽一丁目４番４号,080-3340-0018,2017/9/21,3,2,
395,エルフ,江東区,大島五丁目３６番２号　５０３号室,090-9233-6139,2019/9/20,2,1,
476,ハーベン・ジャパン株式会社　江東営業所,江東区,潮見一丁目２０番３号,03-5634-8511,2022/4/12,3,1,
492,うさぎ救急サービス,江東区,亀戸七丁目３９番２号　８０９号室,03-5875-2862,2023/2/15,1,1,
62,ときわ介護移送サービス,品川区,中延四丁目7番20号,03-3788-3531,2007/10/24,2,1,
184,株式会社　ゆうけあらーず,品川区,平塚二丁目１０番１０号ｴﾊﾞﾗｸﾞﾗﾝﾄﾞﾏﾝｼｮﾝ103号室,03-3787-0006,2011/4/18,3,4,
212,品川ケアサービス株式会社,品川区,小山四丁目１０番７号,03-3788-3141,2012/7/25,1,1,
213,介護タクシーみつばち,品川区,二葉一丁目７番１８号,0120-9711-3838,2012/7/25,1,1,
353,福祉タクシーこやま（㈲東都興業）,品川区,小山二丁目１２番５号,03-5749-1866,2017/6/12,1,2,
438,海の里ケアタクシー,品川区,東大井四丁目８番１０号,090-3231-1884,2021/6/22,1,1,
442,国際ケアサポート＆サービス,品川区,東大井四丁目１２番５号２０５号室,090-6729-2552,2021/7/9,1,1,
452,ライフサポート　サンタ,品川区,南大井一丁目１７番７号,03-3767-8873,2021/10/20,2,1,
487,ケアサポート　ドライブ,品川区,東大井四丁目１３番１８号,090-5000-4400,2022/8/31,1,1,
66,株式会社　アペックス,渋谷区,千駄ヶ谷五丁目15番5号,03-5367-5001,2007/12/7,2,1,
220,介護タクシー　Ｏ・Ｓ・Ｓ,渋谷区,本町三丁目５２番６号クリスタルコーポ京西３０１,090-4532-3688,2012/9/14,1,2,
255,渋谷民間救急サービス,渋谷区,笹塚二丁目３４番１０号　２０２号室,0120-81-2439,2013/7/30,,0,
255,渋谷民間救急サービス　渋谷営業所,渋谷区,笹塚三丁目３５番１号,0120-81-2439,2013/7/30,2,1,
1,株式会社　セレモア患者搬送事業部　東京民間救急サービス 新宿営業所,新宿区,四谷四丁目19番7号,03-3225-1199,2007/9/28,3,3,
144,介護タクシー　アン車ほ輪,新宿区,西早稲田三丁目12番11号,03-5286-1698,2009/6/24,2,2,
169,民間救急フィール　新宿営業所,新宿区,若松町36番26号　ヴィララベンダー106,0120-194-399,2010/8/19,1,1,
277,有限会社　東洋企画 東京新宿民間救急サービス,新宿区,中落合二丁目４番１７号　チェリーフラット106号室,03-3557-7555,2014/2/17,2,1,
374,Ｓ&Y合同会社（アヴィヤント）,新宿区,高田馬場四丁目４０番１４号４０２号室,090-9106-1101,2009/6/24,1,1,
411,株式会社　アスモ介護サービス,新宿区,西新宿二丁目４番１号,03-3349-1076,2020/8/14,0,0,
414,Ａｘｓｈｕ新宿救急サービス,新宿区,戸山三丁目５番７号,0120-897-107,2020/9/14,2,2,
436,Ｃｏｎｎｅｃｔ　Ｈａｎｄｓ,新宿区,西早稲田三丁目１２番４号サンハイツ早稲田７０６号室,070-8508-6246,2021/6/11,2,1,
2,田中商事株式会社,杉並区,井草一丁目5番16号,03-3390-4161,2007/9/28,2,1,
21,杉並交通株式会社,杉並区,高井戸東三丁目19番19号,03-5344-1682,2007/10/24,18,17,
264,高円寺ケアタクシー,杉並区,高円寺北三丁目５番２２号,080-5404-3642,2007/11/11,1,1,
307,有限会社　椎葉トレーディング,杉並区,堀ノ内二丁目１番２８号,03-6383-1618,2015/3/17,2,1,
315,介護タクシー　ラインハート,杉並区,井草五丁目１４番１７号２０６,090-3314-5708,2015/8/13,2,1,
325,桜メディス搬送サービス,杉並区,荻窪一丁目５６番１６号,090-3549-2482,2016/3/2,1,1,
396,介護タクシーたいせい,杉並区,浜田山三丁目２３番９号３０３号,090-7637-0814,2019/9/27,3,2,
424,Ｍ．Ｓ．Ｃ　めぐみサポートキャブ,杉並区,堀ノ内二丁目３３番７号,03-5932-3300,2020/11/5,1,1,
428,フジサン介護タクシー,杉並区,和泉四丁目３１番１４号,090-9909-8689,2021/2/16,1,1,
433,有限会社レオンコーポレーション（にしおぎ介護タクシー）,杉並区,西荻北二丁目２５番４号　レオン西荻,090-1462-2279,2021/5/11,1,1,
444,株式会社グローバ　東京オガワサポート,杉並区,井草五丁目１３番９号,0120-988-450,2021/9/7,2,1,
50,ケイヨーエンジニアリング株式会社,墨田区,東駒形四丁目11番3号,03-3621-4700,2007/12/7,4,1,
163,すまいるケアサービス,墨田区,堤通一丁目1番1号　802号室,03-3619-3329,2010/3/2,1,1,
265,介護タクシー　カトウ,墨田区,東向島四丁目15番5号,03-3611-6416,2013/12/5,2,2,
370,福祉介護タクシー　墨田屋,墨田区,堤通一丁目１０番１３号,070-6960-7302,2018/7/2,3,3,
416,株式会社　東京ＭＡＮＡ,墨田区,押上一丁目１８番６号　３F,070-1598-0024,2020/9/23,3,2,
44,福祉移送サービス株式会社,世田谷区,玉川二丁目21番1号,03-5450-5771,2022/12/6,,0,
44,福祉移送サービス株式会社　駒沢営業所,世田谷区,弦巻四丁目12番12号　ニュー東邦101,03-5799-9290,2022/12/6,19,12,
56,東京商運株式会社,世田谷区,南烏山四丁目28番8号,03-3308-9721,2007/9/10,1,1,
131,介護タクシー　悠遊,世田谷区,砧六丁目6番17号,03-3417-7653,2008/10/28,1,1,
150,株式会社　Ｓｍｉｌｅ　Ｃａｒｅ,世田谷区,宇奈根二丁目10番21号103号室,03-6411-7535,2009/10/9,2,1,
151,世田谷民間救急,世田谷区,給田五丁目16番11号－10,03-5969-9192,2009/10/28,2,1,
157,株式会社　大空移送サービス,世田谷区,玉川二丁目10番15号　,080-3794-2981,2009/12/2,4,3,
189,玉川介護タクシー,世田谷区,鎌田二丁目１６番８号,03-3709-5167,2011/9/2,2,1,
244,介護タクシー「りーふ・ケア」,世田谷区,喜多見八丁目８番２０号,090-8686-3539,2013/6/7,1,1,
292,マアクン介護タクシー,世田谷区,上野毛一丁目２８番２号,03-3703-4627,2014/6/26,2,1,
293,Ｔ．Ｍ．Ｓ,世田谷区,砧一丁目１８番７号,03-3415-8807,2014/7/23,2,1,
335,株式会社かご屋,世田谷区,池尻四丁目２４番１２号,090-4527-9293,2016/7/7,3,4,
337,Ease Care（イーズケア）,世田谷区,奥沢一丁目６１番３号,03-6421-8550,2016/8/24,2,1,
345,１１９９ケアタクシー東京,世田谷区,宇奈根一丁目11番23号,080-4192-1199,2016/12/6,1,1,
364,日本リムジン株式会社　世田谷営業所,世田谷区,砧一丁目５番７号　パレドール砧１０６,03-5403-4726,2018/4/11,1,2,
365,希望介護タクシー,世田谷区,成城九丁目２４番１１号　３０２,080-3498-6819,2018/4/11,1,1,
369,SI CARE,世田谷区,北沢四丁目１９番４号,080-5446-9427,2018/7/2,1,1,
372,せたっくす介護タクシー,世田谷区,赤堤四丁目１３番６号,090-7730-1967,2018/7/11,2,2,
373,駒沢福祉タクシー(株)地球心,世田谷区,駒沢四丁目１４番８号石川ハウス１F,03-6453-2630,2018/7/11,2,2,
422,ＡＩＥＮ合同会社,世田谷区,粕谷三丁目２１番１８号,03-6315-7186,2020/10/8,5,4,
443,株式会社　玉川トータルケア,世田谷区,鎌田二丁目１６番８号,080-1212-7162,2021/7/15,2,1,
459,エブリィケア,世田谷区,桜上水三丁目７番１８号,070-1230-3588,2022/1/4,2,1,
475,介護付き旅行サービス東京さんぽ?（合同会社アクセシブル・ツーリズム東京）,世田谷区,祖師谷六丁目１４番２３号１４,03-5787-7203,2022/4/8,1,1,
451,介護タクシー　みのべ,台東区,東上野五丁目１０番１１号,03-3841-3543,2021/10/11,1,1,
296,ハローサポート中央,中央区,佃二丁目２番３号６０１号室,03-3532-5262,2014/9/3,2,1,
342,株式会社　Ｑｕａｎｔ,中央区,入船二丁目８番８号　林田ビル１F,03-6833-3800,2016/11/17,2,3,
398,パス株式会社（パス救急サービス）,中央区,銀座六丁目１４番８号銀座石井ビル４階,0120-905-592,2019/10/29,9,5,
242,株式会社ケアサポート・トップ,豊島区,長崎五丁目３３番８号,0120-0119-24,2013/4/5,4,2,
309,ケアタクシー　ローズマリー,豊島区,北大塚三丁目９番２号,03-3910-3512,2015/4/6,1,1,
350,ココロ企画　大久保介護タクシー,豊島区,高松３－６－１３－２０６,080-5055-4691,2017/2/11,1,1,
367,ふるさと救急サービス,豊島区,池袋四丁目９番１１号　４F,080-1080-4505,2018/7/2,1,1,
379,有限会社　ハルインターナショナル,豊島区,西巣鴨三丁目１９番８号,,2018/11/5,,0,
393,介護タクシーゆっきー,豊島区,北大?三丁目２７番１６号４０２号室,03-6903-7143,2019/8/1,2,2,
415,さくら民間救急,豊島区,長崎四丁目２２番３号,03-3957-2992,2020/9/14,4,1,
8,宮園自動車株式会社,中野区,中野一丁目50番5号,03-3362-7557,2007/11/20,,0,
130,宮園バス株式会社,中野区,中央三丁目13番11号,03-3362-7558,2008/10/28,0,0,
295,介護タクシー彩,中野区,本町五丁目３７番３号,03-3384-0577,2014/9/3,2,1,
318,福祉タクシー　東京（なかの福祉サービス合同会社）,中野区,野方二丁目２番６号,080-4415-7195,2015/10/2,2,1,
358,介護福祉タクシーみらい,中野区,本町一丁目３２番１号,090-7260-2250,2017/8/10,1,1,
380,おかだ介護タクシー,中野区,若宮三丁目４８番５号,090-1046-6256,2018/11/5,3,3,
381,ケアタクシーはまゆう,中野区,野方六丁目３７番６号,090-1212-4344,2018/11/27,1,1,
419,エイ・エム・エス,中野区,沼袋四丁目７番８号,080-4116-8392,2020/9/25,1,1,
489,民間救急あんしんサポート,中野区,江古田一丁目１７番１３号　ポート江古田２０２号室,070-4722-1134,2023/1/4,2,1,
8,宮園自動車株式会社　福祉練馬営業所,練馬区,立野町14番23号,03-5991-2944,2007/11/20,2,1,
75,有限会社　虹,練馬区,南大泉四丁目49番33号,03-6761-0028,2007/8/30,2,2,
170,そよ風タクシー（株式会社トップジャンクション）,練馬区,南田中三丁目７番６号ポルテ高野台１Ｆ東側,0120-111-993,2010/9/29,6,3,
222,有限会社　ライズ,練馬区,石神井台二丁目１７番１９号,03-3995-5359,2012/9/14,2,1,
231,うちだケアタクシー,練馬区,南田中一丁目１９番３号,03-3997-0022,2012/11/8,2,2,
251,ヘルメス福祉サービス,練馬区,上石神井四丁目５番１２号　４０１号室,090-1414-2726,2013/6/7,2,1,
259,介護タクシー　はぴねす,練馬区,西大泉四丁目３番４５号,03-3978-4554,2013/9/13,2,1,
277,有限会社　東洋企画（東京練馬民間救急サービス）,練馬区,早宮一丁目４３番２号,03-3557-7555,2014/2/17,3,1,
278,介護タクシーみずの,練馬区,大泉学園町五丁目２７番２４号,080-4666-2500,2014/2/26,2,1,
319,介護タクシー田中,練馬区,桜台二丁目４１番７号,03-3993-8086,2015/11/5,1,1,
351,とうねりケアサービス,練馬区,早宮一丁目９番１号,080-2394-0119,2017/2/11,2,1,
371,東京メディ・ケア移送サービス,練馬区,大泉学園町６－１４－１４,03-5387-9352,2018/7/2,3,2,
392,株式会社　たまみずき,練馬区,石神井町七丁目３２番７号,03-5923-7188,2019/7/19,2,2,
412,有限会社　ハーモニー,練馬区,平和台一丁目７番４号　1Ｆ,090-1460-1144,2020/8/25,2,1,
425,ケアタクシーコム,練馬区,大泉町三丁目３１番３８号パインルート?,03-6313-8688,2020/12/8,2,1,
427,介護タクシー　ミニタク,練馬区,大泉学園町五丁目７番１５号,03-5947-2060,2021/1/8,2,1,
457,中山介護タクシー,練馬区,富士見台一丁目２６番６号,03-3998-5635,2021/12/8,2,4,
119,株式会社　東芸,文京区,本駒込六丁目3番7号,03-3944-2690,2007/11/2,5,2,
178,スマイル＆セーフティー,文京区,弥生一丁目4番7号,03-3816-8070,2010/12/28,2,2,
341,ひえだ救急サービス,文京区,千石一丁目７番９号１０３号室,090-9046-6419,2022/4/12,2,2,
401,有限会社　喜楽屋,文京区,小石川五丁目３９番１２号,03-3814-2997,2020/4/23,4,2,
417,ＡＧＡＳＡ救急サービス文京営業所,文京区,本駒込三丁目１７番４号,090-7805-4465,2020/9/23,,4,
440,マイアシスト合同会社,文京区,大塚一丁目４番１９号,03-5976-1739,2021/7/1,2,1,
364,日本リムジン株式会社,港区,虎ノ門四丁目３番１号　城山トラストタワー２７階,03-5403-4726,2018/4/11,　,0,
468,介護タクシー　サポート竹,港区,元麻布二丁目１１番２０号,080-4457-4355,2022/1/28,2,1,
483,トラベルドクター株式会社（本社）,港区,南青山七丁目３番６号,090-9002-5147,2022/7/5,,0,
191,そよ風　福祉タクシー,目黒区,目黒本町一丁目１６番１３号４１０号室,03-3714-2004,2011/9/27,2,1,
198,有限会社ホクト物産　ホクトケアサポート,目黒区,南一丁目２３番１４号,03-6459-5671,2012/3/21,3,2,
228,ミヤ介護タクシー,目黒区,碑文谷五丁目８番２号,03-3794-2309,2012/10/10,2,2,
470,介護タクシーおさんぽ（営業所）,目黒区,東が丘二丁目１４番１２号コテージ東が丘１０１号室,03-5787-5691,2022/3/2,3,1,
240,ケアタクシー　夢ふうせん,昭島市,拝島町二丁目１４番１４号,042-511-8163,2013/4/5,2,1,
304,そら介護タクシー,昭島市,宮沢町４９４番地１１　プレイシア６３５号,042-541-1966,2015/1/23,2,1,
206,ドライビーケア　介護タクシー,あきる野市,伊奈１０２０番地５,042-569-8590,2012/6/26,2,1,
332,有限会社　エス・シー,あきる野市,草花７６１－８,042-559-2909,2016/6/3,1,1,
298,ケアサポートヨシノ,青梅市,千ヶ瀬町四丁目５７３番地１５,0428-23-3107,2014/9/30,2,1,
501,合同会社ゆるふわ,青梅市,師岡町一丁目１１３番３７号,090-9849-2838,2023/3/29,2,1,
423,おしどりシャトル,清瀬市,松山三丁目１５番７号　スターハイツ１０１,080-9673-8844,2020/10/19,2,1,
455,ケアタクシー　彩,清瀬市,中里五丁目１１２７番２１号,080-5438-1658,2021/11/18,1,1,
467,介護タクシー　あおぞらケアサービス　　　　　　（グローバルサポート合同会社）,清瀬市,松山一丁目２０番３号　大泉店舗１階,042-497-8061,2022/1/18,1,1,
147,つばさ福祉交通株式会社,国立市,北一丁目14番55号　801号室,042-505-6262,2009/7/31,1,1,
