医療機関名,所在地,連絡先
南塚医院,葛飾区東新小岩四丁目3番3号,03-5698-3688
社会医療法人社団光仁会第一病院,葛飾区東金町四丁目2番10号,03-3607-0007
医療法人社団正友会松井健診クリニック吉祥寺プレイス（松井外科病院健診センター）,武蔵野市吉祥寺東町一丁目19番23号,0422-22-2270
医療法人社団撫子高松メディカルクリニック,三鷹市下連雀四丁目16番12号三鷹第一ビル2階,0422-70-1035
医療法人社団恵仁会府中恵仁会病院,府中市住吉町五丁目21番1号,042-365-1211
学校法人聖路加国際大学聖路加国際病院,中央区明石町9番1,03-3541-5151
日本橋えがわクリニック,中央区八重洲一丁目1番3号寿ビル2階,03-5204-0311
医療法人社団慈清会的場医院,葛飾区金町六丁目13番9号201,03-3607-0517
つじ醫院,渋谷区笹塚二丁目10番5号,03-5358-3929
医療法人社団博栄会赤羽中央総合病院,北区志茂一丁目19番14号,03-3902-0348
まさ整形外科,三鷹市北野四丁目12番17号2階,0422-70-6670
医療法人社団英恵会山田英明下町クリニック,台東区西浅草三丁目16番6号岩岡ビル1階,03-5806-3077
社会医療法人社団一成会木村病院,荒川区南千住一丁目1番1号,03-5615-2111
公立学校共済組合関東中央病院,世田谷区上用賀六丁目25番1号,03-3429-1171
医療法人社団眞恵会眞田クリニック,大田区池上六丁目9番6号,03-3755-1661
うすだクリニック,文京区本郷四丁目36番5号ネオパリエ1階,03-5840-8250
医療法人社団俊和会寺田病院,足立区扇一丁目20番12号,03-3898-5231
新井クリニック,中野区東中野三丁目10番12号3階,03-5331-3383
東京警察病院,中野区中野四丁目22番1号,03-5343-5611
医療法人社団山斗会山中病院,杉並区南荻窪一丁目5番15号,03-3335-5611
藤多クリニック,杉並区上荻一丁目9番1号ユアビルⅡ5階,03-3392-8811
日本医科大学付属病院,文京区千駄木一丁目1番5号,03-3822-2131
国立研究開発法人国立国際医療研究センター病院,新宿区戸山一丁目21番1号,03-3202-7181
医療法人社団成和会西新井ハートセントラルクリニック,足立区西新井本町一丁目12番8号,03-5838-0730
医療法人社団大坪会三軒茶屋第一病院,世田谷区三軒茶屋一丁目22番8号,03-5787-2211
医療法人社団健光会松本整形外科,杉並区高円寺北三丁目9番11号,03-3337-6864
一般社団法人衛生文化協会城西病院,杉並区上荻二丁目42番11号,03-3390-4166
医療法人社団永生会南多摩病院,八王子市散田町三丁目10番1号,042-663-0111
堀内科クリニック,台東区浅草橋一丁目24番3号杉木立ビル3階,03-3861-8937
曳舟医院,墨田区東向島二丁目7番7号,03-3614-0080
医療法人財団杏仁会松岡胃腸クリニック,葛飾区亀有三丁目32番16号,03-3603-4111
医療法人横浜未来ヘルスケアシステム奥沢病院,世田谷区奥沢二丁目11番11号,03-5701-7788
リーメディカルクリニック,渋谷区恵比寿三丁目39番5号1Ｂ,03-5420-0168
広尾タワークリニック,渋谷区広尾一丁目1番31号広尾タワー2階,03-3498-6662
池上幸仁診療所,大田区池上四丁目3番3号,03-3752-2906
医療法人社団片桐会たけし整形外科内科医院,北区中里三丁目11番8号,03-3917-0677
一里塚クリニック,北区西ヶ原二丁目13番11号,03-5394-3366
医療法人社団三恵会西ヶ原病院,北区西ヶ原二丁目46番9号,03-3917-6561
たかはし医院,西東京市保谷町三丁目11番25号,042-461-1622
東京医科歯科大学病院,文京区湯島一丁目5番45号,03-3813-6111
月島タワークリニック,中央区月島二丁目10番2号202,03-6219-7151
善利医院,中央区月島三丁目13番4号,03-3531-1566
医療法人社団翠松会みどり整形外科クリニック,墨田区緑一丁目14番2号,03-5638-8181
医療法人社団石誠会すみだ石橋クリニック,墨田区墨田四丁目9番20号,03-5631-6686
きくの耳鼻咽喉科クリニック,墨田区錦糸三丁目4番1号,03-3829-4187
南塚内科医院,江東区北砂四丁目24番11号,03-3644-0068
医療法人社団明方会松本クリニック,品川区中延四丁目5番10号,03-3784-9100
厚生診療所,中央区湊三丁目18番17号,03-3551-4690
医療法人社団志鈴会鈴木クリニック,中央区月島四丁目5番12号-２Ｆ,03-3531-1685
田中まき整形外科,中央区日本橋久松町10-6FT久松ビル3階,03-5643-1231
社会福祉法人恩賜財団済生会支部東京都済生会東京都済生会向島病院,墨田区八広一丁目5番10号,03-3610-3651
こくほ内科クリニック,墨田区東向島六丁目11番9号,03-6657-0866
美穂診療所,中野区鷺宮五丁目3番14号,03-3990-1208
せしもクリニック,調布市小島町二丁目45番6号1階,042-443-1241
国家公務員共済組合連合会虎の門病院,港区虎ノ門二丁目2番2号,03-3588-1111
医療法人社団福寿会梅田診療所,足立区梅田八丁目12番10号,03-5681-5020
社会医療法人社団健友会中野共立病院,中野区中野五丁目44番7号,03-3386-3166
医療法人社団雅会山本病院,清瀬市野塩一丁目328番地,042-491-0706
田中クリニック銀座,中央区銀座一丁目6番13号銀座106ビル3階,03-3538-6460
医療法人社団医成会銀座さわだ内科クリニック,中央区銀座五丁目9番15号銀座清月堂ビル4階,03-3572-4898
吉井医院,中央区新富一丁目5番14号,03-3551-2032
医療法人財団岩井医療財団岩井整形外科内科病院,江戸川区南小岩八丁目17番2号,03-5694-6211
独立行政法人国立病院機構東京医療センター,目黒区東が丘二丁目5番1号,03-3411-0111
医療法人財団百葉の会銀座医院,中央区銀座四丁目12番15号歌舞伎座タワー16階,03-3542-2660
日本橋循環器科クリニック,中央区日本橋小伝馬町13番4号共同ビル201号室,03-5641-4133
医療法人社団墨水会浜町センタービルクリニック,中央区日本橋浜町二丁目31番1号浜町センタービル7階,03-3664-6858
小川こどもクリニック,台東区浅草橋一丁目25番5号小川ハイム201号室,03-3861-2429
医療法人社団杏静会寺田医院,世田谷区羽根木二丁目17番11号,03-3322-2685
林田耳鼻咽喉科クリニック,世田谷区代田三丁目1番3号,03-3412-6132
はるクリニック西小山,品川区小山六丁目1番1号,03-5794-8630
医療法人社団銀座仁医会?川医院,中央区銀座一丁目9番17号,03-3561-4010
くろす内科クリニック,台東区清川二丁目8番11号,03-3872-0298
小林クリニック,江東区大島四丁目1番6号105,03-3684-0481
わたなべ内科胃腸科,江東区東砂七丁目19番13号ベルコモン南砂メディカルプラザ102,03-5617-1150
鈴木医院,新宿区戸山三丁目10番6号,03-3203-9370
砧クリニック,世田谷区砧八丁目8番20号吉浦ビル2階,03-3416-6013
立川相互病院,立川市緑町4番1号,042-525-2585
日本橋かわまた内科クリニック,中央区日本橋富沢町10番18号ユニゾ東日本橋ビル1階,03-3669-2626
医療法人社団心清会浅草ファミリークリニック,台東区寿二丁目10番11号ＭＳ田原町ビル３Ｆ,03-3841-5118
明正会錦糸町クリニック,墨田区太平三丁目10番12号リヴェール太平2-3F,03-5637-7185
医療法人社団コスモ千駄ヶ谷インターナショナルクリニック,渋谷区千駄ヶ谷一丁目20番3号バルビゾン１１号館２０３号,03-3478-4747
医療法人社団松和会池上総合病院,大田区池上六丁目１番１９号,03-3752-3151
医療法人社団菜野樹会なばた整形外科,調布市西つつじヶ丘四丁目15番6号ビラ・サルーテ１０１,042-490-7870
うちやまクリニック,小金井市東町四丁目43番15ＭＫジェムズマンション1階,042-382-1715
はぎクリニック,小金井市本町一丁目18番3号ユニーブル武藏小金井スイート２０３Ｂ,042-387-1603
昭和大学江東豊洲病院,江東区豊洲五丁目1番38号,03-6204-6000
公益財団法人河野臨牀医学研究所附属品川リハビリテーション病院,品川区北品川五丁目2番1号,03-5793-3355
ねづクリニック,板橋区東坂下二丁目3番6号101,03-5914-0236
星合勝どきクリニック,中央区勝どき三丁目6番6号,03-3532-2725
キタ・クリニック,世田谷区赤堤二丁目40番9号,03-3327-3941
稲垣耳鼻咽喉科医院,町田市原町田六丁目22番15号,042-722-3115
医療法人社団愛恵会湘南メディカル記念病院,墨田区両国二丁目21番1号,0120-979-097
中田診療所,中央区京橋二丁目8番16号,03-3561-6568
医療法人社団桐原医院,墨田区墨田三丁目17番12号,03-3610-2130
恵比寿門脇ブレストクリニック,渋谷区恵比寿一丁目9番4号5Ｆ,03-5424-1100
うえき内科こどもクリニック,渋谷区猿楽町24番7号代官山プラザ3Ｆ,03-3461-5518
医療法人社団竹榮舎たけぶちファミリークリニック,中央区晴海二丁目5番24号晴海センタービル1Ｆ,03-3534-2757
にわ医院,文京区千駄木四丁目8番12号,03-3824-0482
医療法人社団梅澤会梅澤医院,台東区千束二丁目20番2号,03-3872-8230
医療法人社団渡辺こどもクリニック,江東区森下二丁目20番12号フォーレドサンテ2Ｆ,03-5625-2565
国立研究開発法人国立成育医療研究センター,世田谷区大蔵二丁目10番1号,03-3416-0181
医療法人財団明理会新宿ロイヤル診療所,渋谷区代々木二丁目9番久保ビル2F,03-3375-3371
医療法人社団一白会菊地脳神経外科・整形外科,小金井市東町三丁目12番１１号,0422-31-1220
五十嵐内分泌クリニック,中央区日本橋本町一丁目5番11号2Ｆ,03-3270-8855
赤阪医院,渋谷区神宮前三丁目31番9号,03-3401-7506
医療法人社団櫻美会石川医院,板橋区常盤台一丁目61番3号,03-3960-3940
医療法人社団竹榮舎晴海クリニック,中央区晴海一丁目6番5号晴海ビュープラザ203号室,03‐3531‐0937
有明こどもクリニック勝どき院,中央区勝どき三丁目5番5号AIP勝どき駅前ビル3階,03-3533-7281
柳澤総合内科医院・浅草,台東区花川戸一丁目14番18号1階,03-3844-0668
医療法人社団健晶会下川整形外科,三鷹市井の頭一丁目24番14号,0422-43-5933
牟礼高山診療所,三鷹市牟礼四丁目2番14号,0422-70-4976
