NO,都道府県コード又は市区町村コード,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,開始時間,終了日,終了時間,開始日時特記事項,説明,料金_要否,料金（基本）,料金（詳細）,連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催・協力,場所名称,郵便番号,住所,方書,緯度,経度,アクセス方法,駐車場_有無,駐車場情報,定員_有無,定員,予約申込_要否,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,乳児（0～2歳）,幼児（3～6歳）,小学生（低学年）,小学生（中学年）,小学生（高学年）,中学生,高校生,その他住民等,参加条件_有無,参加条件_詳細,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
0700000003,130001,東京都,,ボッチャ体験教室【大泉特別支援学校】,ボッチャタイケンキョウシツ【オオイズミトクベツシエンガッコウ】,,2018-12-16,10:00,2018-12-16,12:00,受付９時３０分～,パラリンピック正式種目「ボッチャ」。一度、ハマると抜け出せない楽しさを味わえるバリアフリースポーツです。みんなで楽しくプレーしてみませんか。ボッチャが初めての方も大歓迎です。各回２０名の先着順です。参加できる日にぜひお越し下さい。,0,,,公益財団法人東京都スポーツ文化事業団都立学校活用促進担当,03-6804-5636,,東京都,公益財団法人東京都スポーツ文化事業団（事業実施）、東京ボッチャ協会（協力）、練馬ボッチャクラブ（指導）,東京都立大泉特別支援学校,178-0061,東京都練馬区大泉学園町9-3-1,,35.776878,139.592767,大泉学園駅からの送迎バスがございます。※原則、介助者を含め1組2名までの乗車となります。 ,0,,1,20,1,,,①電話②FAX③郵送④インターネット(東京都スポーツ文化事業団ホームページ　http://www.tef.or.jp/school/ ),,①健康状態には十分に留意し、自身または保護者の責任において参加してください。 ②駐車場はございません。 ③参加者の傷害保険は運営者側で加入いたします。  ,0,0,1,1,1,1,1,1,1,対象：障害のある方（小学生以上） 、ボッチャに興味のある方（小学生以上） ※介助が必要な方は介助者同伴の上、ご参加ください。,0,,,,,2019-03-28
0700000004,130001,東京都,,聴覚障害者卓球体験教室【大塚ろう学校】,チョウカクショウガイシャタッキュウキョウシツ【オオツカロウガッコウ】,,2019-01-20,10:00,2019-01-20,12:00,受付９時３０分～,"初心者向けの卓球体験教室で、ラケットの持ち方やボールに慣れるところから始めます。講師（聴覚障害の方）による卓球指導があります。事前申込制で各回３０名の先着順です。参加できる日にぜひお越し下さい。
",0,,,公益財団法人東京都スポーツ文化事業団都立学校活用促進担当,03-6804-5636,,東京都,公益財団法人東京都スポーツ文化事業団（事業実施）、公益財団法人東京都聴覚障害者総合支援機構東京都聴覚障害者連盟卓球部（協力）,東京都立大塚ろう学校,170-0002,東京都豊島区巣鴨4-20-8,,35.736276,139.732131,"JR山手線・都営地下鉄三田線「巣鴨」駅から徒歩約１０分;
JR山手線「大塚」駅から徒歩約１０分 ",0,,1,30,1,,,①電話②FAX③郵送④インターネット(東京都スポーツ文化事業団ホームページ　http://www.tef.or.jp/school/ ),http://tokyo-shospo-navi.info/events/2880,①ボランティアも同時募集します。主にボール拾いをお手伝いいただきます。②健康状態には十分に留意し、自身または保護者の責任において参加してください。③駐車場はございません。④参加者の傷害保険は運営者側で加入いたします。 ,0,0,1,1,1,1,1,1,1,対象：聴覚障害のある方（小学生以上）、デフ卓球に興味のある方（小学生以上）※介助が必要な方は同伴の上、ご参加ください。 ,0,,,,,2019-03-28
0700000005,130001,東京都,,聴覚障害者卓球体験教室【大塚ろう学校】,チョウカクショウガイシャタッキュウキョウシツ【オオツカロウガッコウ】,,2019-01-27,10:00,2019-01-27,12:00,受付９時３０分～,"初心者向けの卓球体験教室で、ラケットの持ち方やボールに慣れるところから始めます。講師（聴覚障害の方）による卓球指導があります。事前申込制で各回３０名の先着順です。参加できる日にぜひお越し下さい。
",0,,,公益財団法人東京都スポーツ文化事業団都立学校活用促進担当,03-6804-5636,,東京都,公益財団法人東京都スポーツ文化事業団（事業実施）、公益財団法人東京都聴覚障害者総合支援機構東京都聴覚障害者連盟卓球部（協力）,東京都立大塚ろう学校,170-0002,東京都豊島区巣鴨4-20-8,,35.736276,139.732131,"JR山手線・都営地下鉄三田線「巣鴨」駅から徒歩約１０分;
JR山手線「大塚」駅から徒歩約１０分 ",0,,1,30,1,,,①電話②FAX③郵送④インターネット(東京都スポーツ文化事業団ホームページ　http://www.tef.or.jp/school/ ),http://tokyo-shospo-navi.info/events/2880,①ボランティアも同時募集します。主にボール拾いをお手伝いいただきます。②健康状態には十分に留意し、自身または保護者の責任において参加してください。③駐車場はございません。④参加者の傷害保険は運営者側で加入いたします。 ,0,0,1,1,1,1,1,1,1,対象：聴覚障害のある方（小学生以上）、デフ卓球に興味のある方（小学生以上）※介助が必要な方は同伴の上、ご参加ください。 ,0,,,,,2019-03-28
0700000006,130001,東京都,,聴覚障害者卓球体験教室【大塚ろう学校】,チョウカクショウガイシャタッキュウキョウシツ【オオツカロウガッコウ】,,2019-02-03,10:00,2019-02-03,12:00,受付９時３０分～,"初心者向けの卓球体験教室で、ラケットの持ち方やボールに慣れるところから始めます。講師（聴覚障害の方）による卓球指導があります。事前申込制で各回３０名の先着順です。参加できる日にぜひお越し下さい。
",0,,,公益財団法人東京都スポーツ文化事業団都立学校活用促進担当,03-6804-5636,,東京都,公益財団法人東京都スポーツ文化事業団（事業実施）、公益財団法人東京都聴覚障害者総合支援機構東京都聴覚障害者連盟卓球部（協力）,東京都立大塚ろう学校,170-0002,東京都豊島区巣鴨4-20-8,,35.736276,139.732131,"JR山手線・都営地下鉄三田線「巣鴨」駅から徒歩約１０分;
JR山手線「大塚」駅から徒歩約１０分 ",0,,1,30,1,,,①電話②FAX③郵送④インターネット(東京都スポーツ文化事業団ホームページ　http://www.tef.or.jp/school/ ),http://tokyo-shospo-navi.info/events/2880,①ボランティアも同時募集します。主にボール拾いをお手伝いいただきます。②健康状態には十分に留意し、自身または保護者の責任において参加してください。③駐車場はございません。④参加者の傷害保険は運営者側で加入いたします。 ,0,0,1,1,1,1,1,1,1,対象：聴覚障害のある方（小学生以上）、デフ卓球に興味のある方（小学生以上）※介助が必要な方は同伴の上、ご参加ください。 ,0,,,,,2019-03-28
0700000007,130001,東京都,,ボッチャ体験教室【鹿本学園】,ボッチャタイケンキョウシツ【カモトガクエン】,,2019-01-12,10:00,2019-01-12,12:00,受付９時３０分～,パラリンピック正式種目「ボッチャ」。一度、ハマると抜け出せない楽しさを味わえるバリアフリースポーツです。みんなで楽しくプレーしてみませんか。ボッチャが初めての方も大歓迎です。各回２０名の先着順です。参加できる日にぜひお越し下さい。,0,,,公益財団法人東京都スポーツ文化事業団都立学校活用促進担当,03-6804-5636,,東京都,公益財団法人東京都スポーツ文化事業団（事業実施）、東京ボッチャ協会（協力）,東京都立鹿本学園,133-0044,東京都江戸川区本一色2-24-11,,35.718442,139.875842,JR総武線「新小岩」駅下車～京成バス「菅原橋」停留所から徒歩約５分;JR総武線「小岩」駅下車～京成バス・都営バス「鹿本中学校前」停留所から徒歩約５分 ,1,駐車場には限りがございます。（予約不可）  ,1,20,1,,,①電話②FAX③郵送④インターネット(東京都スポーツ文化事業団ホームページ　http://www.tef.or.jp/school/ ),http://tokyo-shospo-navi.info/events/2885,①ボランティアも同時募集します。会場誘導等の業務はもちろん、障害者の方と一緒に楽しい時間を過ごしましょう。②健康状態には十分に留意し、自身または保護者の責任において参加してください。 ③参加者の傷害保険は運営者側で加入いたします。  ,0,0,1,1,1,1,1,1,1,対象：障害のある方（小学生以上） 、ボッチャに興味のある方（小学生以上） ※介助が必要な方は介助者同伴の上、ご参加ください。,0,,,,,2019-03-28
0700000008,130001,東京都,,ボッチャ体験教室【水元小合学園】,ボッチャタイケンキョウシツ【ミナモトユリガクエン】,,2019-01-20,10:00,2019-01-20,12:00,受付９時３０分～,パラリンピック正式種目「ボッチャ」。一度、ハマると抜け出せない楽しさを味わえるバリアフリースポーツです。みんなで楽しくプレーしてみませんか。ボッチャが初めての方も大歓迎です。各回２０名の先着順です。参加できる日にぜひお越し下さい。,0,,,公益財団法人東京都スポーツ文化事業団都立学校活用促進担当,03-6804-5636,,東京都,公益財団法人東京都スポーツ文化事業団（事業実施）、東京ボッチャ協会（協力）,東京都立水元小合学園,125-0032,東京都葛飾区水元１丁目２４?１,,35.782992,139.859063,JR常磐線「金町」駅下車～京成バス「ふれあいの家」停留所から徒歩約１分 ,1,駐車場には限りがございます。（予約不可）  ,1,20,1,,,①電話②FAX③郵送④インターネット(東京都スポーツ文化事業団ホームページ　http://www.tef.or.jp/school/ ),http://tokyo-shospo-navi.info/events/2879,①ボランティアも同時募集します。会場誘導等の業務はもちろん、障害者の方と一緒に楽しい時間を過ごしましょう。②健康状態には十分に留意し、自身または保護者の責任において参加してください。 ③参加者の傷害保険は運営者側で加入いたします。  ,0,0,1,1,1,1,1,1,1,対象：障害のある方（小学生以上） 、ボッチャに興味のある方（小学生以上） ※介助が必要な方は介助者同伴の上、ご参加ください。,0,,,,,2019-03-28
0700000009,130001,東京都,,第19回東京都障害者スポーツ大会 バレーボール競技（精神部門）,ダイ１９カイトウキョウトショウガイシャスポーツタイカイバレーボールキョウギ（セイシンブモン）,,2019-01-23,9:00,2019-01-23,17:00,,この競技は６人制バレーボールとほぼ同じルールで、ボールはソフトバレーボールを使用して実施します。また、東京都障害者スポーツ大会だけでなく、全国障害者スポーツ大会の正式競技としても実施されています。普段からバレーボールを楽しまれている方だけでなく、これを機にチーム作りをして、東京の１番を目指してみませんか？多くの方のご参加、ご来場をお待ちしています。 ,0,,,公益社団法人東京都障害者スポーツ協会,03-6265-6001,,東京都、公益社団法人東京都障害者スポーツ協会,,東京武道館,120-0005,東京都足立区綾瀬3-20-1,,35.765779,139.825792,東京メトロ千代田線「綾瀬駅」から徒歩5分,1,70台（障害者用2台を含む。）,0,,0,1900-01-00,0,,http://tokyo-shospo-navi.info/events/2893,,1,1,1,1,1,1,1,1,0,,0,,,,,2019-03-28
1400000007,130001,東京都,,＜２月のイベントクルーズ＞水辺を学ぶシリーズ・河川整備の今昔「吾妻橋から岩淵水門」,＜２ガツノイベントクルーズ＞ミズベヲマナブシリーズ・カセンセイビノコンジャク「アヅマバシカライワブチスイモン」,,2019-02-27,8:45,2019-02-27,11:30,荒天または潮位等の関係から船の運航が不能となった場合は、イベント催行も中止となります。中止が決まり次第、お客様にご連絡いたします。,専門家の解説で隅田川の変遷を辿る、吾妻橋から岩淵水門への往復クルーズ。,1,"3,800",小学生1900円 ,東京水辺ライン　問い合わせ専用ダイヤル,03-5608-8869,,（公財）東京都公園協会,,東京水辺ライン墨田区役所前受付,130-0001,墨田区吾妻橋1-23-20,墨田区役所2F,139.801199,35.710639,都営浅草線 本所吾妻橋駅A3出口から徒歩5分／都営浅草線、東京メトロ銀座線、東武スカイツリーライン 浅草駅から徒歩5分,0,,1,50,1,,,往復はがきにイベント名、参加人数（上記費用区分の別）、代表者の氏名(ふりがな)、年齢、郵便番号、住所、電話・FAX番号を記入し、締切日（必着）までにお申込みください。ネット予約も承ります。【申込先】〒130-0015　墨田区横網1-2-16国技館前東誠ﾋﾞﾙ4F 東京水辺ライン「水辺を学ぶシリーズ」係,https://www.tokyo-park.or.jp/waterbus/,※催行最少人数に満たない場合は中止となる場合があります。その場合は事前にご連絡いたします。※応募者多数の場合には抽選となります。抽選の場合には、当落に関わらず結果をお知らせいたします。※未就学児をお連れのお客様は、東京水辺ライン問い合わせ専用ダイヤル（03-5608-8869）までご連絡ください。,0,0,1,1,1,1,1,1,0,,0,,,,,2019-03-28
1400000008,130001,東京都,,みんなでラジオ体操,ミンナデラジオタイソウ,,2019-01-26,10:00,2019-01-26,12:00,小雨決行,ラジオ体操一級指導員がインストラクターとなりラジオ体操をします。 広い陸上競技場で思いきり身体を動かすのは気持ちが良いですよ！初めての方も、お気軽にどうぞ。ご家族やお友達と一緒に楽しく体操しましょう。,0,,,秋留台公園サービスセンター,042-559-6910,,公益財団法人東京都公園協会,あきる野市ラジオ体操連盟,秋留台公園,197-0814,東京都あきる野市二宮673-1,,35.729378,139.301843,JR五日市線「東秋留」又は「秋川」下車　徒歩15分;あきる野ICより　車　約15分,1,,0,,0,2019-01-26,12:00,当日自由参加　※直接、会場にお越しください。,http://www.metro.tokyo.jp/tosei/hodohappyo/press/2018/12/26/05_01.html,動きやすい服装、運動靴、帽子などを着用ください。,1,1,1,1,1,1,1,1,0,,0,,,,,2019-03-28
1400000010,130001,東京都,,ウォーキング教室,ウォーキングキョウシツ,,2019-02-03,10:00,2019-02-03,12:00,開始10分前に小金井公園サービスセンターへお集まりください。,気温が下がり体を動かす機会が減るこの時期に、楽しみながら体力づくりの方法を学べる「ウォーキング教室」を開催します。ウォーキングの基礎を学び、楽しく正しい運動習慣を身につけましょう！どなたでも気軽にご参加ください。,1,50,,小金井公園サービスセンター,042-385-5611,,公益財団法人東京都公園協会,,小金井公園,184-0001,東京都小金井市関野町1-13-1,,35.714272,139.519906,JR中央線　武蔵小金井駅北口から西武バス「小金井公園西口」下車、関東バス「江戸東京たてもの園前」「小金井公園前」下車;JR中央線　東小金井駅北口からCoCoバス「小金井公園入口」下車;西武新宿線　花小金井駅南口から西武バス「小金井公園西口」下車,0,※土・日・祝日のご来園は、五日市街道が渋滞しますので、公共交通機関をご利用ください。,1,50,1,2019-02-03,10:00,小金井公園サービスセンターの窓口もしくは電話で先着順に受付。,http://www.metro.tokyo.jp/tosei/hodohappyo/press/2018/12/26/05_02.html,※定員を満たしていなければ、当日参加可。（当日、園内放送にて参加を呼びかけます）,1,1,1,1,1,1,1,1,0,,0,,,,,2019-03-28
