"区分","名称","所在地","郵便番号","経営者","電話番号","許可年月日","種別","緯度","経度"
"宿泊施設","三井ガーデンホテル汐留イタリア街","東京都港区東新橋二丁目14番24号","105-0021","株式会社三井不動産ホテルマネジメント","03-3431-1131","20070409","旅館・ホテル","35.6601763","139.756924"
"宿泊施設","ＩＴ１（アイティワン）","東京都港区西新橋一丁目11番6号","105-0003","インキュベイトトラスト株式会社","03-6273-3363","20190121","旅館・ホテル","35.668425","139.753121"
"宿泊施設","ザ・ビー新橋","東京都港区西新橋一丁目17番13号","105-0003","株式会社イシン・シンバシ・オペレーションズ","03-3501-2500","20170817","旅館・ホテル","35.667492","139.753699"
"宿泊施設","ｂｎｂ＋　Ｔｒｉｐ　Ｃｏｍｍｕｎｉｔｙ　Ｔｏｋｙｏ　Ｔｈｒｅｅ
（ビーエヌビープラス　トリップ　コミュニティ　トウキョウ　スリー）","東京都港区西新橋一丁目23番10号南和ビル3階","105-0003","高見　健太郎","03-6550-8713","20171006","簡易宿所","35.6680363","139.751335"
"宿泊施設","Ｓｗｗｉｔｃｈ　Ｈｏｕｓｅ　Ｃｅｎｔｒａｌ　Ｔｏｋｙｏ　５","東京都港区西新橋一丁目23番10号南和ビル5階","105-0003","オージーアンドエーカンパニー株式会社","03-6873-8657","20190718","旅館・ホテル","35.6680363","139.751335"
"宿泊施設","Ｓｗｗｉｔｃｈ　Ｈｏｕｓｅ　Ｃｅｎｔｒａｌ　Ｔｏｋｙｏ　６","東京都港区西新橋一丁目23番10号南和ビル6階","105-0003","Ｈｏｖｅ合同会社",,"20190813","旅館・ホテル","35.6680363","139.751335"
"宿泊施設","Ｓｗｗｉｔｃｈ　Ｈｏｕｓｅ　Ｃｅｎｔｒａｌ　Ｔｏｋｙｏ　７","東京都港区西新橋一丁目23番10号南和ビル7階","105-0003","大瀧　敬一","03-6873-8657","20190709","旅館・ホテル","35.6680363","139.751335"
"宿泊施設","アパホテル＜新橋 虎ノ門＞","東京都港区西新橋二丁目6番9号","105-0003","アパホテル株式会社","03-3500-1155","20140325","旅館・ホテル","35.6668893","139.75324"
"宿泊施設","日比谷シティホテル","東京都港区西新橋二丁目8番10号","105-0003","日比谷シティホテル株式会社","03-3500-3911","20090415","旅館・ホテル","35.6658616","139.753474"
"宿泊施設","ファーストキャビン愛宕山","東京都港区西新橋三丁目10番7号","105-0003","株式会社エスアイビーウエル","03-3433-1126","20151019","簡易宿所","35.6642118","139.752032"
"宿泊施設","ＮＥＸＵＳ　ＤＯＯＲ　ＴＯＫＹＯ（ネクサス　ドア　トーキョー）","東京都港区西新橋三丁目23番16号","105-0003","ＮＥＸＵＳ株式会社","03-5473-7773","20171020","旅館・ホテル","35.6618871","139.751355"
"宿泊施設","アンダーズ東京","東京都港区虎ノ門一丁目23番4号","105-0001","株式会社森ビルホスピタリティコーポレーション","03-6830-1234","20140604","旅館・ホテル","35.6668531","139.749513"
"宿泊施設","オークラ東京","東京都港区虎ノ門二丁目10番4号","105-0001","株式会社ホテルオークラ東京","03-3582-0111","20190830","旅館・ホテル","35.666749","139.743497"
"宿泊施設","新橋愛宕山東急ＲＥＩホテル","東京都港区愛宕一丁目6番6号","105-0002","株式会社関東東急ホテルズ","03-3431-0109","19970514","旅館・ホテル","35.6650922","139.749302"
"宿泊施設","京王プレッソイン浜松町","東京都港区芝大門一丁目1番26号","105-0012","株式会社京王プレッソイン","03-3438-0202","20171213","旅館・ホテル","35.659212","139.752835"
"宿泊施設","相鉄フレッサイン浜松町大門","東京都港区芝大門一丁目2番7号","105-0012","株式会社相鉄ホテルマネジメント","03-5472-2031","20111114","旅館・ホテル","35.6596013","139.754285"
"宿泊施設","京急EXイン浜松町・大門駅前","東京都港区芝大門一丁目15番4号","105-0012","株式会社京急イーエックスイン","03-3431-3910","20190326","旅館・ホテル","35.657384","139.754032"
"宿泊施設","カプセルイン浜松町","東京都港区芝大門一丁目16番6号","105-0012","有限会社グレースランパート","03-3432-4312","20030808","簡易宿所","35.6571322","139.754435"
"宿泊施設","ホテルマイステイズプレミア浜松町","東京都港区浜松町一丁目8番5号","105-0013","株式会社マイステイズ・ホテル・マネジメント","03-3432-2726","20160610","旅館・ホテル","35.6592153","139.756385"
"宿泊施設","東武ハイライン大門２０１","東京都港区浜松町一丁目12番2号東武ハイライン大門201","105-0013","近藤　彰","050-3749-3156","20200206","旅館・ホテル","35.658631","139.755918"
"宿泊施設","ＢＡＹ　ＨＯＴＥＬ　東京浜松町","東京都港区浜松町一丁目16番9号1階、4～10階","105-0013","株式会社シー・ヴイ・エス・ベイエリア","03-6381-5012","20200304","旅館・ホテル","35.658059","139.756662"
"宿泊施設","ＢＡＹ　ＨＯＴＥＬ　東京浜松町","東京都港区浜松町一丁目16番9号2・3階","105-0013","株式会社シー・ヴイ・エス・ベイエリア","03-6381-5012","20200304","簡易宿所","35.658059","139.756662"
"宿泊施設","ＭｕｓＢｅｅ東京浜松町
（ムスビー）","東京都港区浜松町一丁目16番11号","105-0013","株式会社宮交シティ","03-6402-5240","20180223","旅館・ホテル","35.658031","139.756537"
"宿泊施設","ホテルマイステイズ浜松町","東京都港区浜松町一丁目18番14号","105-0013","株式会社マイステイズ・ホテル・マネジメント","03-6689-3939","20090601","旅館・ホテル","35.6581876","139.755168"
"宿泊施設","名鉄イン浜松町","東京都港区浜松町一丁目19番14号","105-0013","名鉄イン株式会社","03-5472-3434","20160307","旅館・ホテル","35.6579738","139.755627"
"宿泊施設","変なホテル東京　浜松町","東京都港区浜松町一丁目24番11号","105-0013","H.I.S.ホテルホールディングス株式会社","03-3433-2030","20180426","旅館・ホテル","35.657356","139.756462"
"宿泊施設","ナインアワーズ浜松町","東京都港区浜松町一丁目25番10号","105-0013","株式会社ナインアワーズ","03-6432-4256","20200227","簡易宿所","35.657354","139.755813"
"宿泊施設","ハーモニーレジデンス浜松町２０１","東京都港区浜松町一丁目26番6号201号室","105-0013","株式会社ビーコンＳＴＡＹ","080-9996-6289","20191216","旅館・ホテル","35.657556","139.756244"
"宿泊施設","ハーモニーレジデンス浜松町２０２","東京都港区浜松町一丁目26番6号202号室","105-0013","株式会社ビーコンＳＴＡＹ","080-9996-6289","20191206","旅館・ホテル","35.657556","139.756244"
"宿泊施設","ハーモニーレジデンス浜松町２０３","東京都港区浜松町一丁目26番6号203号室","105-0013","株式会社ビーコンＳＴＡＹ","080-9996-6289","20191129","旅館・ホテル","35.657556","139.756244"
"宿泊施設","ハーモニーレジデンス浜松町３０１","東京都港区浜松町一丁目26番6号301号室","105-0013","株式会社ビーコンＳＴＡＹ","080-9996-6289","20191216","旅館・ホテル","35.657556","139.756244"
"宿泊施設","ハーモニーレジデンス浜松町３０２","東京都港区浜松町一丁目26番6号302号室","105-0013","株式会社ビーコンＳＴＡＹ","080-9996-6289","20191216","旅館・ホテル","35.657556","139.756244"
"宿泊施設","ハーモニーレジデンス浜松町３０３","東京都港区浜松町一丁目26番6号303号室","105-0013","株式会社ビーコンＳＴＡＹ","080-9996-6289","20191206","旅館・ホテル","35.657556","139.756244"
"宿泊施設","スーパーホテル東京・浜松町","東京都港区浜松町二丁目2番1号","105-0013","株式会社スーパーホテル","03-6361-9000","20190215","旅館・ホテル","35.655429","139.754782"
"宿泊施設","リブポート浜松町","東京都港区浜松町二丁目5番3号2階","105-0013","渡邊倉庫株式会社","03-3438-0757","20190731","簡易宿所","35.654365","139.756429"
"宿泊施設","三交インＧｒａｎｄｅ東京浜松町","東京都港区浜松町二丁目7番18号","105-0013","株式会社三交イン","03-6435-9537","20140813","旅館・ホテル","35.6543047","139.754596"
"宿泊施設","芝パークホテル別館","東京都港区芝公園一丁目5番10号","105-0011","株式会社芝パークホテル","03-3433-4131","19791218","旅館・ホテル","35.6587652","139.752013"
"宿泊施設","芝パークホテル１５１","東京都港区芝公園一丁目6番6号","105-0011","株式会社芝パークホテル","03-3433-4141","20160728","旅館・ホテル","35.6584181","139.752344"
"宿泊施設","リッチモンドホテル東京芝","東京都港区芝公園二丁目3番4号","105-0011","アールエヌティーホテルズ株式会社","03-5777-7722","20170302","旅館・ホテル","35.6568849","139.752219"
"宿泊施設","ホテル メルパルク東京","東京都港区芝公園二丁目5番20号","105-0011","メルパルク株式会社","03-3433-7221","20080924","旅館・ホテル","35.6558933","139.751341"
"宿泊施設","東京プリンスホテル","東京都港区芝公園三丁目3番1号","105-0011","株式会社プリンスホテル","03-3432-1111","19710805","旅館・ホテル","35.6595706","139.749061"
"宿泊施設","ザ・プリンスパークタワー東京","東京都港区芝公園四丁目8番1号","105-0011","株式会社プリンスホテル","03-5400-1111","20050330","旅館・ホテル","35.6554377","139.747047"
"宿泊施設","ヴィラフォンテーヌ浜松町","東京都港区芝一丁目6番5号","105-0014","住友不動産ヴィラフォンテーヌ株式会社","03-5730-6660","20070314","旅館・ホテル","35.6520606","139.754827"
"宿泊施設","くれたけインプレミアム浜松町","東京都港区芝一丁目8番18号","105-0014","株式会社KTS東京オペレーション","03-5476-2211","20131024","旅館・ホテル","35.6508857","139.755346"
"宿泊施設","宿坊　正伝寺","東京都港区芝一丁目12番12号","105-0014","株式会社シェアウィング","090-6513-9330","20190708","旅館・ホテル","35.65036","139.754635"
"宿泊施設","曹洞宗檀信徒会館（東京グランドホテル）","東京都港区芝二丁目5番2号","105-0014","曹洞宗","03-3456-2222","19991129","旅館・ホテル","35.6527048","139.751147"
"宿泊施設","クレア芝公園","東京都港区芝二丁目18番8号1階","105-0014","成皓商事株式会社","080-5460-5262","20181011","簡易宿所","35.651496","139.751033"
"宿泊施設","クレア芝公園","東京都港区芝二丁目18番8号2階202","105-0014","成皓商事株式会社","080-5460-5262","20190326","簡易宿所","35.651496","139.751033"
"宿泊施設","クレア芝公園","東京都港区芝二丁目18番8号4階","105-0014","成皓商事株式会社","080-5460-5262","20181011","簡易宿所","35.651496","139.751033"
"宿泊施設","芝公園ハウス","東京都港区芝二丁目18番9号1階","105-0014","合同会社Ｇｒａｎｄｉｏｓｏ","03-6857-6313","20190724","旅館・ホテル","35.651496","139.750783"
"宿泊施設","芝公園ハウス","東京都港区芝二丁目18番9号2階","105-0014","合同会社Ｇｒａｎｄｉｏｓｏ","03-6857-6313","20190724","旅館・ホテル","35.651496","139.750783"
"宿泊施設","三田会館","東京都港区芝二丁目20番12号","105-0014","一般財団法人日本労働会館","03-3451-5898","20120301","旅館・ホテル","35.6516521","139.749794"
"宿泊施設","スーパーホテル東京・芝","東京都港区芝二丁目31番17号","105-0014","株式会社バンザイ","03-6670-9000","20180816","旅館・ホテル","35.649938","139.75123"
"宿泊施設","サンシャインタワー２０１","東京都港区芝三丁目12番9号201","105-0014","株式会社Ｓｕｎｓｈｉｎｅ","03-6380-6562","20181227","旅館・ホテル","35.652451","139.746222"
"宿泊施設","サンシャインタワー２０２","東京都港区芝三丁目12番9号202","105-0014","株式会社Ｓｕｎｓｈｉｎｅ","03-6380-6562","20181227","旅館・ホテル","35.652451","139.746222"
"宿泊施設","サンシャインタワー２０３","東京都港区芝三丁目12番9号203","105-0014","株式会社Ｓｕｎｓｈｉｎｅ","03-6380-6562","20181227","旅館・ホテル","35.652451","139.746222"
"宿泊施設","ホテル　ザ　セレスティン　東京芝","東京都港区芝三丁目23番1号","105-0014","株式会社三井不動産ホテルマネジメント","03-5441-4111","20020426","旅館・ホテル","35.6511188","139.748927"
"宿泊施設","春日旅館","東京都港区芝三丁目43番18号","105-0014","有限会社春日旅館","03-3451-1443","19820706","旅館・ホテル","35.6508604","139.7452083"
"宿泊施設","グラスビル３階０２　ＴＯＫＹＯ","東京都港区芝三丁目32番13号301","105-0014","リアル・ヴィンテージ株式会社",,"20191119","旅館・ホテル","35.650957","139.747544"
"宿泊施設","グラスビル５階０１　ＴＯＫＹＯ","東京都港区芝三丁目32番13号501","105-0014","リアル・ヴィンテージ株式会社",,"20191119","旅館・ホテル","35.650957","139.747544"
"宿泊施設","駐健保会館","東京都港区芝三丁目41番8号","105-0014","駐留軍要員健康保険組合","03-3451-2681","20130326","簡易宿所","35.6504022","139.746286"
"宿泊施設","アパホテル＜三田駅前＞","東京都港区芝四丁目4番8号","108-0014","アパホテル株式会社","03-5419-4111","20121023","旅館・ホテル","35.6484359","139.7501"
"宿泊施設","ＳＳＫ健保会館 芝","東京都港区芝五丁目11番1号","108-0014","社会保健支払基金健康保険組合","03-5444-8618","20020812","旅館・ホテル","35.6495828","139.7458"
"宿泊施設","芝５丁目","東京都港区芝五丁目23番14号","108-0014","岩村　礼子","080-4433-4915","20191007","旅館・ホテル","35.648007","139.745761"
"宿泊施設","田町 ＢＡＹ　ＨＯＴＥＬ（ベイホテル）","東京都港区芝五丁目27番10号","108-0014","株式会社シー・ヴイ・エス・ベイエリア","03-3452-0530","20161027","簡易宿所","35.6471248","139.746742"
"宿泊施設","東京讃岐会館","東京都港区三田一丁目11番9号","108-0073","株式会社喜代美山荘","03-3455-5555","20030725","旅館・ホテル","35.6537543","139.739278"
"宿泊施設","京急ＥＸイン品川・泉岳寺駅前","東京都港区三田三丁目11番26号","108-0073","株式会社京急イーエックスイン","03-5793-3311","20160610","旅館・ホテル","35.6406476","139.741389"
"宿泊施設","チサンホテル浜松町","東京都港区芝浦一丁目3番10号","105-0023","株式会社浜松町ホテルマネジメント","03-3452-6511","20160624","旅館・ホテル","35.6499969","139.755602"
"宿泊施設","ホテルグランマーチ東京芝浦","東京都港区芝浦二丁目17番11号","105-0023","札幌クラークホテル株式会社","03-5765-5208","20191125","旅館・ホテル","35.6449197","139.75218"
"宿泊施設","プルマン東京田町","東京都港区芝浦三丁目1番21号ｍｓｂ　Ｔａｍａｃｈｉ　プルマン東京田町","108-0023","エイ・エイ・ピー・シー・ジャパン株式会社","03-6400-5855","20180911","旅館・ホテル","35.645577","139.749086"
"宿泊施設","ホテルグレイスリー田町","東京都港区芝浦三丁目8番1号","108-0023","藤田観光株式会社","03-6699-1000","20081014","旅館・ホテル","35.6437253","139.750911"
"宿泊施設","相鉄フレッサイン東京田町","東京都港区芝浦三丁目14番21号","108-0023","株式会社相鉄ホテルマネジメント","03-3454-7755","20121025","旅館・ホテル","35.6427198","139.747853"
"宿泊施設","ｂｎｂ＋　Ｔｏｋｙｏ　Ｔａｍａｃｈｉ（ビーエヌビープラス　トウキョウ　タマチ）","東京都港区芝浦三丁目20番9号ブライトビル3階","108-0023","合同会社Ｐ．Ａ．Ｏ",,"20180521","簡易宿所","35.641919","139.747558"
"宿泊施設","ヴィラフォンテーヌ　グランド東京田町","東京都港区芝浦四丁目2番8号","108-0023","住友不動産ヴィラフォンテーヌ株式会社","03-5730-7770","20070315","旅館・ホテル","35.6428225","139.744903"
"宿泊施設","プラチナヒルズホテル","東京都港区白金一丁目15番36号プラチナヒルズ2階、3階、4階","108-0072","長久手合同会社","090-4094-0217","20171213","簡易宿所","35.644852","139.732909"
"宿泊施設","Ｎｅａｒｂｙ　Ｒｏｐｐｏｎｇｉ（ニアバイロッポンギ）","東京都港区白金五丁目1番2号レジデンス白金103号室","108-0072","東京幕府合同会社","050-5319-8770","20181113","旅館・ホテル","35.646201","139.725871"
"宿泊施設","Ｈ２Ｏ Ｓｔａｙ 広尾","東京都港区白金五丁目2番2号","108-0072","新田　貴志","03-5322-2861","20191114","簡易宿所","35.646199","139.726304"
"宿泊施設","フレックステイイン白金","東京都港区白金五丁目10番15号","108-0072","株式会社マイステイズ・ホテル・マネジメント","03-3443-1711","20011205","旅館・ホテル","35.6446911","139.724488"
"宿泊施設","結城ビル２０２","東京都港区白金五丁目11番6号結城ビル202","108-0072","株式会社宏栄管理","03-6416-0535","20200323","旅館・ホテル","35.645468","139.725085"
"宿泊施設","シェラトン都ホテル東京","東京都港区白金台一丁目1番50号","108-0071","株式会社近鉄・都ホテルズ","03-3447-6146","19981118","旅館・ホテル","35.6394919","139.731602"
"宿泊施設","オリーブスパ白金台 ＰＥＮＴＨＯＵＳＥ Ｒｏｏｍ１","東京都港区白金台四丁目9番2号ＰＡＮＴＨＥＯＮ白金台2階","108-0071","株式会社オリーブスパ","03-5475-0606","20190910","旅館・ホテル","35.638242","139.723472"
"宿泊施設","オリーブスパ白金台 ＰＥＮＴＨＯＵＳＥ Ｒｏｏｍ２","東京都港区白金台四丁目9番2号ＰＡＮＴＨＥＯＮ白金台2階","108-0071","株式会社オリーブスパ","03-5475-0606","20190910","旅館・ホテル","35.638242","139.723472"
"宿泊施設","Ｋｏｒｕ　Ｔａｋａｎａｗａ　Ｇａｔｅｗａｙ　Ｈｏｓｔｅｌ，Ｃａｆｅ　＆　Ｂａｒ
（コルタカナワゲートウェイホステル，カフェアンドバー）","東京都港区高輪二丁目6番7号","108-0074","Ｋｏｒｕ－ｗｏｒｋｅｒｓ株式会社","03-6336-7622","20180427","簡易宿所","35.635839","139.734148"
"宿泊施設","東急ステイ高輪（泉岳寺駅前）","東京都港区高輪二丁目16番29号","108-0074","東急ステイサービス株式会社","03-3476-1008","20180202","旅館・ホテル","35.638258","139.73924"
"宿泊施設","アパホテル＜品川　泉岳寺駅前＞","東京都港区高輪二丁目16番30号","108-0074","アパホテル株式会社","03-5475-6801","20151126","旅館・ホテル","35.6381062","139.739248"
"宿泊施設","ＡＲＡＩＹＡ(アライヤ）","東京都港区高輪二丁目17番1号","108-0074","株式会社宿場JAPAN","070-6460-9442","20160506","簡易宿所","35.6397172","139.739717"
"宿泊施設","ポルタ品川","東京都港区高輪三丁目10番38号","108-0074","株式会社ＩＳＳＡ","070-6923-6555","20181018","簡易宿所","35.631934","139.731043"
"宿泊施設","グランドプリンスホテル高輪","東京都港区高輪三丁目13番1号","108-0074","株式会社プリンスホテル","03-3447-1111","19710315","旅館・ホテル","35.6309708","139.735277"
"宿泊施設","グランドプリンスホテル新高輪","東京都港区高輪三丁目13番1号","108-0074","株式会社プリンスホテル","03-3447-1111","19820419","旅館・ホテル","35.6309708","139.735277"
"宿泊施設","ザ・プリンスさくらタワー東京","東京都港区高輪三丁目13番1号","108-0074","株式会社プリンスホテル","03-5798-1111","19980929","旅館・ホテル","35.6309708","139.735277"
"宿泊施設","京急ＥＸホテル品川","東京都港区高輪三丁目13番3号","108-0074","株式会社京急イーエックスイン","03-5798-3909","20110425","旅館・ホテル","35.6297377","139.735913"
"宿泊施設","都シティ東京高輪","東京都港区高輪三丁目19番17号","108-0074","株式会社近鉄・都ホテルズ","03-3280-4111","20181227","旅館・ホテル","35.633542","139.737659"
"宿泊施設","品川東武ホテル","東京都港区高輪四丁目7番6号","108-0074","株式会社東武ホテルマネジメント","03-3447-0111","20000313","旅館・ホテル","35.6291543","139.732982"
"宿泊施設","東京療院新館","東京都港区高輪四丁目9番16号","108-0074","一般社団法人ＭＯＡインターナショナル","03-3280-1922","20100303","旅館・ホテル","35.6287128","139.734999"
"宿泊施設","京急ＥＸホテル高輪","東京都港区高輪四丁目10番8号","108-0074","株式会社京急イーエックスイン","03-5423-3910","20111107","旅館・ホテル","35.6290183","139.735602"
"宿泊施設","品川プリンスホテルイーストタワー","東京都港区高輪四丁目10番30号","108-0074","株式会社プリンスホテル","03-3442-7171","19780711","旅館・ホテル","35.6279073","139.735207"
"宿泊施設","品川プリンスホテルNタワー","東京都港区高輪四丁目10番30号","108-0074","株式会社プリンスホテル","03-3440-1111","19860623","旅館・ホテル","35.6279073","139.735207"
"宿泊施設","品川プリンスホテルメインタワー","東京都港区高輪四丁目10番30号","108-0074","株式会社プリンスホテル","03-3440-1111","19941122","旅館・ホテル","35.6279073","139.735207"
"宿泊施設","品川プリンスホテルアネックスタワー","東京都港区高輪四丁目10番30号","108-0074","株式会社プリンスホテル","03-3440-1111","20020424","旅館・ホテル","35.6279073","139.735207"
"宿泊施設","別館ホテル品川","東京都港区高輪四丁目21番4号","108-0074","株式会社つばめ","03-3441-0123","19600411","旅館・ホテル","35.6266464","139.735796"
"宿泊施設","東横イン品川駅高輪口","東京都港区高輪四丁目23番2号","108-0074","株式会社ホテル聖徳","03-3280-1045","20000215","旅館・ホテル","35.6265381","139.737418"
"宿泊施設","島嶼会館","東京都港区海岸一丁目4番15号","105-0022","東京都島嶼町村一部事務組合","03-3437-3061","20131009","旅館・ホテル","35.6551353","139.759851"
"宿泊施設","メズム東京、オートグラフ　コレクション(ｍｅｓｍ Ｔｏｋｙｏ，Ａｕｔｏｇｒａｐｈ Ｃｏｌｌｅｃｔｉｏｎ)","東京都港区海岸一丁目10番30号ＷＡＴＥＲＳ ｔａｋｅｓｈｉｂａ高層棟16階～26階","105-0022","日本ホテル株式会社","03-5777-1111","20200319","旅館・ホテル","35.65596","139.762878"
