事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,平成26,2014,年平均,19.2,159,143.2,15.8,13.9,87,82.8,4.2
500人以上,平成27,2015,年平均,19,159.4,142.5,16.9,13.5,89.1,85.3,3.8
500人以上,平成28,2016,年平均,19,159.1,142.8,16.3,13.5,87.1,83.8,3.3
500人以上,平成29,2017,年平均,19,159.3,143.8,15.5,13.4,85.9,82.9,3
500人以上,平成30,2018,年平均,19,159,144.3,14.7,14.6,101.3,96.5,4.8
500人以上,平成31・令和元,2019,年平均,18.6,155.9,140.2,15.7,13.4,91.8,87.5,4.3
500人以上,平成31,2019,1月,17.5,146.8,132.6,14.2,13.2,91.3,86.9,4.4
500人以上,平成31,2019,2月,17.9,150.8,135.4,15.4,12.7,87,82.7,4.3
500人以上,平成31,2019,3月,18.6,155.7,139.6,16.1,13.2,94.3,89.7,4.6
500人以上,平成31,2019,4月,19,160.3,143.7,16.6,13.6,96,91.2,4.8
500人以上,令和元,2019,5月,18.5,156.1,139.9,16.2,13.9,98.7,93.4,5.3
500人以上,令和元,2019,6月,18.7,156.8,140.9,15.9,13.5,90.8,86.7,4.1
500人以上,令和元,2019,7月,19.7,164.5,148.6,15.9,14,93.7,89.8,3.9
500人以上,令和元,2019,8月,18.7,156.1,141,15.1,13.2,90.9,86.9,4
500人以上,令和元,2019,9月,17.7,148.8,133.7,15.1,13.3,90.1,86,4.1
500人以上,令和元,2019,10月,19,158.6,142.5,16.1,13.9,92,88,4
500人以上,令和元,2019,11月,19,159.5,143.2,16.3,13.3,88.7,84.7,4
500人以上,令和元,2019,12月,18.7,156.1,140.6,15.5,13.3,88.6,84.4,4.2
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成31年・令和元年年報,,,,,,,,,,,
第９表　規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,
