事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,令和元,2019,11月,17.1,18.4,15.6,129.8,147.2,110.5,121.8,136.4,105.6,8,10.8,4.9
５～29人,令和元,2019,12月,17,18.3,15.5,129.6,147.7,110,121.6,136.6,105.4,8,11.1,4.6
30～99人,平成26,2014,年平均,18.6,19.3,17.6,149,162.5,129.6,135.9,145.5,122.1,13.1,17,7.5
30～99人,平成27,2015,年平均,18.1,18.9,17,142.3,157.1,122.6,130.9,142.1,116,11.4,15,6.6
30～99人,平成28,2016,年平均,18.1,19,17,140.6,154.8,122,130.4,141.5,115.9,10.2,13.3,6.1
30～99人,平成29,2017,年平均,18.1,19,17,140.4,155.2,122,130,141.2,116,10.4,14,6
30～99人,平成30,2018,年平均,18,19,16.8,140.8,156.5,120.9,129.7,141.8,114.3,11.1,14.7,6.6
30～99人,平成31・令和元,2019,年平均,17.3,18.2,16.1,136.9,152.5,116,125,136.7,109.3,11.9,15.8,6.7
30～99人,平成31,2019,1月,16.2,16.9,15.2,128,141.8,109.3,116.7,127.2,102.5,11.3,14.6,6.8
30～99人,平成31,2019,2月,17.1,18,15.8,134.6,150.2,113.6,122.9,134.7,107,11.7,15.5,6.6
30～99人,平成31,2019,3月,17.4,18.4,16.2,137.6,153,116.5,125.7,137.4,109.6,11.9,15.6,6.9
30～99人,平成31,2019,4月,17.9,18.9,16.6,142.5,158.4,120.7,129.4,141.3,113.2,13.1,17.1,7.5
30～99人,令和元,2019,5月,16.9,17.7,15.9,133.4,147.4,114.9,121.8,132,108.3,11.6,15.4,6.6
30～99人,令和元,2019,6月,17.7,18.7,16.4,139.2,155.8,117.7,127.5,139.9,111.4,11.7,15.9,6.3
30～99人,令和元,2019,7月,18.2,19.2,17,143.3,159.7,121.9,131.3,143.7,115.1,12,16,6.8
30～99人,令和元,2019,8月,17.1,18,15.8,134.6,150.6,113.3,123.2,135.3,107,11.4,15.3,6.3
30～99人,令和元,2019,9月,17.1,18,15.8,135.3,151,114.4,123,134.6,107.6,12.3,16.4,6.8
30～99人,令和元,2019,10月,17.4,18.3,16.2,138,153.7,117.1,125.7,137.5,109.9,12.3,16.2,7.2
30～99人,令和元,2019,11月,17.5,18.5,16.2,139.1,155.1,117.4,127,139.1,110.7,12.1,16,6.7
30～99人,令和元,2019,12月,17.4,18.3,16.2,137.2,152.9,116,125.5,137.4,109.5,11.7,15.5,6.5
100～499人,平成26,2014,年平均,18.4,18.9,17.5,149.6,159.9,132.7,135.3,142.6,123.3,14.3,17.3,9.4
100～499人,平成27,2015,年平均,18.5,18.9,17.7,150.8,160.2,133.9,136.7,143.2,125,14.1,17,8.9
100～499人,平成28,2016,年平均,18.4,18.9,17.6,150.2,159.8,132.5,136.5,143.3,124,13.7,16.5,8.5
100～499人,平成29,2017,年平均,18.5,19,17.6,150.4,159.9,133.3,137.2,144,125,13.2,15.9,8.3
100～499人,平成30,2018,年平均,18.3,18.8,17.6,147.7,156.4,133.7,135.3,141.5,125.3,12.4,14.9,8.4
100～499人,平成31・令和元,2019,年平均,18,18.4,17.2,145.2,153.6,132,132.3,138.2,123,12.9,15.4,9
100～499人,平成31,2019,1月,17,17.5,16.3,137.9,146,124.9,125.3,131,116.2,12.6,15,8.7
100～499人,平成31,2019,2月,17.5,18,16.7,142,151,127.9,128.9,135.2,119,13.1,15.8,8.9
100～499人,平成31,2019,3月,17.9,18.4,17,145.8,154.5,132.1,132.2,138.3,122.6,13.6,16.2,9.5
100～499人,平成31,2019,4月,18.4,18.9,17.6,149.9,158.4,136.6,136.2,142.3,126.6,13.7,16.1,10
100～499人,令和元,2019,5月,17.5,18,16.8,141.3,149.6,128.5,128.8,134.7,119.6,12.5,14.9,8.9
100～499人,令和元,2019,6月,18.3,18.8,17.5,147.3,156.1,133.8,134.6,140.9,125,12.7,15.2,8.8
100～499人,令和元,2019,7月,18.9,19.4,18.1,152.1,160.8,138.6,139.5,145.7,129.8,12.6,15.1,8.8
100～499人,令和元,2019,8月,17.8,18.2,17.2,144.6,152.1,133.1,132.4,137.4,124.7,12.2,14.7,8.4
100～499人,令和元,2019,9月,17.4,17.9,16.7,141.4,149.3,129.1,128.6,134,120.3,12.8,15.3,8.8
100～499人,令和元,2019,10月,18.2,18.8,17.4,147.3,156.1,133.2,133.9,140.1,124,13.4,16,9.2
100～499人,令和元,2019,11月,18.4,18.9,17.5,147.9,156.6,134.3,134.7,140.8,125.1,13.2,15.8,9.2
100～499人,令和元,2019,12月,18,18.5,17.3,144.7,153,131.6,131.9,137.7,122.7,12.8,15.3,8.9
500人以上,平成26,2014,年平均,18.6,18.9,18,150.9,157,140,136.4,140.5,129,14.5,16.5,11
500人以上,平成27,2015,年平均,18.3,18.6,17.6,150.2,157.2,138.3,135,139.5,127.4,15.2,17.7,10.9
500人以上,平成28,2016,年平均,18.3,18.6,17.6,149.5,156.7,137.8,134.9,139.8,127,14.6,16.9,10.8
500人以上,平成29,2017,年平均,18.3,18.7,17.7,149.9,157,138.1,136,140.9,127.8,13.9,16.1,10.3
500人以上,平成30,2018,年平均,18.4,18.8,17.7,150.5,157.3,139.8,137.3,142.2,129.6,13.2,15.1,10.2
500人以上,平成31・令和元,2019,年平均,17.9,18.4,17.2,147.3,154.7,136,133.1,138.2,125.4,14.2,16.5,10.6
500人以上,平成31,2019,1月,16.9,17.2,16.4,139.1,145,130.2,126.3,130.2,120.4,12.8,14.8,9.8
500人以上,平成31,2019,2月,17.2,17.7,16.5,142.5,149.9,131.3,128.5,133.5,121,14,16.4,10.3
500人以上,平成31,2019,3月,17.8,18.4,17,147.6,154.9,136,133,137.9,125.2,14.6,17,10.8
500人以上,平成31,2019,4月,18.3,18.9,17.5,152.1,159.8,139.9,137,142.5,128.3,15.1,17.3,11.6
500人以上,令和元,2019,5月,17.9,18.3,17.4,148.8,155.5,138.5,134,138.3,127.3,14.8,17.2,11.2
500人以上,令和元,2019,6月,18,18.4,17.3,147.9,155.7,136.1,133.6,138.9,125.6,14.3,16.8,10.5
500人以上,令和元,2019,7月,19,19.5,18.2,155,163.2,142.3,140.7,146.4,131.8,14.3,16.8,10.5
500人以上,令和元,2019,8月,18,18.3,17.4,147.3,154,137,133.7,138.2,126.8,13.6,15.8,10.2
500人以上,令和元,2019,9月,17.2,17.5,16.7,141.1,147.5,131.2,127.5,131.6,121.1,13.6,15.9,10.1
500人以上,令和元,2019,10月,18.3,18.8,17.5,149.6,157.4,137.8,135.1,140.5,127,14.5,16.9,10.8
500人以上,令和元,2019,11月,18.2,18.8,17.3,149.6,158.5,136.1,135,141.3,125.5,14.6,17.2,10.6
500人以上,令和元,2019,12月,17.9,18.5,17.1,147,155.1,134.3,133,138.7,124.1,14,16.4,10.2
,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成31年・令和元年年報,,,,,,,,,,,,,,,
第８表　規模、性別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,,,,,
