年度,西暦（年）,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和56年度平均,1981,80.7,81.6,82,72.6,71,110.1,131.8,76.9,68.5,90.3,53.3,83.4,76
昭和57年度平均,1982,83,84,83.9,74.5,73,115.4,131.8,79.9,69.5,94.1,56.5,85.4,77.7
昭和58年度平均,1983,84.8,85.8,85.7,76.6,75.6,114.7,131.9,81.9,70.9,92.5,59.1,88.1,81.6
昭和59年度平均,1984,86.8,88,87.8,78.6,78.3,116.7,132.4,84.4,73.8,95.3,61.7,89.9,82.5
昭和60年度平均,1985,88.8,89.9,89.4,80.8,80.4,116.4,133.2,87.4,77.7,97.4,64.9,91.4,83.3
昭和61年度平均,1986,89.1,89.9,88.6,82.5,81.7,107.4,133.8,89.1,79.5,96.6,66.9,93.4,85.2
昭和62年度平均,1987,89.9,90.4,89.1,85.1,84.1,102.1,132.7,88.9,80.5,97.7,69.3,94.1,86.1
昭和63年度平均,1988,90.8,91.4,90.2,86.3,85.7,100.5,132.4,90.9,80.7,97.4,71.9,95.5,86.7
平成元年度平均,1989,93.7,94.2,93.7,89.4,88.9,99.4,133.5,95.9,81.7,98.8,74.1,99.4,88.4
平成2年度平均,1990,96.6,97.3,97.7,91.9,91.9,100.5,133.6,99.8,82.5,99.7,77.5,103.4,89.8
平成3年度平均,1991,99.5,100.1,101.1,95.3,95.5,100.9,134.4,105.9,83.3,100.7,79.9,105.8,91.3
平成4年度平均,1992,101.1,101.6,101.6,98.1,98.9,100.9,136.4,106.8,85.3,102.7,82.8,108.6,92.7
平成5年度平均,1993,102.4,102.4,103,101.8,101,100.4,133.9,104.6,85.7,102.5,85.8,110.6,94
平成6年度平均,1994,102.8,102.6,102.9,103.3,102.3,102.7,131,102.2,86.1,102.2,88.3,111.1,94.9
平成7年度平均,1995,102.4,102.2,101.3,103.3,103.4,102.9,128.3,102.3,86.7,104,90.2,109.1,95.5
平成8年度平均,1996,102.5,102.3,101.5,103.2,103.2,102.9,124.5,102.6,87.3,104.2,92.5,108.4,95.9
平成9年度平均,1997,104.3,104.3,103.9,104,103.6,106.3,123.4,105.3,94.8,104.6,93.7,110.9,98.3
平成10年度平均,1998,104.6,104.6,104.7,103.9,102.9,104.9,121.5,106.4,99.1,103.4,95.3,110.3,99.2
平成11年度平均,1999,104,103.7,103.3,104.3,102.7,103.8,119.3,104.8,98,103.3,96.7,109.3,98.8
平成12年度平均,2000,103,102.9,101.7,102.9,102,104.8,116.2,104.3,97.9,102.7,97.6,107.5,98.6
平成13年度平均,2001,101.7,101.5,100.4,101.6,101.2,104.9,111.4,102.1,97.9,101.5,98.3,104.7,98.5
平成14年度平均,2002,100.9,100.9,100.9,100.5,100.6,101.8,107.1,100.8,97,101.3,99.6,102.8,98.6
平成15年度平均,2003,100.5,100.6,100.3,100.1,100.3,102.4,104.3,99.4,101.2,101,99,101.4,99.9
平成16年度平均,2004,100.4,100.5,101.1,100,100.3,100.8,102,99.9,99.8,100.5,99.7,100.5,99.9
平成17年度平均,2005,99.9,99.9,99.8,100,99.9,100.7,99.2,100.2,99.9,99.9,100.1,99.7,100.1
平成18年度平均,2006,100.2,100.1,100.4,100.1,100,102.5,97.9,100.8,99.2,99.4,100.9,99.1,101
,,,,,,,,,,,,,,
東京の物価／平成１９年９月,,,,,,,,,,,,,,
４．東京都区部消費者物価１０大費目指数（年度平均）,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,
