総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,総平均,総平均/対前年(月)比（％）,総平均/対前年同月比（％）,工業製品,工業製品/加工食品,工業製品/繊維製品,工業製品/製材・木製品,工業製品/パルプ・紙・同製品,工業製品/化学製品,工業製品/プラスチック製品,工業製品/石油・石炭製品,工業製品/窯業・土石製品,工業製品/鉄鋼,工業製品/非鉄金属,工業製品/金属製品,工業製品/一般機器,工業製品/電気機器,工業製品/情報通信機器,工業製品/電子部品・デバイス,工業製品/輸送用機器,工業製品/精密機器,工業製品/その他工業製品,農林水産物,鉱産物,電力都市ガス水道,スクラップ類,（参考）/輸出物価指数,（参考）/輸入物価指数
平成18年11月,2006,11,102.6,-0.1,1.9,102.5,100.5,103.7,109.7,101.4,104,105,115.3,101.7,105.1,146.2,102.6,100.4,98.8,89.9,93.4,99.6,98.8,100.2,99.2,100.9,101.6,137.2,104.3,114.7
平成18年12月,2006,12,102.7,0.1,1.8,102.5,100.7,103.4,110.5,101.5,104.2,105.2,115,101.7,105.9,144.2,102.2,100.4,98.7,89.5,93.2,99.6,98.8,100.4,100.9,102.1,101.6,144.9,104.5,115.1
平成19年１月,2007,1,102.5,-0.2,1.5,102.4,100.8,102.7,111.7,101.6,104.6,105,113.4,101.9,106.9,139.8,102.4,100.4,98.8,87.6,92.8,99.6,98.8,100.8,96.3,102.1,103.4,144.7,105.9,118.4
平成19年２月,2007,2,102.5,0,1.2,102.3,100.9,103.5,112.4,101.7,104.3,105,111.1,102,107.5,140,102.5,100.5,98.6,87,92.6,99.6,98.8,101.1,98.4,102.1,103.4,151.4,105.8,116
平成19年３月,2007,3,102.7,0.2,1.4,102.5,100.8,104.3,113.2,101.7,104.3,105.1,112.1,102.2,108.2,143.2,102.8,100.4,98.3,86.7,92.7,99.8,98.8,100.9,97.7,102.1,103.4,160.9,104.4,115.7
平成19年４月,2007,4,103.5,0.8,1.8,103.4,100.9,105.1,113.7,102.1,105.7,105.3,117.6,102.3,109.2,154.1,103.5,100.4,98.4,86,92.4,100.1,98.7,101.3,97.4,105.3,102.8,166.5,105.9,119.4
平成19年５月,2007,5,103.8,0.3,1.7,103.8,100.9,105.2,114.1,102.2,106,105.3,122.6,102.3,110,157.2,103.8,100.2,98.4,84.9,92.1,100,98.7,101.3,97.9,105.3,102.7,159.9,107.4,123.7
平成19年６月,2007,6,103.9,0.1,1.8,103.9,101,104.9,113.7,102.3,106.7,105,124.5,102.2,110.6,156.6,104.1,100.3,97.9,83.9,91.9,99.9,98.6,101.4,97.1,105.3,102.7,160.2,108.7,125.7
平成19年７月,2007,7,104.6,0.7,1.9,104.3,101.2,104.5,113,103.3,107.2,105.2,128.3,102.2,111.5,159.4,104.5,100.6,97.9,83.5,91.7,99.8,98.6,101.8,97.1,105.3,106.9,168.5,108.4,125.4
平成19年８月,2007,8,104.6,0,1.5,104.3,101.2,105,111.6,103.9,107.6,105.6,129.6,102.3,111.4,154.2,104.6,100.6,97.8,83.2,91.7,99.9,98.4,101.9,97.8,105.3,107,168,105,122.7
平成19年９月,2007,9,104.5,-0.1,1.3,104.2,101.3,106.2,110.2,104.6,107.4,106.1,127.4,102.4,111.2,152.1,104.9,100.6,97.6,82.8,91.5,99.9,98.5,101.9,97.8,105.4,107,172,104,121.5
平成19年10月,2007,10,104.8,0.3,2,104.7,101.7,106.9,109.6,106.6,108.2,106.6,131.8,102.6,111.4,155.2,105.1,100.6,97.5,82.2,91.4,99.8,98.2,102,95.9,105.4,103.7,172.8,104.7,125.6
平成19年11月,2007,11,105,0.2,2.3,105,101.8,106.7,109.1,107.1,108.7,107,138.3,102.8,111.6,147.6,104.9,100.6,97.4,82.6,91.1,99.9,98.2,102.1,96.1,105.5,103.8,168.1,102.2,124.8
対前月比(%),,,0.2,（再掲）,…,0.3,0.1,-0.2,-0.5,0.5,0.5,0.4,4.9,0.2,0.2,-4.9,-0.2,0,-0.1,0.5,-0.3,0.1,0,0.1,0.2,0.1,0.1,-2.7,-2.4,-0.6
対前年同月比(%),,,2.3,,,2.4,1.3,2.9,-0.5,5.6,4.5,1.9,19.9,1.1,6.2,1,2.2,0.2,-1.4,-8.1,-2.5,0.3,-0.6,1.9,-3.1,4.6,2.2,22.5,-2,8.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成19年12月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
付属資料２　国内企業物価指数〔総平均・大類別・類別指数〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注)今月から平成17年平均を基準とした指数を掲載している,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
