種別,性別,地域階層,地域,平成30,2018,月,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／就職者／正規の職員等（人）,卒業者数／就職者／正規の職員等でない者（人）,卒業者数／一時的な仕事に就いた者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等でない者（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
公立,総数（男・女）,1,目黒区,令和5,2023,3月,156,136,－,17,－,－,2,－,－,…,…,…,…,1,－,－,－,－,…,…,－,136,87.2,2,1.3
公立,総数（男・女）,1,八王子市,令和5,2023,3月,150,132,2,14,－,－,1,－,－,…,…,…,…,1,－,－,－,－,…,…,－,132,88,1,0.7
公立,総数（男・女）,1,立川市,令和5,2023,3月,145,131,－,12,－,－,－,－,－,…,…,…,…,2,－,－,－,－,…,…,－,131,90.3,－,－
公立,総数（男・女）,1,三鷹市,令和5,2023,3月,155,131,－,23,－,－,1,－,－,…,…,…,…,－,－,－,－,－,…,…,－,130,84.5,1,0.6
私立,総数（男・女）,0,総数,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,男,0,総数,令和元,2019,3月,536,389,5,117,2,…,…,…,…,2,2,－,－,21,－,－,…,…,－,－,…,389,72.6,2,0.4
総数（国・公・私立）,男,0,総数,令和2,2020,3月,543,386,35,76,－,…,…,…,…,3,3,－,－,43,－,－,…,…,－,－,…,386,71.1,3,0.6
総数（国・公・私立）,男,0,総数,令和3,2021,3月,520,412,33,47,1,－,－,－,－,…,…,…,…,27,－,－,－,－,…,…,－,412,79.2,－,－
総数（国・公・私立）,男,0,総数,令和4,2022,3月,536,433,47,32,－,－,2,－,－,…,…,…,…,22,－,－,－,－,…,…,－,432,80.8,2,0.4
総数（国・公・私立）,男,0,総数,令和5,2023,3月,540,441,3,73,1,－,2,－,－,…,…,…,…,20,－,－,－,－,…,…,－,441,81.7,2,0.4
総数（国・公・私立）,男,0,総数,令和5,2023,3月,549,431,2,79,－,1,5,－,－,…,…,…,…,31,－,－,－,－,…,…,－,431,78.5,6,1.1
国立,男,0,総数,令和5,2023,3月,100,69,1,－,－,1,1,－,－,…,…,…,…,28,－,－,－,－,…,…,－,69,69,2,2
国立,男,1,中野区,令和5,2023,3月,54,37,1,－,－,1,－,－,－,…,…,…,…,15,－,－,－,－,…,…,－,37,68.5,1,1.9
国立,男,1,練馬区,令和5,2023,3月,46,32,－,－,－,－,1,－,－,…,…,…,…,13,－,－,－,－,…,…,－,32,69.6,1,2.2
公立,男,0,総数,令和5,2023,3月,449,362,1,79,－,－,4,－,－,…,…,…,…,3,－,－,－,－,…,…,－,362,80.6,4,0.9
公立,男,1,千代田区,令和5,2023,3月,72,52,－,20,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,52,72.2,－,－
公立,男,1,文京区,令和5,2023,3月,80,66,－,13,－,－,1,－,－,…,…,…,…,－,－,－,－,－,…,…,－,66,82.5,1,1.3
公立,男,1,目黒区,令和5,2023,3月,74,60,－,13,－,－,1,－,－,…,…,…,…,－,－,－,－,－,…,…,－,60,81.1,1,1.4
公立,男,1,八王子市,令和5,2023,3月,73,63,1,7,－,－,1,－,－,…,…,…,…,1,－,－,－,－,…,…,－,63,86.3,1,1.4
公立,男,1,立川市,令和5,2023,3月,72,62,－,8,－,－,－,－,－,…,…,…,…,2,－,－,－,－,…,…,－,62,86.1,－,－
公立,男,1,三鷹市,令和5,2023,3月,78,59,－,18,－,－,1,－,－,…,…,…,…,－,－,－,－,－,…,…,－,59,75.6,1,1.3
私立,男,0,総数,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
総数（国・公・私立）,女,0,総数,令和元,2019,3月,610,500,7,95,1,…,…,…,…,1,1,－,－,6,－,－,…,…,－,－,…,499,82,1,0.2
総数（国・公・私立）,女,0,総数,令和2,2020,3月,598,506,21,38,1,…,…,…,…,2,2,－,－,30,－,－,…,…,－,－,…,506,84.6,2,0.3
総数（国・公・私立）,女,0,総数,令和3,2021,3月,583,503,22,33,1,－,－,－,－,…,…,…,…,24,－,－,－,－,…,…,－,503,86.3,－,－
総数（国・公・私立）,女,0,総数,令和4,2022,3月,605,518,31,27,1,－,1,－,－,…,…,…,…,27,－,－,－,－,…,…,－,518,85.6,1,0.2
総数（国・公・私立）,女,0,総数,令和5,2023,3月,601,524,8,50,1,－,－,－,－,…,…,…,…,18,－,－,－,－,…,…,－,524,87.2,－,－
総数（国・公・私立）,女,0,総数,令和5,2023,3月,589,509,2,44,－,－,1,－,－,…,…,…,…,33,－,－,－,－,…,…,－,508,86.4,1,0.2
国立,女,0,総数,令和5,2023,3月,132,105,1,－,－,－,－,－,－,…,…,…,…,26,－,－,－,－,…,…,－,105,79.5,－,－
国立,女,1,中野区,令和5,2023,3月,55,47,1,－,－,－,－,－,－,…,…,…,…,7,－,－,－,－,…,…,－,47,85.5,－,－
国立,女,1,練馬区,令和5,2023,3月,77,58,－,－,－,－,－,－,－,…,…,…,…,19,－,－,－,－,…,…,－,58,75.3,－,－
公立,女,0,総数,令和5,2023,3月,457,404,1,44,－,－,1,－,－,…,…,…,…,7,－,－,－,－,…,…,－,403,88.4,1,0.2
公立,女,1,千代田区,令和5,2023,3月,75,55,－,14,－,－,－,－,－,…,…,…,…,6,－,－,－,－,…,…,－,55,73.3,－,－
公立,女,1,文京区,令和5,2023,3月,73,63,－,10,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,63,86.3,－,－
公立,女,1,目黒区,令和5,2023,3月,82,76,－,4,－,－,1,－,－,…,…,…,…,1,－,－,－,－,…,…,－,76,92.7,1,1.2
公立,女,1,八王子市,令和5,2023,3月,77,69,1,7,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,69,89.6,－,－
公立,女,1,立川市,令和5,2023,3月,73,69,－,4,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,69,94.5,－,－
公立,女,1,三鷹市,令和5,2023,3月,77,72,－,5,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,71,93.5,－,－
私立,女,0,総数,令和5,2023,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１７－２　卒業後の状況調査（中等教育学校）　後期課程の所在地、状況別卒業者数、大学等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）「就職者等」は、令和２年度からの調査項目である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）「就職者」は、令和元年度以前の調査項目である。平成31年3月以前の「就職者」は、雇用契約期間が１年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注３）平成31年3月以前の「就職者総数（再掲）」とは、卒業者のうち「就職者」及び「左記A，B，C，Dのうち就職している者(再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注４）令和2年3月以降の「就職者総数（再掲）」とは、「自営業主等」、「無期雇用労働者」、「左記A，B，C，Dのうち就職している者(再掲）」及び「左記E有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注５）「一時的な仕事に就いた者」は、令和元年度以前の調査項目であり、アルバイト・パート等臨時的な収入を得ることを目的とする仕事に就いた者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注６）「左記以外の者」とは、家事手伝いをしている者、外国の大学等に入学した者又は進路が未定であることが明らかな者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
