種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,修了者数（人）,修了者数／高等学校等進学者（Ａ）（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／全日制（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／定時制（人）,修了者数／高等学校等進学者（Ａ）／高等学校本科／通信制（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／全日制（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程本科／定時制（人）,修了者数／高等学校等進学者（Ａ）／高等学校別科（人）,修了者数／高等学校等進学者（Ａ）／中等教育学校後期課程別科（人）,修了者数／高等学校等進学者（Ａ）／高等専門学校（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部／本科（人）,修了者数／高等学校等進学者（Ａ）／特別支援学校高等部／別科（人）,修了者数／専修学校（高等課程）進学者（Ｂ）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）／専修学校（一般課程）（人）,修了者数／専修学校（一般課程）等入学者（Ｃ）／各種学校（人）,修了者数／公共職業能力開発施設等入学者（Ｄ）（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／自営業主等（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／無期雇用労働者（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／常用雇用者／有期雇用労働者（人）,修了者数／就職者等（左記Ａ～Ｄを除く（Ｅ）／臨時労働者（人）,修了者数／就職者（人）,修了者数／左記以外の者（人）,修了者数／不詳・死亡（人）,左記Ａのうち他県への進学者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
国立,女,0,総数,令和5,2023,3月,145,143,4,3,－,1,139,139,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,1,－,－,－,－,－,－,98.6,－,－
国立,女,1,中野区,令和5,2023,3月,60,60,2,1,－,1,58,58,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
国立,女,1,練馬区,令和5,2023,3月,85,83,2,2,－,－,81,81,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,2,－,－,－,－,－,－,－,－,97.6,－,－
公立,女,0,総数,令和5,2023,3月,489,488,15,3,3,9,473,473,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,6,－,－,－,－,－,－,99.8,－,－
公立,女,1,千代田区,令和5,2023,3月,79,78,4,－,2,2,74,74,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,1,－,1,－,－,－,－,－,－,98.7,－,－
公立,女,1,文京区,令和5,2023,3月,79,79,1,－,－,1,78,78,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
公立,女,1,目黒区,令和5,2023,3月,85,85,1,－,－,1,84,84,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,1,－,－,－,－,－,－,100,－,－
公立,女,1,八王子市,令和5,2023,3月,82,82,3,－,1,2,79,79,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,2,－,－,－,－,－,－,100,－,－
公立,女,1,立川市,令和5,2023,3月,82,82,3,3,－,－,79,79,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,2,－,－,－,－,－,－,100,－,－
公立,女,1,三鷹市,令和5,2023,3月,82,82,3,－,－,3,79,79,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,100,－,－
私立,女,0,総数,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,…,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１７－１　卒業後の状況調査（中等教育学校）　前期課程の所在地、状況別修了者数、高等学校等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）「就職者等」は、令和２年度からの調査項目である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２） 「就職者」は、令和元年度以前の調査項目である。平成31年3月以前の「就職者」は、雇用契約期間が１年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注３）平成31年3月以前の「就職者総数（再掲）」とは、卒業者のうち「就職者」及び「左記A，B，C，Dのうち就職している者(再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注４）令和2年3月以降の「就職者総数（再掲）」とは、「自営業主等」、「無期雇用労働者」、「左記A，B，C，Dのうち就職している者(再掲）」及び「左記E有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注５）「左記以外の者」とは、家事手伝いをしている者、外国の高等学校等に入学した者又は進路が未定であることが明らかな者である。平成31年3月以前の「左記以外の者」は、雇用契約期間が1年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
