地域階層,地域,和暦（年度）,西暦（年度）,学校数（校）,学校数／全日制（校）,学校数／定時制（校）,学校数／併置（校）,学校数／国立／全日制（校）,学校数／公立（校）,学校数／公立／全日制（校）,学校数／公立／定時制（校）,学校数／公立／併置（校）,学校数／私立（校）,学校数／私立／全日制（校）,学校数／私立／定時制（校）,学校数／私立／併置（校）,分校（再掲）（校）,分校（再掲）／全日制（校）,分校（再掲）／定時制（校）,分校（再掲）／併置（校）,分校（再掲）／国立／全日制（校）,分校（再掲）／公立（校）,分校（再掲）／公立／全日制（校）,分校（再掲）／公立／定時制（校）,分校（再掲）／公立／併置（校）,分校（再掲）／私立（校）,分校（再掲）／私立／全日制（校）,分校（再掲）／私立／定時制（校）,分校（再掲）／私立／併置（校）,中高一貫教育を行う学校（再掲）／併設型（校）,中高一貫教育を行う学校（再掲）／併設型／国立（校）,中高一貫教育を行う学校（再掲）／併設型／公立（校）,中高一貫教育を行う学校（再掲）／併設型／私立（校）,中高一貫教育を行う学校（再掲）／連携型（校）,中高一貫教育を行う学校（再掲）／連携型／国立（校）,中高一貫教育を行う学校（再掲）／連携型／公立（校）,中高一貫教育を行う学校（再掲）／連携型／私立（校）,公立の学級数／全日制（学級）,公立の学級数／定時制（学級）
2,国分寺市,令和5,2023,2,2,－,－,－,1,1,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,24,－
2,国立市,令和5,2023,4,3,－,1,－,2,1,－,1,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,42,4
2,福生市,令和5,2023,2,1,－,1,－,2,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,35,4
2,狛江市,令和5,2023,1,1,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,24,－
2,東大和市,令和5,2023,2,2,－,－,－,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,42,－
2,清瀬市,令和5,2023,2,2,－,－,－,1,1,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,21,－
2,東久留米市,令和5,2023,3,2,－,1,－,2,1,－,1,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,34,8
2,武蔵村山市,令和5,2023,3,3,－,－,－,2,2,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,37,－
2,多摩市,令和5,2023,3,3,－,－,－,1,1,－,－,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,2,1,－,1,－,23,－
2,稲城市,令和5,2023,2,2,－,－,－,1,1,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,18,－
2,羽村市,令和5,2023,1,1,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,21,－
2,あきる野市,令和5,2023,3,2,－,1,－,2,1,－,1,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,－,－,29,4
2,西東京市,令和5,2023,5,5,－,－,－,3,3,－,－,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,2,－,－,－,－,62,－
1,郡部,令和5,2023,1,－,－,1,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,15,4
2,瑞穂町,令和5,2023,1,－,－,1,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,15,4
2,日の出町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,檜原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,奥多摩町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
1,島部,令和5,2023,7,5,－,2,－,7,5,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,2,－,39,8
2,大島町,令和5,2023,2,1,－,1,－,2,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,15,4
2,利島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,新島村,令和5,2023,1,1,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,1,－,3,－
2,神津島村,令和5,2023,1,1,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－
2,三宅村,令和5,2023,1,1,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,1,－,6,－
2,御蔵島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,八丈町,令和5,2023,1,－,－,1,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,9,4
2,青ヶ島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,小笠原村,令和5,2023,1,1,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７－１　高等学校（全日制・定時制）　区市町村、設置者、課程別学校数及び公立の学級数（中高一貫校数再掲）　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）国立は全日制課程のみである。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）学級数は、ホームルームの数である（分校を含む。）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
