種別,課程,性別,就職者総数（人）,就職者総数／専門的・技術的職業従事者（人）,就職者総数／事務従事者（人）,就職者総数／販売従事者（人）,就職者総数／サービス職業従事者（人）,就職者総数／保安職業従事者（人）,就職者総数／農林漁業従事者／農林業従事者（人）,就職者総数／農林漁業従事者／漁業従事者（人）,就職者総数／生産工程従事者（人）,就職者総数／輸送・機械運転従事者（人）,就職者総数／建設・採掘従事者（人）,就職者総数／運搬・清掃等従事者（人）,就職者総数／左記以外の者（人）,就職者総数／生産工程従事者（再掲）／計（人）,就職者総数／生産工程従事者（再掲）／製造・加工従事者（人）,就職者総数／生産工程従事者（再掲）／機械組立従事者（人）,就職者総数／生産工程従事者（再掲）／機械修理従事者（人）,就職者総数／生産工程従事者（再掲）／検査従事者（人）,就職者総数／生産工程従事者（再掲）／その他（人）,就職者総数／職業安定所又は学校を通じて就職した者（再掲）（人）,就職者総数／自家・自営業に就いた者（再掲）（人）
総数（国・公・私立）,総数（全日制・定時制）のうち普通（地域社会）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち普通（その他）,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,総数（男・女）,184,12,7,43,46,4,25,－,30,1,7,3,6,30,27,－,－,3,－,31,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,男,109,7,2,15,26,4,21,－,20,1,7,3,3,20,18,－,－,2,－,19,－
総数（国・公・私立）,総数（全日制・定時制）のうち農業,女,75,5,5,28,20,－,4,－,10,－,－,－,3,10,9,－,－,1,－,12,－
総数（国・公・私立）,総数（全日制・定時制）のうち工業,総数（男・女）,1655,271,91,48,110,29,2,－,561,215,240,57,31,561,308,64,123,30,36,835,26
総数（国・公・私立）,総数（全日制・定時制）のうち工業,男,1526,244,77,43,89,28,2,－,520,206,233,53,31,520,289,54,119,25,33,783,22
総数（国・公・私立）,総数（全日制・定時制）のうち工業,女,129,27,14,5,21,1,－,－,41,9,7,4,－,41,19,10,4,5,3,52,4
総数（国・公・私立）,総数（全日制・定時制）のうち商業,総数（男・女）,460,31,230,73,59,5,－,－,20,6,3,25,8,20,14,－,2,4,－,165,7
総数（国・公・私立）,総数（全日制・定時制）のうち商業,男,137,18,46,14,16,3,－,－,11,5,3,18,3,11,7,－,2,2,－,38,3
総数（国・公・私立）,総数（全日制・定時制）のうち商業,女,323,13,184,59,43,2,－,－,9,1,－,7,5,9,7,－,－,2,－,127,4
総数（国・公・私立）,総数（全日制・定時制）のうち水産,総数（男・女）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち水産,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち水産,女,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,総数（男・女）,50,1,1,3,33,－,－,－,7,－,－,－,5,7,6,－,－,1,－,3,1
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,男,26,－,－,－,23,－,－,－,2,－,－,－,1,2,1,－,－,1,－,－,1
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,女,24,1,1,3,10,－,－,－,5,－,－,－,4,5,5,－,－,－,－,3,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,総数（男・女）,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,女,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,総数（男・女）,4,2,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,男,3,2,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,女,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,総数（男・女）,10,－,－,－,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,9,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,男,3,－,－,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,女,7,－,－,－,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7,－
総数（国・公・私立）,総数（全日制・定時制）のうちその他,総数（男・女）,95,6,19,8,14,3,－,2,18,3,9,10,3,18,10,3,2,2,1,7,1
総数（国・公・私立）,総数（全日制・定時制）のうちその他,男,56,5,5,2,8,2,－,2,11,3,9,8,1,11,6,2,2,－,1,6,1
総数（国・公・私立）,総数（全日制・定時制）のうちその他,女,39,1,14,6,6,1,－,－,7,－,－,2,2,7,4,1,－,2,－,1,－
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,総数（男・女）,159,11,19,18,41,18,2,－,25,3,1,10,11,25,19,1,3,－,2,66,4
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,男,68,5,4,4,14,10,－,－,17,3,－,8,3,17,12,－,3,－,2,30,4
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,女,91,6,15,14,27,8,2,－,8,－,1,2,8,8,7,1,－,－,－,36,－
,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,
１５－７　卒業後の状況調査（高等学校  全日制・定時制）　学科、課程、職業別就職者総数,,,,,,,,,,,,,,,,,,,,,,,
注）進学しながら就職している者及び専修学校等へ入学しながら就職している者を含む。,,,,,,,,,,,,,,,,,,,,,,,
