種別,地域階層,地域,和暦（年度）,西暦（年度）,児童数（人）,児童数／男（人）,児童数／女（人）,児童数／１学年（人）,児童数／１学年／男（人）,児童数／１学年／女（人）,児童数／２学年（人）,児童数／２学年／男（人）,児童数／２学年／女（人）,児童数／３学年（人）,児童数／３学年／男（人）,児童数／３学年／女（人）,児童数／４学年（人）,児童数／４学年／男（人）,児童数／４学年／女（人）,児童数／５学年（人）,児童数／５学年／男（人）,児童数／５学年／女（人）,児童数／６学年（人）,児童数／６学年／男（人）,児童数／６学年／女（人）
総数（国・公・私立）,2,西東京市,令和5,2023,10006,5127,4879,1677,842,835,1729,883,846,1679,859,820,1628,844,784,1592,830,762,1701,869,832
総数（国・公・私立）,1,郡部,令和5,2023,2654,1371,1283,391,210,181,438,237,201,440,219,221,453,226,227,472,230,242,460,249,211
総数（国・公・私立）,2,瑞穂町,令和5,2023,1461,736,725,225,116,109,249,136,113,238,116,122,249,123,126,254,121,133,246,124,122
総数（国・公・私立）,2,日の出町,令和5,2023,990,526,464,135,76,59,156,82,74,170,88,82,170,85,85,176,91,85,183,104,79
総数（国・公・私立）,2,檜原村,令和5,2023,60,29,31,8,3,5,14,7,7,6,1,5,11,8,3,14,7,7,7,3,4
総数（国・公・私立）,2,奥多摩町,令和5,2023,143,80,63,23,15,8,19,12,7,26,14,12,23,10,13,28,11,17,24,18,6
総数（国・公・私立）,1,島部,令和5,2023,1165,612,553,179,107,72,201,100,101,198,95,103,195,105,90,188,97,91,204,108,96
総数（国・公・私立）,2,大島町,令和5,2023,299,159,140,45,28,17,52,25,27,39,17,22,54,27,27,55,29,26,54,33,21
総数（国・公・私立）,2,利島村,令和5,2023,19,7,12,2,1,1,4,1,3,5,1,4,4,2,2,2,－,2,2,2,－
総数（国・公・私立）,2,新島村,令和5,2023,108,50,58,16,9,7,13,7,6,20,9,11,17,7,10,15,7,8,27,11,16
総数（国・公・私立）,2,神津島村,令和5,2023,124,65,59,15,9,6,18,8,10,21,8,13,26,15,11,14,8,6,30,17,13
総数（国・公・私立）,2,三宅村,令和5,2023,94,54,40,13,8,5,22,12,10,16,8,8,14,8,6,19,14,5,10,4,6
総数（国・公・私立）,2,御蔵島村,令和5,2023,27,15,12,7,2,5,3,2,1,5,3,2,4,3,1,6,4,2,2,1,1
総数（国・公・私立）,2,八丈町,令和5,2023,328,178,150,56,33,23,60,30,30,62,35,27,49,28,21,51,26,25,50,26,24
総数（国・公・私立）,2,青ヶ島村,令和5,2023,5,1,4,－,－,－,2,1,1,1,－,1,－,－,－,1,－,1,1,－,1
総数（国・公・私立）,2,小笠原村,令和5,2023,161,83,78,25,17,8,27,14,13,29,14,15,27,15,12,25,9,16,28,14,14
公立,0,総数,平成30,2018,580786,299947,280839,97389,50265,47124,98008,50736,47272,97649,50362,47287,96947,49982,46965,96354,49753,46601,94439,48849,45590
公立,0,総数,令和元,2019,586114,302538,283576,98565,50706,47859,97350,50249,47101,98247,50858,47389,97904,50553,47351,97259,50189,47070,96789,49983,46806
公立,0,総数,令和2,2020,590289,304521,285768,99948,51357,48591,98542,50671,47871,97505,50371,47134,98477,51009,47468,98198,50730,47468,97619,50383,47236
公立,0,総数,令和3,2021,593598,305952,287646,101416,51986,49430,99603,51180,48423,98323,50521,47802,97472,50397,47075,98471,51034,47437,98313,50834,47479
公立,0,総数,令和4,2022,595096,306433,288663,100841,51687,49154,101081,51800,49281,99282,51099,48183,98072,50408,47664,97299,50361,46938,98521,51078,47443
公立,0,総数,令和5,2023,594260,305289,288971,98163,50229,47934,100608,51571,49037,100890,51686,49204,99158,50978,48180,97971,50398,47573,97470,50427,47043
公立,1,区部,令和5,2023,391025,201150,189875,65242,33363,31879,66585,34188,32397,66729,34331,32398,65237,33523,31714,63961,32935,31026,63271,32810,30461
公立,2,千代田区,令和5,2023,3301,1761,1540,579,293,286,532,280,252,600,342,258,544,306,238,561,284,277,485,256,229
公立,2,中央区,令和5,2023,8796,4511,4285,1568,792,776,1589,840,749,1590,827,763,1428,734,694,1343,656,687,1278,662,616
公立,2,港区,令和5,2023,10773,5682,5091,1956,1011,945,1881,1038,843,1871,958,913,1723,908,815,1703,887,816,1639,880,759
公立,2,新宿区,令和5,2023,10019,5145,4874,1710,844,866,1755,913,842,1701,916,785,1646,855,791,1660,859,801,1547,758,789
公立,2,文京区,令和5,2023,10980,5778,5202,2005,1101,904,1906,967,939,1931,1048,883,1807,950,857,1718,860,858,1613,852,761
公立,2,台東区,令和5,2023,7078,3511,3567,1130,535,595,1204,580,624,1203,611,592,1193,602,591,1207,612,595,1141,571,570
公立,2,墨田区,令和5,2023,10404,5271,5133,1787,879,908,1820,904,916,1723,884,839,1722,853,869,1708,884,824,1644,867,777
公立,2,江東区,令和5,2023,24665,12700,11965,4193,2191,2002,4150,2128,2022,4213,2111,2102,4078,2104,1974,4017,2074,1943,4014,2092,1922
公立,2,品川区,令和5,2023,14178,7251,6927,2440,1227,1213,2553,1289,1264,2400,1241,1159,2407,1250,1157,2243,1142,1101,2135,1102,1033
公立,2,目黒区,令和5,2023,10181,5423,4758,1693,903,790,1694,925,769,1819,947,872,1715,885,830,1634,867,767,1626,896,730
公立,2,大田区,令和5,2023,29497,15076,14421,4816,2525,2291,4952,2482,2470,5110,2607,2503,4940,2465,2475,4762,2447,2315,4917,2550,2367
公立,2,世田谷区,令和5,2023,38302,20094,18208,6224,3252,2972,6530,3404,3126,6573,3455,3118,6384,3343,3041,6227,3259,2968,6364,3381,2983
公立,2,渋谷区,令和5,2023,7488,3874,3614,1344,664,680,1364,701,663,1272,663,609,1253,671,582,1124,577,547,1131,598,533
公立,2,中野区,令和5,2023,10882,5618,5264,1871,960,911,1896,979,917,1881,952,929,1760,931,829,1801,932,869,1673,864,809
公立,2,杉並区,令和5,2023,22321,11508,10813,3777,1913,1864,3893,1984,1909,3816,1977,1839,3672,1926,1746,3578,1868,1710,3585,1840,1745
公立,2,豊島区,令和5,2023,9262,4731,4531,1566,798,768,1612,806,806,1593,838,755,1541,787,754,1495,764,731,1455,738,717
公立,2,北区,令和5,2023,13981,7102,6879,2427,1194,1233,2476,1293,1183,2376,1164,1212,2322,1178,1144,2232,1158,1074,2148,1115,1033
公立,2,荒川区,令和5,2023,9072,4597,4475,1482,749,733,1565,797,768,1528,798,730,1560,778,782,1403,700,703,1534,775,759
公立,2,板橋区,令和5,2023,23627,12171,11456,3860,1940,1920,3988,2065,1923,3965,2074,1891,4008,2017,1991,3938,2047,1891,3868,2028,1840
公立,2,練馬区,令和5,2023,33503,17192,16311,5595,2871,2724,5597,2873,2724,5753,2916,2837,5629,2851,2778,5532,2877,2655,5397,2804,2593
公立,2,足立区,令和5,2023,29727,15106,14621,4610,2307,2303,4878,2494,2384,4964,2513,2451,4956,2575,2381,5121,2590,2531,5198,2627,2571
公立,2,葛飾区,令和5,2023,20351,10451,9900,3296,1708,1588,3422,1748,1674,3426,1728,1698,3437,1767,1670,3377,1749,1628,3393,1751,1642
公立,2,江戸川区,令和5,2023,32637,16597,16040,5313,2706,2607,5328,2698,2630,5421,2761,2660,5512,2787,2725,5577,2842,2735,5486,2803,2683
公立,1,市部,令和5,2023,199416,102156,97260,32351,16549,15802,33384,17046,16338,33523,17041,16482,33273,17124,16149,33350,17136,16214,33535,17260,16275
公立,2,八王子市,令和5,2023,24288,12513,11775,3725,1944,1781,3955,2006,1949,3983,2056,1927,4028,2062,1966,4304,2209,2095,4293,2236,2057
公立,2,立川市,令和5,2023,8725,4455,4270,1475,726,749,1502,765,737,1444,752,692,1448,720,728,1430,762,668,1426,730,696
公立,2,武蔵野市,令和5,2023,6526,3379,3147,1084,576,508,1141,580,561,1122,581,541,1084,543,541,1054,565,489,1041,534,507
公立,2,三鷹市,令和5,2023,9478,4886,4592,1568,812,756,1567,804,763,1652,852,800,1597,829,768,1501,759,742,1593,830,763
公立,2,青梅市,令和5,2023,5367,2773,2594,864,449,415,828,430,398,908,443,465,876,467,409,942,490,452,949,494,455
公立,2,府中市,令和5,2023,13227,6735,6492,2059,1043,1016,2236,1170,1066,2250,1116,1134,2245,1165,1080,2230,1118,1112,2207,1123,1084
公立,2,昭島市,令和5,2023,5649,2808,2841,921,450,471,947,473,474,942,457,485,936,491,445,975,485,490,928,452,476
公立,2,調布市,令和5,2023,11579,5891,5688,1958,1037,921,1918,957,961,2034,1016,1018,1929,969,960,1879,965,914,1861,947,914
公立,2,町田市,令和5,2023,20484,10558,9926,3184,1593,1591,3435,1755,1680,3389,1760,1629,3408,1767,1641,3532,1836,1696,3536,1847,1689
公立,2,小金井市,令和5,2023,6132,3175,2957,1061,540,521,1082,568,514,1049,569,480,1011,515,496,1005,543,462,924,440,484
公立,2,小平市,令和5,2023,10360,5378,4982,1733,914,819,1732,921,811,1751,915,836,1709,872,837,1721,859,862,1714,897,817
公立,2,日野市,令和5,2023,9376,4780,4596,1559,804,755,1597,839,758,1560,765,795,1573,786,787,1549,800,749,1538,786,752
公立,2,東村山市,令和5,2023,6941,3531,3410,1081,543,538,1173,587,586,1158,577,581,1105,581,524,1168,584,584,1256,659,597
公立,2,国分寺市,令和5,2023,6157,3208,2949,1094,572,522,1084,547,537,1018,527,491,1013,523,490,976,515,461,972,524,448
公立,2,国立市,令和5,2023,3302,1732,1570,544,279,265,544,296,248,586,313,273,543,284,259,554,293,261,531,267,264
公立,2,福生市,令和5,2023,2220,1112,1108,346,171,175,389,195,194,366,172,194,382,198,184,347,176,171,390,200,190
公立,2,狛江市,令和5,2023,3924,2021,1903,701,374,327,633,339,294,675,335,340,661,333,328,619,324,295,635,316,319
公立,2,東大和市,令和5,2023,4262,2128,2134,661,305,356,727,359,368,703,342,361,709,372,337,742,391,351,720,359,361
公立,2,清瀬市,令和5,2023,3554,1777,1777,590,287,303,608,315,293,558,281,277,621,313,308,580,287,293,597,294,303
公立,2,東久留米市,令和5,2023,5699,2867,2832,938,485,453,975,486,489,974,486,488,976,498,478,958,470,488,878,442,436
公立,2,武蔵村山市,令和5,2023,3760,1903,1857,597,300,297,605,296,309,610,290,320,650,357,293,619,312,307,679,348,331
公立,2,多摩市,令和5,2023,6609,3371,3238,1041,520,521,1025,513,512,1139,571,568,1170,605,565,1098,576,522,1136,586,550
公立,2,稲城市,令和5,2023,5391,2782,2609,897,478,419,953,467,486,919,476,443,879,450,429,893,457,436,850,454,396
公立,2,羽村市,令和5,2023,2583,1343,1240,405,205,200,410,228,182,407,218,189,437,232,205,447,220,227,477,240,237
公立,2,あきる野市,令和5,2023,3817,1923,1894,588,300,288,589,267,322,647,312,335,655,348,307,635,310,325,703,386,317
公立,2,西東京市,令和5,2023,10006,5127,4879,1677,842,835,1729,883,846,1679,859,820,1628,844,784,1592,830,762,1701,869,832
公立,1,郡部,令和5,2023,2654,1371,1283,391,210,181,438,237,201,440,219,221,453,226,227,472,230,242,460,249,211
公立,2,瑞穂町,令和5,2023,1461,736,725,225,116,109,249,136,113,238,116,122,249,123,126,254,121,133,246,124,122
公立,2,日の出町,令和5,2023,990,526,464,135,76,59,156,82,74,170,88,82,170,85,85,176,91,85,183,104,79
公立,2,檜原村,令和5,2023,60,29,31,8,3,5,14,7,7,6,1,5,11,8,3,14,7,7,7,3,4
公立,2,奥多摩町,令和5,2023,143,80,63,23,15,8,19,12,7,26,14,12,23,10,13,28,11,17,24,18,6
公立,1,島部,令和5,2023,1165,612,553,179,107,72,201,100,101,198,95,103,195,105,90,188,97,91,204,108,96
公立,2,大島町,令和5,2023,299,159,140,45,28,17,52,25,27,39,17,22,54,27,27,55,29,26,54,33,21
公立,2,利島村,令和5,2023,19,7,12,2,1,1,4,1,3,5,1,4,4,2,2,2,－,2,2,2,－
公立,2,新島村,令和5,2023,108,50,58,16,9,7,13,7,6,20,9,11,17,7,10,15,7,8,27,11,16
公立,2,神津島村,令和5,2023,124,65,59,15,9,6,18,8,10,21,8,13,26,15,11,14,8,6,30,17,13
公立,2,三宅村,令和5,2023,94,54,40,13,8,5,22,12,10,16,8,8,14,8,6,19,14,5,10,4,6
公立,2,御蔵島村,令和5,2023,27,15,12,7,2,5,3,2,1,5,3,2,4,3,1,6,4,2,2,1,1
公立,2,八丈町,令和5,2023,328,178,150,56,33,23,60,30,30,62,35,27,49,28,21,51,26,25,50,26,24
公立,2,青ヶ島村,令和5,2023,5,1,4,－,－,－,2,1,1,1,－,1,－,－,－,1,－,1,1,－,1
公立,2,小笠原村,令和5,2023,161,83,78,25,17,8,27,14,13,29,14,15,27,15,12,25,9,16,28,14,14
私立,0,総数,平成30,2018,25092,10457,14635,4203,1784,2419,4196,1746,2450,4162,1696,2466,4144,1730,2414,4161,1766,2395,4226,1735,2491
私立,0,総数,令和元,2019,25149,10501,14648,4263,1809,2454,4200,1781,2419,4195,1739,2456,4146,1684,2462,4189,1727,2462,4156,1761,2395
私立,0,総数,令和2,2020,25385,10533,14852,4303,1791,2512,4280,1813,2467,4204,1778,2426,4197,1724,2473,4190,1685,2505,4211,1742,2469
私立,0,総数,令和3,2021,25607,10683,14924,4378,1863,2515,4302,1799,2503,4265,1805,2460,4223,1791,2432,4248,1738,2510,4191,1687,2504
私立,0,総数,令和4,2022,25730,10792,14938,4347,1840,2507,4353,1850,2503,4290,1786,2504,4263,1806,2457,4232,1781,2451,4245,1729,2516
私立,0,総数,令和5,2023,25778,10807,14971,4321,1795,2526,4346,1833,2513,4338,1839,2499,4278,1773,2505,4287,1803,2484,4208,1764,2444
私立,1,区部,令和5,2023,17285,6409,10876,2890,1050,1840,2894,1079,1815,2925,1105,1820,2875,1060,1815,2893,1084,1809,2808,1031,1777
私立,2,千代田区,令和5,2023,1904,708,1196,312,120,192,322,120,202,318,117,201,319,118,201,318,118,200,315,115,200
私立,2,中央区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,港区,令和5,2023,1105,－,1105,176,－,176,178,－,178,177,－,177,172,－,172,202,－,202,200,－,200
私立,2,新宿区,令和5,2023,786,393,393,136,68,68,134,67,67,129,67,62,129,63,66,132,65,67,126,63,63
私立,2,文京区,令和5,2023,676,－,676,113,－,113,114,－,114,113,－,113,113,－,113,111,－,111,112,－,112
私立,2,台東区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,墨田区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,江東区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,品川区,令和5,2023,281,169,112,40,20,20,38,21,17,79,47,32,41,27,14,45,30,15,38,24,14
私立,2,目黒区,令和5,2023,910,463,447,149,72,77,154,77,77,166,85,81,141,72,69,156,86,70,144,71,73
私立,2,大田区,令和5,2023,700,401,299,104,49,55,123,71,52,115,69,46,121,73,48,116,69,47,121,70,51
私立,2,世田谷区,令和5,2023,4058,1301,2757,686,226,460,687,224,463,700,232,468,697,216,481,685,224,461,603,179,424
私立,2,渋谷区,令和5,2023,2079,943,1136,352,160,192,351,160,191,346,157,189,345,156,189,343,157,186,342,153,189
私立,2,中野区,令和5,2023,811,424,387,142,74,68,140,78,62,134,65,69,131,73,58,132,68,64,132,66,66
私立,2,杉並区,令和5,2023,916,－,916,154,－,154,154,－,154,153,－,153,152,－,152,153,－,153,150,－,150
私立,2,豊島区,令和5,2023,1198,719,479,216,120,96,211,120,91,187,120,67,187,119,68,196,120,76,201,120,81
私立,2,北区,令和5,2023,1010,469,541,181,94,87,161,78,83,167,80,87,183,73,110,157,65,92,161,79,82
私立,2,荒川区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,板橋区,令和5,2023,675,329,346,111,38,73,106,52,54,113,56,57,113,53,60,112,61,51,120,69,51
私立,2,練馬区,令和5,2023,130,61,69,18,9,9,21,11,10,22,8,14,20,11,9,23,11,12,26,11,15
私立,2,足立区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,葛飾区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,江戸川区,令和5,2023,46,29,17,－,－,－,－,－,－,6,2,4,11,6,5,12,10,2,17,11,6
私立,1,市部,令和5,2023,8493,4398,4095,1431,745,686,1452,754,698,1413,734,679,1403,713,690,1394,719,675,1400,733,667
私立,2,八王子市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,立川市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,武蔵野市,令和5,2023,1647,921,726,268,146,122,274,154,120,268,157,111,275,155,120,279,149,130,283,160,123
私立,2,三鷹市,令和5,2023,401,180,221,69,35,34,70,37,33,70,27,43,68,30,38,61,30,31,63,21,42
私立,2,青梅市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,府中市,令和5,2023,785,420,365,139,69,70,140,83,57,122,72,50,131,58,73,130,68,62,123,70,53
私立,2,昭島市,令和5,2023,230,112,118,40,18,22,42,25,17,36,13,23,35,16,19,36,18,18,41,22,19
私立,2,調布市,令和5,2023,908,331,577,152,57,95,152,55,97,151,50,101,151,58,93,151,55,96,151,56,95
私立,2,町田市,令和5,2023,1208,634,574,205,108,97,206,108,98,202,108,94,199,104,95,200,100,100,196,106,90
私立,2,小金井市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,小平市,令和5,2023,660,335,325,110,56,54,110,56,54,110,57,53,107,54,53,113,57,56,110,55,55
私立,2,日野市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,東村山市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,国分寺市,令和5,2023,645,410,235,108,70,38,106,67,39,108,69,39,103,63,40,108,72,36,112,69,43
私立,2,国立市,令和5,2023,1275,651,624,232,122,110,226,112,114,214,108,106,203,102,101,198,104,94,202,103,99
私立,2,福生市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
