種別,課程,性別,就職者総数（人）,就職者総数／第１次産業／農業，林業（人）,就職者総数／第１次産業／漁業（人）,就職者総数／第２次産業／鉱業，採石業，砂利採取業（人）,就職者総数／第２次産業／建設業（人）,就職者総数／第２次産業／製造業（人）,就職者総数／第３次産業／電気・ガス・熱供給・水道業（人）,就職者総数／第３次産業／情報通信業（人）,就職者総数／第３次産業／運輸業，郵便業（人）,就職者総数／第３次産業／卸売業，小売業（人）,就職者総数／第３次産業／金融業，保険業（人）,就職者総数／第３次産業／不動産業，物品賃貸業（人）,就職者総数／第３次産業／学術研究，専門・技術サービス業（人）,就職者総数／第３次産業／宿泊業，飲食サービス業（人）,就職者総数／第３次産業／生活関連サービス業，娯楽業（人）,就職者総数／第３次産業／教育，学習支援業（人）,就職者総数／第３次産業／医療，福祉（人）,就職者総数／第３次産業／複合サービス事業（人）,就職者総数／第３次産業／サービス業（他に分類されないもの）（人）,就職者総数／第３次産業／公務（他に分類されるものを除く）（人）,就職者総数／左記以外のもの（人）
総数（国・公・私立）,総数（全日制・定時制）のうち家庭,女,24,－,－,－,－,5,－,－,1,3,－,－,－,8,1,1,1,－,－,－,4
総数（国・公・私立）,総数（全日制・定時制）のうち看護,総数（男・女）,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,男,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち看護,女,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,総数（男・女）,4,－,－,－,－,－,－,2,－,－,－,－,－,－,1,－,－,－,－,1,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,男,3,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,1,－
総数（国・公・私立）,総数（全日制・定時制）のうち情報,女,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,総数（男・女）,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,10,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,男,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうち福祉,女,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7,－,－,－,－
総数（国・公・私立）,総数（全日制・定時制）のうちその他,総数（男・女）,95,－,2,－,12,22,－,1,14,13,2,1,－,6,4,－,1,7,2,7,1
総数（国・公・私立）,総数（全日制・定時制）のうちその他,男,56,－,2,－,12,10,－,1,9,6,1,－,－,3,4,－,－,2,2,3,1
総数（国・公・私立）,総数（全日制・定時制）のうちその他,女,39,－,－,－,－,12,－,－,5,7,1,1,－,3,－,－,1,5,－,4,－
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,総数（男・女）,159,2,－,－,7,23,1,2,20,14,2,－,1,10,9,1,23,4,14,22,4
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,男,68,－,－,－,4,12,1,1,13,5,－,－,1,3,5,－,4,3,6,10,－
総数（国・公・私立）,総数（全日制・定時制）のうち総合学科,女,91,2,－,－,3,11,－,1,7,9,2,－,－,7,4,1,19,1,8,12,4
,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,
１５－９　卒業後の状況調査（高等学校  全日制・定時制）　学科、課程、産業別就職者総数,,,,,,,,,,,,,,,,,,,,,,,
注）進学しながら就職している者及び専修学校等へ入学しながら就職している者を含む。,,,,,,,,,,,,,,,,,,,,,,,
