種別,性別,課程,区分,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（Ｄ）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,"左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）","左記Ａ,Ｂ,Ｃ,Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）",左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,男,総数（全日制・定時制）,情報,39,15,－,4,－,－,3,－,－,17,－,－,－,－,－,14,38.5,3,7.7
総数（国・公・私立）,男,総数（全日制・定時制）,福祉,4,－,1,－,－,－,3,－,－,－,－,－,－,－,－,－,－,3,75
総数（国・公・私立）,男,総数（全日制・定時制）,その他,563,313,87,8,10,1,55,4,－,85,－,－,－,－,－,313,55.6,56,9.9
総数（国・公・私立）,男,総数（全日制・定時制）,総合学科,1151,571,295,7,24,4,57,12,9,172,－,－,－,－,7,568,49.6,68,5.9
総数（国・公・私立）,男,全日制,総数,46081,33219,3570,2663,116,78,2359,145,18,3911,2,6,6,－,108,33200,72.1,2551,5.5
総数（国・公・私立）,男,全日制,普通（普通）,40722,31231,2628,2542,60,31,707,39,17,3465,2,6,6,－,10,31216,76.7,754,1.9
総数（国・公・私立）,男,全日制,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,農業,266,86,69,－,7,－,82,－,－,22,－,－,－,－,－,84,32.3,82,30.8
総数（国・公・私立）,男,全日制,工業,2985,780,457,69,29,38,1344,95,1,172,－,－,－,－,94,780,26.1,1476,49.4
総数（国・公・私立）,男,全日制,商業,746,364,148,36,6,3,124,9,－,56,－,－,－,－,2,363,48.8,129,17.3
総数（国・公・私立）,男,全日制,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,家庭,47,10,5,1,1,1,23,2,－,4,－,－,－,－,2,10,21.3,26,55.3
総数（国・公・私立）,男,全日制,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,全日制,福祉,4,－,1,－,－,－,3,－,－,－,－,－,－,－,－,－,－,3,75
総数（国・公・私立）,男,全日制,その他,547,313,83,8,9,1,49,－,－,84,－,－,－,－,－,313,57.2,50,9.1
総数（国・公・私立）,男,全日制,総合学科,764,435,179,7,4,4,27,－,－,108,－,－,－,－,－,434,56.9,31,4.1
総数（国・公・私立）,男,定時制,総数,1603,524,340,31,51,15,320,44,28,250,－,－,－,－,18,514,32.7,353,22
総数（国・公・私立）,男,定時制,普通（普通）,1008,353,196,26,26,9,202,23,19,154,－,－,－,－,11,348,35,222,22
総数（国・公・私立）,男,定時制,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,農業,52,4,10,－,－,1,26,5,－,6,－,－,－,－,－,4,7.7,27,51.9
総数（国・公・私立）,男,定時制,工業,92,16,14,－,4,4,46,－,－,8,－,－,－,－,－,14,17.4,50,54.3
総数（国・公・私立）,男,定時制,商業,9,－,－,1,－,1,7,－,－,－,－,－,－,－,－,－,－,8,88.9
総数（国・公・私立）,男,定時制,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,情報,39,15,－,4,－,－,3,－,－,17,－,－,－,－,－,14,38.5,3,7.7
総数（国・公・私立）,男,定時制,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,男,定時制,その他,16,－,4,－,1,－,6,4,－,1,－,－,－,－,－,－,－,6,37.5
総数（国・公・私立）,男,定時制,総合学科,387,136,116,－,20,－,30,12,9,64,－,－,－,－,7,134,35.1,37,9.6
総数（国・公・私立）,女,総数（全日制・定時制）,総数,49128,36720,6191,1747,60,24,1467,139,70,2707,3,1,1,－,43,36675,74.7,1535,3.1
総数（国・公・私立）,女,総数（全日制・定時制）,普通（普通）,43688,34091,4798,1580,40,12,819,76,55,2214,3,1,1,－,13,34059,78,845,1.9
総数（国・公・私立）,女,総数（全日制・定時制）,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,農業,345,114,126,3,3,－,75,5,1,18,－,－,－,－,－,114,33,75,21.7
総数（国・公・私立）,女,総数（全日制・定時制）,工業,501,208,92,15,8,5,110,14,4,45,－,－,－,－,14,206,41.5,129,25.7
総数（国・公・私立）,女,総数（全日制・定時制）,商業,1242,406,356,61,－,6,314,15,－,84,－,－,－,－,3,405,32.7,323,26
総数（国・公・私立）,女,総数（全日制・定時制）,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,総数（全日制・定時制）,家庭,234,97,102,1,1,－,19,9,－,5,－,－,－,－,5,97,41.5,24,10.3
総数（国・公・私立）,女,総数（全日制・定時制）,看護,41,39,1,－,－,－,1,－,－,－,－,－,－,－,－,39,95.1,1,2.4
総数（国・公・私立）,女,総数（全日制・定時制）,情報,19,8,－,3,－,－,1,－,－,7,－,－,－,－,－,8,42.1,1,5.3
総数（国・公・私立）,女,総数（全日制・定時制）,福祉,10,2,1,－,－,－,7,－,－,－,－,－,－,－,－,2,20,7,70
総数（国・公・私立）,女,総数（全日制・定時制）,その他,1184,809,133,26,3,－,39,3,－,171,－,－,－,－,－,805,68.3,39,3.3
総数（国・公・私立）,女,総数（全日制・定時制）,総合学科,1864,946,582,58,5,1,82,17,10,163,－,－,－,－,8,940,50.8,91,4.9
総数（国・公・私立）,女,全日制,総数,47935,36328,5927,1721,31,22,1265,104,41,2495,1,1,1,－,36,36291,75.8,1324,2.8
総数（国・公・私立）,女,全日制,普通（普通）,43018,33874,4674,1560,22,11,677,60,39,2100,1,1,1,－,13,33844,78.7,702,1.6
総数（国・公・私立）,女,全日制,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,農業,322,108,125,3,1,－,67,2,－,16,－,－,－,－,－,108,33.5,67,20.8
総数（国・公・私立）,女,全日制,工業,460,198,80,15,6,5,98,14,1,43,－,－,－,－,14,196,43,117,25.4
総数（国・公・私立）,女,全日制,商業,1228,406,354,60,－,5,306,14,－,83,－,－,－,－,3,405,33.1,314,25.6
総数（国・公・私立）,女,全日制,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,家庭,234,97,102,1,1,－,19,9,－,5,－,－,－,－,5,97,41.5,24,10.3
総数（国・公・私立）,女,全日制,看護,41,39,1,－,－,－,1,－,－,－,－,－,－,－,－,39,95.1,1,2.4
総数（国・公・私立）,女,全日制,情報,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,全日制,福祉,10,2,1,－,－,－,7,－,－,－,－,－,－,－,－,2,20,7,70
総数（国・公・私立）,女,全日制,その他,1174,809,130,26,1,－,38,2,－,168,－,－,－,－,－,805,68.9,38,3.2
総数（国・公・私立）,女,全日制,総合学科,1448,795,460,56,－,1,52,3,1,80,－,－,－,－,1,795,54.9,54,3.7
総数（国・公・私立）,女,定時制,総数,1193,392,264,26,29,2,202,35,29,212,2,－,－,－,7,384,32.9,211,17.7
総数（国・公・私立）,女,定時制,普通（普通）,670,217,124,20,18,1,142,16,16,114,2,－,－,－,－,215,32.4,143,21.3
総数（国・公・私立）,女,定時制,普通（学際領域）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,普通（地域社会）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,普通（その他）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,農業,23,6,1,－,2,－,8,3,1,2,－,－,－,－,－,6,26.1,8,34.8
総数（国・公・私立）,女,定時制,工業,41,10,12,－,2,－,12,－,3,2,－,－,－,－,－,10,24.4,12,29.3
総数（国・公・私立）,女,定時制,商業,14,－,2,1,－,1,8,1,－,1,－,－,－,－,－,－,－,9,64.3
総数（国・公・私立）,女,定時制,水産,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,家庭,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,看護,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,情報,19,8,－,3,－,－,1,－,－,7,－,－,－,－,－,8,42.1,1,5.3
総数（国・公・私立）,女,定時制,福祉,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,定時制,その他,10,－,3,－,2,－,1,1,－,3,－,－,－,－,－,－,－,1,10
総数（国・公・私立）,女,定時制,総合学科,416,151,122,2,5,－,30,14,9,83,－,－,－,－,7,145,36.3,37,8.9
,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,
１５－４　卒業後の状況調査（高等学校  全日制・定時制）　学科、状況別卒業者数、大学等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,
