種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／園長／男（人）,教員数（本務者）／園長／女（人）,教員数（本務者）／副園長／男（人）,教員数（本務者）／副園長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）,教育補助員数／本務者（人）,教育補助員数／本務者／男（人）,教育補助員数／本務者／女（人）,教育補助員数／兼務者／男（人）,教育補助員数／兼務者／女（人）,職員数（本務者）（人）,職員数（本務者）／男（人）,職員数（本務者）／女（人）
総数（国・公・私立）,2,新宿区,令和5,2023,133,7,126,3,6,3,4,－,1,－,6,－,3,1,106,－,－,－,－,－,－,－,－,－,－,19,38,5,－,5,－,19,14,5,9
総数（国・公・私立）,2,文京区,令和5,2023,233,11,222,6,16,1,9,－,9,－,1,－,－,4,186,－,－,－,1,－,－,－,－,－,－,5,35,7,3,4,3,98,21,7,14
総数（国・公・私立）,2,台東区,令和5,2023,130,2,128,2,12,－,5,－,－,－,4,－,1,－,106,－,－,－,－,－,－,－,－,－,－,5,22,6,1,5,－,4,21,6,15
総数（国・公・私立）,2,墨田区,令和5,2023,116,5,111,3,8,－,4,－,3,－,3,－,－,－,90,－,－,－,－,－,－,－,－,2,3,8,20,－,－,－,－,6,14,9,5
総数（国・公・私立）,2,江東区,令和5,2023,255,17,238,8,14,3,13,－,－,1,6,－,2,5,203,－,－,－,－,－,－,－,－,－,－,7,12,5,1,4,3,14,46,16,30
総数（国・公・私立）,2,品川区,令和5,2023,221,16,205,8,10,3,13,－,1,－,5,－,1,5,164,－,－,－,1,－,－,－,－,－,10,13,23,8,1,7,2,40,34,12,22
総数（国・公・私立）,2,目黒区,令和5,2023,209,8,201,4,13,2,9,－,1,－,10,－,2,2,166,－,－,－,－,－,－,－,－,－,－,13,48,1,－,1,－,48,20,7,13
総数（国・公・私立）,2,大田区,令和5,2023,547,33,514,21,24,3,15,－,9,2,27,3,12,3,423,－,－,－,－,－,－,－,1,1,3,17,89,46,4,42,6,100,120,58,62
総数（国・公・私立）,2,世田谷区,令和5,2023,622,35,587,22,27,4,20,－,10,1,8,－,8,7,502,－,－,－,－,－,－,－,－,1,12,13,115,28,3,25,7,67,101,41,60
総数（国・公・私立）,2,渋谷区,令和5,2023,138,9,129,5,8,1,7,－,4,－,11,－,8,3,91,－,－,－,－,－,－,－,－,－,－,5,32,1,－,1,－,17,17,2,15
総数（国・公・私立）,2,中野区,令和5,2023,223,13,210,8,10,1,14,1,7,－,8,－,－,3,167,－,1,－,2,－,－,－,－,－,1,6,24,9,1,8,1,72,49,11,38
総数（国・公・私立）,2,杉並区,令和5,2023,381,17,364,10,28,3,11,－,4,－,6,－,8,4,306,－,－,－,－,－,－,－,－,－,1,12,79,23,2,21,4,180,52,17,35
総数（国・公・私立）,2,豊島区,令和5,2023,132,4,128,3,12,－,7,－,－,－,4,－,1,1,103,－,1,－,－,－,－,－,－,－,－,7,39,7,1,6,1,29,17,4,13
総数（国・公・私立）,2,北区,令和5,2023,294,21,273,9,13,2,5,1,6,1,8,－,4,8,236,－,－,－,－,－,－,－,1,－,－,9,37,14,5,9,5,29,62,37,25
総数（国・公・私立）,2,荒川区,令和5,2023,79,5,74,2,3,1,2,1,1,－,1,－,－,1,67,－,－,－,－,－,－,－,－,－,－,7,16,11,2,9,－,74,8,5,3
総数（国・公・私立）,2,板橋区,令和5,2023,423,30,393,13,14,4,15,1,6,2,15,1,4,9,332,－,－,－,－,－,－,－,－,－,7,11,83,9,1,8,3,58,62,30,32
総数（国・公・私立）,2,練馬区,令和5,2023,627,45,582,18,20,9,17,－,4,2,21,－,16,9,500,－,－,－,1,－,－,－,－,7,3,19,104,26,2,24,4,141,118,67,51
総数（国・公・私立）,2,足立区,令和5,2023,565,52,513,28,21,9,27,－,3,2,14,1,9,12,439,－,－,－,－,－,－,－,－,－,－,28,48,39,4,35,3,36,125,70,55
総数（国・公・私立）,2,葛飾区,令和5,2023,326,20,306,12,15,2,13,2,2,1,18,－,5,3,250,－,1,－,－,－,－,－,－,－,2,3,22,9,－,9,4,33,75,32,43
総数（国・公・私立）,2,江戸川区,令和5,2023,572,47,525,17,19,1,22,－,1,1,13,－,10,27,460,－,－,－,－,－,－,－,－,1,－,10,75,19,7,12,10,50,142,83,59
総数（国・公・私立）,1,市部,令和5,2023,3581,263,3318,126,118,42,135,3,31,8,161,2,105,78,2744,－,－,－,8,－,－,－,1,4,15,118,932,127,10,117,55,671,751,406,345
総数（国・公・私立）,2,八王子市,令和5,2023,397,24,373,10,16,3,12,－,7,－,32,－,7,10,299,－,－,－,－,－,－,－,－,1,－,9,109,6,－,6,－,57,103,59,44
総数（国・公・私立）,2,立川市,令和5,2023,167,16,151,6,6,2,6,－,－,－,5,－,3,8,130,－,－,－,－,－,－,－,－,－,1,5,31,5,1,4,1,12,40,20,20
総数（国・公・私立）,2,武蔵野市,令和5,2023,143,9,134,5,4,－,5,1,5,1,1,－,－,2,116,－,－,－,3,－,－,－,－,－,－,8,30,－,－,－,5,60,40,20,20
総数（国・公・私立）,2,三鷹市,令和5,2023,199,11,188,6,9,3,8,－,1,－,8,－,5,1,155,－,－,－,－,－,－,－,－,1,2,4,43,2,－,2,－,51,35,21,14
総数（国・公・私立）,2,青梅市,令和5,2023,46,5,41,5,1,－,4,－,1,－,4,－,7,－,24,－,－,－,－,－,－,－,－,－,－,3,22,－,－,－,1,21,9,5,4
総数（国・公・私立）,2,府中市,令和5,2023,221,16,205,7,9,2,11,－,3,－,6,－,3,7,173,－,－,－,－,－,－,－,－,－,－,9,44,12,1,11,10,41,48,27,21
総数（国・公・私立）,2,昭島市,令和5,2023,63,4,59,2,4,－,4,－,－,－,1,1,－,1,48,－,－,－,－,－,－,－,－,－,2,4,20,－,－,－,－,1,20,11,9
総数（国・公・私立）,2,調布市,令和5,2023,173,10,163,4,8,－,4,－,1,－,4,－,－,6,144,－,－,－,1,－,－,－,－,－,1,3,30,14,－,14,2,23,25,7,18
総数（国・公・私立）,2,町田市,令和5,2023,497,41,456,16,13,5,19,2,2,1,26,1,11,16,383,－,－,－,1,－,－,－,－,－,1,31,203,16,4,12,10,69,82,41,41
総数（国・公・私立）,2,小金井市,令和5,2023,79,7,72,3,3,2,2,－,1,－,3,－,1,2,60,－,－,－,2,－,－,－,－,－,－,3,29,－,－,－,1,21,9,7,2
総数（国・公・私立）,2,小平市,令和5,2023,216,16,200,9,4,3,8,－,－,1,6,－,8,3,174,－,－,－,－,－,－,－,－,－,－,8,40,5,1,4,－,97,42,24,18
総数（国・公・私立）,2,日野市,令和5,2023,150,16,134,5,8,4,3,－,1,－,10,－,4,7,108,－,－,－,－,－,－,－,－,－,－,1,44,2,－,2,－,50,25,10,15
総数（国・公・私立）,2,東村山市,令和5,2023,136,10,126,3,4,4,2,－,1,2,11,－,4,1,103,－,－,－,－,－,－,－,－,－,1,6,60,2,－,2,7,20,26,14,12
総数（国・公・私立）,2,国分寺市,令和5,2023,67,4,63,3,1,－,4,－,－,－,1,－,－,1,57,－,－,－,－,－,－,－,－,－,－,－,8,2,－,2,－,4,12,7,5
総数（国・公・私立）,2,国立市,令和5,2023,69,7,62,2,3,－,5,－,2,1,4,－,1,4,47,－,－,－,－,－,－,－,－,－,－,1,12,7,1,6,5,－,20,9,11
総数（国・公・私立）,2,福生市,令和5,2023,34,2,32,1,3,1,2,－,－,－,2,－,8,－,17,－,－,－,－,－,－,－,－,－,－,1,6,－,－,－,－,28,6,4,2
総数（国・公・私立）,2,狛江市,令和5,2023,52,4,48,3,－,1,1,－,1,－,1,－,3,－,42,－,－,－,－,－,－,－,－,－,－,－,11,8,1,7,－,5,9,5,4
総数（国・公・私立）,2,東大和市,令和5,2023,42,3,39,2,－,－,3,－,－,－,3,－,－,1,33,－,－,－,－,－,－,－,－,－,－,2,28,－,－,－,－,4,11,5,6
総数（国・公・私立）,2,清瀬市,令和5,2023,126,8,118,5,2,－,4,－,－,1,5,－,15,2,92,－,－,－,－,－,－,－,－,－,－,1,10,3,－,3,5,15,22,13,9
総数（国・公・私立）,2,東久留米市,令和5,2023,93,6,87,4,2,2,3,－,－,－,1,－,－,－,81,－,－,－,－,－,－,－,－,－,－,2,9,－,－,－,－,15,21,11,10
総数（国・公・私立）,2,武蔵村山市,令和5,2023,51,7,44,4,－,1,2,－,－,－,1,－,2,－,38,－,－,－,－,－,－,－,－,2,1,3,19,14,－,14,－,2,17,10,7
総数（国・公・私立）,2,多摩市,令和5,2023,113,7,106,6,2,－,5,－,3,1,6,－,8,－,82,－,－,－,－,－,－,－,－,－,－,2,31,20,－,20,2,5,27,20,7
総数（国・公・私立）,2,稲城市,令和5,2023,126,8,118,4,3,3,4,－,－,－,4,－,5,1,102,－,－,－,－,－,－,－,－,－,－,－,7,1,－,1,－,20,28,11,17
総数（国・公・私立）,2,羽村市,令和5,2023,65,3,62,1,5,1,5,－,－,－,2,－,2,1,47,－,－,－,－,－,－,－,－,－,1,4,20,－,－,－,－,2,17,12,5
総数（国・公・私立）,2,あきる野市,令和5,2023,77,4,73,3,3,1,4,－,1,－,8,－,8,－,48,－,－,－,1,－,－,－,－,－,－,1,32,1,－,1,－,25,23,14,9
総数（国・公・私立）,2,西東京市,令和5,2023,179,15,164,7,5,4,5,－,1,－,6,－,－,4,141,－,－,－,－,－,－,－,1,－,5,7,34,7,1,6,6,23,34,19,15
総数（国・公・私立）,1,郡部,令和5,2023,42,7,35,1,3,1,3,－,－,－,2,－,2,5,25,－,－,－,－,－,－,－,－,－,－,－,4,－,－,－,－,2,8,3,5
総数（国・公・私立）,2,瑞穂町,令和5,2023,26,4,22,1,2,－,3,－,－,－,1,－,－,3,16,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,4,1,3
総数（国・公・私立）,2,日の出町,令和5,2023,16,3,13,－,1,1,－,－,－,－,1,－,2,2,9,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,2,4,2,2
総数（国・公・私立）,2,檜原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,奥多摩町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,1,島部,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,大島町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,利島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,新島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,神津島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,三宅村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,御蔵島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,八丈町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,青ヶ島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,小笠原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,0,総数,平成30,2018,840,24,816,7,95,2,66,－,－,－,－,－,－,15,652,－,3,－,－,－,－,－,－,－,－,60,189,34,－,34,－,195,36,9,27
公立,0,総数,令和元,2019,847,23,824,8,92,3,66,－,－,－,－,－,－,12,666,－,－,－,－,－,－,－,－,－,－,60,186,22,－,22,－,225,48,10,38
公立,0,総数,令和2,2020,849,21,828,7,91,3,64,－,－,－,－,－,－,11,673,－,－,－,－,－,－,－,－,－,－,62,205,16,1,15,1,245,49,9,40
公立,0,総数,令和3,2021,834,22,812,9,88,3,62,－,－,－,－,－,－,10,662,－,－,－,－,－,－,－,－,－,－,55,204,12,－,12,2,309,43,4,39
公立,0,総数,令和4,2022,811,21,790,9,85,3,61,－,－,－,－,－,－,9,644,－,－,－,－,－,－,－,－,－,－,54,163,1,－,1,3,369,41,3,38
公立,0,総数,令和5,2023,793,21,772,10,85,4,56,－,－,－,－,－,－,7,631,－,－,－,－,－,－,－,－,－,－,51,161,－,－,－,－,372,38,3,35
公立,1,区部,令和5,2023,780,21,759,10,82,4,55,－,－,－,－,－,－,7,622,－,－,－,－,－,－,－,－,－,－,50,161,－,－,－,－,358,38,3,35
公立,2,千代田区,令和5,2023,51,－,51,－,5,－,3,－,－,－,－,－,－,－,43,－,－,－,－,－,－,－,－,－,－,3,54,－,－,－,－,－,1,－,1
公立,2,中央区,令和5,2023,93,3,90,2,7,－,4,－,－,－,－,－,－,1,79,－,－,－,－,－,－,－,－,－,－,3,6,－,－,－,－,55,12,3,9
公立,2,港区,令和5,2023,77,2,75,2,8,－,3,－,－,－,－,－,－,－,64,－,－,－,－,－,－,－,－,－,－,1,35,－,－,－,－,－,－,－,－
公立,2,新宿区,令和5,2023,58,3,55,－,1,2,2,－,－,－,－,－,－,1,52,－,－,－,－,－,－,－,－,－,－,16,22,－,－,－,－,－,1,－,1
公立,2,文京区,令和5,2023,75,4,71,1,9,1,6,－,－,－,－,－,－,2,56,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,44,－,－,－
公立,2,台東区,令和5,2023,55,－,55,－,8,－,2,－,－,－,－,－,－,－,45,－,－,－,－,－,－,－,－,－,－,1,6,－,－,－,－,－,－,－,－
公立,2,墨田区,令和5,2023,19,－,19,－,3,－,1,－,－,－,－,－,－,－,15,－,－,－,－,－,－,－,－,－,－,2,1,－,－,－,－,－,－,－,－
公立,2,江東区,令和5,2023,83,2,81,2,10,－,8,－,－,－,－,－,－,－,63,－,－,－,－,－,－,－,－,－,－,4,3,－,－,－,－,－,11,－,11
公立,2,品川区,令和5,2023,38,3,35,1,3,1,3,－,－,－,－,－,－,1,29,－,－,－,－,－,－,－,－,－,－,4,1,－,－,－,－,－,－,－,－
公立,2,目黒区,令和5,2023,17,－,17,－,3,－,2,－,－,－,－,－,－,－,12,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,大田区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,世田谷区,令和5,2023,47,2,45,1,4,－,4,－,－,－,－,－,－,1,37,－,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－
公立,2,渋谷区,令和5,2023,20,－,20,－,2,－,3,－,－,－,－,－,－,－,15,－,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,1,－,－,－
公立,2,中野区,令和5,2023,11,－,11,－,2,－,2,－,－,－,－,－,－,－,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,26,8,－,8
公立,2,杉並区,令和5,2023,38,－,38,－,6,－,4,－,－,－,－,－,－,－,28,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,87,－,－,－
公立,2,豊島区,令和5,2023,7,1,6,－,1,－,－,－,－,－,－,－,－,1,5,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－
公立,2,北区,令和5,2023,12,－,12,－,2,－,1,－,－,－,－,－,－,－,9,－,－,－,－,－,－,－,－,－,－,1,14,－,－,－,－,－,－,－,－
公立,2,荒川区,令和5,2023,39,1,38,1,1,－,2,－,－,－,－,－,－,－,35,－,－,－,－,－,－,－,－,－,－,7,14,－,－,－,－,73,－,－,－
公立,2,板橋区,令和5,2023,8,－,8,－,1,－,1,－,－,－,－,－,－,－,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,練馬区,令和5,2023,19,－,19,－,3,－,3,－,－,－,－,－,－,－,13,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,67,3,－,3
公立,2,足立区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,葛飾区,令和5,2023,7,－,7,－,2,－,－,－,－,－,－,－,－,－,5,－,－,－,－,－,－,－,－,－,－,－,4,－,－,－,－,5,2,－,2
公立,2,江戸川区,令和5,2023,6,－,6,－,1,－,1,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,市部,令和5,2023,13,－,13,－,3,－,1,－,－,－,－,－,－,－,9,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,14,－,－,－
公立,2,八王子市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,立川市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,武蔵野市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,三鷹市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,青梅市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,府中市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,昭島市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,調布市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,町田市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,小金井市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,小平市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,日野市,令和5,2023,13,－,13,－,3,－,1,－,－,－,－,－,－,－,9,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,14,－,－,－
公立,2,東村山市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,国分寺市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,国立市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,福生市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,狛江市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,東大和市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,清瀬市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,東久留米市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,武蔵村山市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,多摩市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,稲城市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,羽村市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,あきる野市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,西東京市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,郡部,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,瑞穂町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,日の出町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,檜原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,奥多摩町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,1,島部,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,大島町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,利島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,新島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,神津島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
