種別,地域階層,地域,和暦（年度）,西暦（年度）,不就学者数（人）,不就学者数／就学免除者（人）,不就学者数／就学免除者／６～１１歳（人）,不就学者数／就学免除者／６～１１歳／男（人）,不就学者数／就学免除者／６～１１歳／女（人）,不就学者数／就学免除者／１２～１４歳（人）,不就学者数／就学免除者／１２～１４歳／男（人）,不就学者数／就学免除者／１２～１４歳／女（人）,不就学者数／就学猶予者（人）,不就学者数／就学猶予者／６～１１歳（人）,不就学者数／就学猶予者／６～１１歳／男（人）,不就学者数／就学猶予者／６～１１歳／女（人）,不就学者数／就学猶予者／１２～１４歳（人）,不就学者数／就学猶予者／１２～１４歳／男（人）,不就学者数／就学猶予者／１２～１４歳／女（人）,１年以上居所不明者数（人）,死亡者数（前年度間）（人）
総数（国・公・私立）,2,中野区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,杉並区,令和5,2023,28,28,15,8,7,13,6,7,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,豊島区,令和5,2023,12,12,6,3,3,6,3,3,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,北区,令和5,2023,43,43,27,18,9,16,7,9,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,荒川区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,板橋区,令和5,2023,58,－,－,－,－,－,－,－,58,35,17,18,23,13,10,－,2
総数（国・公・私立）,2,練馬区,令和5,2023,4,4,2,－,2,2,1,1,－,－,－,－,－,－,－,－,8
総数（国・公・私立）,2,足立区,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,葛飾区,令和5,2023,7,5,3,2,1,2,1,1,2,2,1,1,－,－,－,2,4
総数（国・公・私立）,2,江戸川区,令和5,2023,26,26,18,8,10,8,3,5,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,1,市部,令和5,2023,109,84,53,29,24,31,15,16,25,14,8,6,11,7,4,2,20
総数（国・公・私立）,2,八王子市,令和5,2023,2,2,1,1,－,1,－,1,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,立川市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,武蔵野市,令和5,2023,4,－,－,－,－,－,－,－,4,2,1,1,2,－,2,－,－
総数（国・公・私立）,2,三鷹市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,青梅市,令和5,2023,3,3,2,1,1,1,－,1,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,府中市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,昭島市,令和5,2023,11,11,6,2,4,5,1,4,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,調布市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,町田市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,小金井市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,小平市,令和5,2023,1,1,－,－,－,1,－,1,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,日野市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,東村山市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,国分寺市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,国立市,令和5,2023,1,－,－,－,－,－,－,－,1,1,1,－,－,－,－,－,－
総数（国・公・私立）,2,福生市,令和5,2023,19,－,－,－,－,－,－,－,19,10,5,5,9,7,2,2,－
総数（国・公・私立）,2,狛江市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,2,東大和市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,清瀬市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,東久留米市,令和5,2023,12,12,9,4,5,3,－,3,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,武蔵村山市,令和5,2023,44,44,27,17,10,17,11,6,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,多摩市,令和5,2023,1,－,－,－,－,－,－,－,1,1,1,－,－,－,－,－,1
総数（国・公・私立）,2,稲城市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,羽村市,令和5,2023,11,11,8,4,4,3,3,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,あきる野市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
総数（国・公・私立）,2,西東京市,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,1,郡部,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,瑞穂町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,日の出町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,檜原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,奥多摩町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,1,島部,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,大島町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,利島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,新島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,神津島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,三宅村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,御蔵島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,八丈町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,青ヶ島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,小笠原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,
１９－２　不就学学齢児童生徒調査　区市町村別不就学者数、１年以上居所不明者数及び死亡者数,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,
