地域階層,地域コード,国・地域(人),総数,男,女,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バハレーン,ブータン,バングラデシュ,ブルネイ,カンボディア,スリ・ランカ,中国,サイプラス,インド,インドネシア,イラン,イラク,イスラエル,ジョルダン,韓国・朝鮮,クウェイト,ラオス,レバノン,マレイシア,モンゴル,オマーン,モルディヴ,ネパール,パキスタン,フィリピン,カタル,サウディ・アラビア,シリア,シンガポール,タイ,トルコ,ヴィエトナム,イエメン,ビルマ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェッコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルグ,ラトヴィア,リトアニア,マルタ,モルドヴァ,マケドニア,オランダ,ノールウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サン・マリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,ユーゴスラヴィア,アルメニア,アゼルバイジャン,アンドラ,グルジア,スロヴェニア,スロヴァキア,ボスニア・ヘルツェゴヴィナ,ユーゴースラヴィア連邦共和国,チェッコ・スロヴァキア,モナコ,ソヴィエト連邦,アフリカ,アルジェリア,ブルンディ,ボツワナ,カメルーン,中央アフリカ,チャード,コンゴー,コンゴー民主共和国,ベナン,ジブティ,エティオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,象牙海岸共和国,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシァス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラ・レオーネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セイシェル,タンザニア,トーゴー,テュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナ・ファソ,ザンビア,ジンバブエ,アンゴラ,ザイール,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタ・リカ,キューバ,ドミニカ共和国,ドミニカ,エル・サルヴァドル,グｱテマラ,ハイティ,ホンデュラス,ジャマイカ,メキシコ,ニカラグｱ,パナマ,セント・ルシア,セント・ヴィンセント,セント・クリストファー・ネイヴィース,トリニダッド・トバゴ,米国,グレナダ,南米,アルゼンティン,ボリヴィア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグｱイ,ペルー,スリナム,ウルグｱイ,ヴェネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュー・ジーランド,ナウル,パプア・ニューギニア,パラオ,ソロモン,トンガ,トゥヴァル,サモア,無国籍
2,13109,品川区,8869,4402,4467,7048,1,-,254,-,-,85,-,10,18,2729,-,177,68,49,-,12,-,2371,1,5,1,75,1,-,-,194,68,643,-,-,-,48,106,11,121,-,-,700,-,13,9,1,-,-,1,10,-,10,92,102,-,2,1,18,19,-,-,-,-,-,-,-,-,-,11,7,-,6,13,37,-,15,23,25,-,-,278,-,2,1,-,-,-,-,1,-,1,2,-,-,-,62,-,-,-,6,-,-,-,2,-,-,6,-,-,7,3,-,1,2,-,-,-,-,1,-,4,-,-,-,-,13,-,-,4,-,-,-,-,-,-,2,-,-,2,4,3,-,-,2,-,-,730,-,-,-,96,1,3,5,-,-,-,-,3,1,5,1,-,-,-,-,-,615,-,173,7,2,103,-,21,-,-,5,34,-,1,-,148,124,-,-,-,-,24,-,-,-,-,-,-,-,8
2,13110,目黒区,8029,4318,3711,4955,-,-,39,-,1,49,-,9,86,1571,-,198,184,37,-,29,3,1533,-,12,1,129,13,1,-,219,45,604,-,1,1,29,104,14,42,1,-,1298,1,9,12,5,1,7,2,29,1,37,208,193,3,10,-,27,47,-,-,-,-,-,-,-,3,1,27,8,12,6,29,29,-,22,59,53,-,-,443,-,2,3,-,-,-,-,4,3,-,1,-,1,-,88,2,1,-,1,-,1,-,4,-,-,6,-,-,12,1,-,-,5,-,-,-,-,-,-,3,-,-,-,-,12,-,-,7,-,-,-,-,-,-,2,-,4,2,8,11,-,4,1,1,-,1256,-,-,-,156,1,2,-,1,-,1,-,1,4,12,1,-,-,-,-,-,1077,-,138,20,-,64,18,13,1,-,-,19,-,1,2,284,237,3,-,-,-,44,-,-,-,-,-,-,-,10
2,13111,大田区,14195,6616,7579,11841,-,-,59,-,1,171,-,7,48,4226,-,263,130,87,-,11,1,4114,-,13,-,95,10,-,-,130,93,1756,-,2,1,62,298,5,258,-,-,960,-,24,7,1,-,-,1,12,1,12,74,314,4,4,-,13,25,-,-,-,-,1,6,2,-,-,25,7,3,4,13,55,-,20,24,31,-,-,268,5,2,-,-,-,-,-,1,-,1,-,-,-,-,89,-,-,-,9,-,-,-,-,-,-,5,-,1,12,2,-,2,4,-,-,-,2,2,-,5,-,-,-,-,23,-,-,2,-,-,-,-,-,-,-,-,1,2,2,14,-,-,1,-,-,657,-,-,-,91,2,1,1,-,-,2,1,9,1,17,-,-,-,-,-,-,532,-,481,19,10,316,3,25,1,-,5,101,-,-,1,129,91,5,-,-,-,33,-,-,-,-,-,-,-,38
2,13112,世田谷区,14125,7332,6793,8871,2,-,84,-,-,108,1,8,49,2759,1,255,138,75,1,55,3,3849,-,12,2,153,44,-,-,39,46,874,-,6,2,61,186,28,29,-,1,2204,1,30,41,25,4,-,7,29,-,85,249,436,7,14,7,60,83,-,4,1,-,-,2,1,-,1,40,10,21,17,19,83,-,45,103,71,-,1,666,26,3,5,-,-,-,-,-,2,1,1,2,-,1,131,4,-,1,7,-,-,1,3,1,-,1,-,-,21,3,-,-,9,-,1,-,-,-,-,6,-,-,-,-,14,-,-,5,-,-,4,-,-,2,17,-,4,1,10,15,-,1,-,-,-,2178,-,1,-,317,-,6,-,-,1,1,1,1,4,54,2,-,-,-,-,1,1789,-,322,26,5,188,9,35,-,-,7,46,-,1,5,410,305,2,-,-,-,90,-,3,1,3,4,-,2,9
2,13113,渋谷区,10566,5835,4731,4773,-,1,63,-,2,31,-,12,21,1535,-,172,65,29,-,68,3,1748,1,6,5,216,9,3,2,79,32,384,-,1,2,71,133,43,35,1,-,2304,-,16,21,16,1,1,2,28,1,36,418,137,10,3,1,72,87,-,-,-,-,-,1,1,-,1,50,11,7,4,15,52,-,23,143,28,-,-,1100,10,-,1,1,-,-,1,1,-,-,4,-,-,-,110,-,-,1,3,-,-,-,1,1,1,5,-,1,14,-,-,3,12,-,-,-,-,1,1,-,1,2,-,-,6,-,-,1,1,-,2,1,-,-,6,2,4,3,12,21,-,-,4,-,-,2641,1,1,-,267,1,3,-,1,-,-,2,2,2,28,-,1,-,1,-,-,2330,1,218,7,1,125,11,29,2,-,4,29,-,4,6,512,432,4,-,1,-,69,-,2,-,-,2,-,2,8
2,13114,中野区,10912,5720,5192,9222,-,1,434,-,-,45,-,3,37,4473,-,160,66,48,3,62,-,2970,-,1,-,203,2,-,-,29,11,453,-,2,-,47,139,24,9,-,-,651,-,5,11,-,2,-,1,8,-,4,87,47,3,3,-,21,27,-,-,-,-,-,-,1,-,-,14,3,5,9,10,22,-,31,5,7,-,-,319,3,2,-,1,-,-,-,-,-,-,-,-,-,-,169,-,1,-,1,-,-,-,1,2,1,2,-,-,44,59,2,2,5,1,-,5,-,1,-,3,-,-,-,-,15,-,-,5,5,-,-,-,-,-,-,-,9,-,1,4,-,-,-,-,-,516,1,1,-,132,1,-,4,2,3,-,-,1,3,5,-,1,-,-,-,-,362,-,190,8,-,69,-,79,2,-,2,29,1,-,-,161,132,1,-,-,-,25,-,1,-,1,1,-,-,3
2,13115,杉並区,10519,5253,5266,8523,1,-,288,-,-,84,-,7,19,3809,-,91,53,55,1,9,-,3073,-,2,-,114,15,-,-,94,26,559,-,6,-,36,128,29,24,-,-,688,-,6,6,3,-,2,5,11,-,13,80,59,3,4,1,10,31,-,-,-,1,-,1,-,-,-,18,3,5,6,5,33,-,39,6,11,-,-,310,7,1,1,-,-,-,-,2,1,-,4,-,-,-,95,4,1,-,2,-,-,-,-,1,-,-,-,-,25,20,-,3,-,-,-,-,-,2,-,1,1,-,-,-,13,-,-,4,5,-,1,-,-,-,1,-,1,1,1,5,1,1,1,-,-,853,-,3,-,200,1,1,2,-,1,2,-,1,4,12,-,-,-,-,-,-,626,-,178,10,4,91,2,39,-,-,1,26,1,1,3,174,152,1,-,-,-,20,-,-,1,-,-,-,-,8
2,13116,豊島区,14781,7811,6970,13357,-,-,834,-,1,100,1,4,32,7629,-,67,69,40,-,8,-,3240,-,2,-,461,11,-,-,30,49,501,-,-,5,62,171,9,31,-,-,565,-,6,9,1,1,-,2,4,2,1,121,30,5,2,1,5,23,-,-,-,-,-,-,1,-,1,8,1,12,4,26,30,-,10,5,1,-,-,231,8,10,-,-,-,-,-,1,2,-,1,-,-,-,98,1,-,-,1,-,-,-,2,-,-,2,-,-,29,1,-,1,1,1,-,2,-,1,-,4,-,-,-,-,34,-,-,-,-,-,2,-,-,-,-,-,10,1,3,2,-,-,-,-,-,476,2,1,-,91,-,4,10,1,1,-,-,2,3,9,1,-,-,-,-,1,350,-,177,7,2,106,9,23,-,-,6,16,-,1,7,93,72,-,-,-,-,20,-,-,-,-,-,-,1,15
2,13117,北区,11293,5587,5706,10492,1,-,247,-,-,304,-,6,25,5453,-,81,44,31,-,5,2,3208,-,6,-,73,4,-,-,23,36,762,-,1,1,35,100,7,37,-,-,242,-,1,3,-,1,-,1,2,-,2,18,17,2,4,-,5,19,-,-,-,-,-,1,-,-,-,1,-,3,2,3,19,-,5,9,4,-,-,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,-,-,-,1,-,-,-,1,-,-,-,-,-,18,4,-,-,1,-,-,-,-,3,-,3,-,2,-,-,10,-,-,-,-,-,-,-,-,-,1,-,3,13,3,2,-,-,1,-,-,173,1,-,-,26,2,-,2,3,-,-,-,6,-,3,-,-,-,-,-,-,130,-,255,5,4,204,3,14,3,-,2,18,1,-,1,53,42,-,-,-,-,10,-,-,-,-,1,-,-,12
2,13118,荒川区,10979,5091,5888,10439,-,-,32,-,-,51,-,-,11,2417,-,29,23,40,-,-,-,7111,-,4,-,16,4,-,-,29,47,490,-,-,-,15,84,4,32,-,-,126,1,-,1,-,1,1,1,2,-,-,18,4,-,-,-,3,7,-,-,-,-,-,-,1,-,-,4,1,2,-,4,14,-,5,1,4,-,-,45,4,2,-,-,-,-,-,-,-,-,-,-,-,-,119,-,-,-,-,-,-,-,-,-,-,4,-,-,27,-,-,1,-,1,-,29,-,1,-,-,-,2,-,-,29,-,-,4,1,-,-,-,-,-,-,-,2,9,6,3,-,-,-,-,-,211,28,63,-,26,5,-,1,-,1,8,-,5,-,7,-,-,-,-,-,-,67,-,53,2,-,34,2,5,-,-,2,7,-,1,-,27,18,1,-,-,-,8,-,-,-,-,-,-,-,4
2,13119,板橋区,12936,6086,6850,11640,1,-,128,-,-,130,-,2,10,6003,2,74,92,82,1,7,1,3371,-,2,-,149,11,1,-,66,113,1124,-,1,9,35,170,13,42,-,-,359,-,4,4,3,1,-,1,3,1,-,37,32,2,7,-,6,11,-,-,-,-,-,1,-,-,2,11,-,4,9,8,12,-,10,9,4,-,-,169,3,1,1,-,1,-,-,-,-,1,1,-,-,-,246,5,-,-,-,-,-,-,10,-,-,10,-,-,48,1,1,-,5,1,-,6,2,3,-,3,1,-,-,-,127,-,-,1,-,-,6,-,-,-,1,1,5,3,1,5,-,-,-,-,-,316,9,10,-,48,2,1,2,-,-,-,1,3,1,5,-,1,-,-,-,-,233,-,291,3,21,205,1,27,-,-,2,30,1,-,1,71,50,1,-,-,-,18,-,-,-,-,1,-,1,13
2,13120,練馬区,10765,5065,5700,9159,2,-,57,-,-,91,-,5,40,3882,-,171,80,78,-,17,4,3389,-,3,2,132,-,-,1,58,88,799,-,-,1,31,180,15,33,-,-,489,-,7,17,6,-,-,-,4,-,3,60,39,2,7,-,7,23,-,-,-,-,-,-,-,-,1,8,-,10,4,25,29,-,24,6,8,-,-,191,4,2,2,-,-,-,-,-,-,-,-,-,-,-,167,-,-,-,4,-,-,-,2,-,-,3,-,1,43,6,1,2,3,-,-,-,1,4,-,4,1,1,-,-,65,1,-,3,2,-,4,-,-,-,1,2,3,2,1,5,-,2,-,-,-,553,-,-,-,104,1,1,3,-,1,1,-,1,-,15,-,-,-,-,-,-,426,-,238,13,3,164,5,30,1,-,10,11,-,-,1,149,104,-,-,-,-,37,-,6,-,-,2,-,-,10
2,13121,足立区,18793,8663,10130,17828,-,-,26,-,-,105,-,4,34,4716,4,88,101,95,2,1,2,9025,-,3,-,97,7,-,-,24,273,2768,-,-,2,20,341,9,81,-,-,228,-,3,2,2,2,-,1,1,-,2,26,10,1,-,-,3,11,-,2,-,-,-,1,1,-,-,5,2,6,1,13,27,-,3,3,1,-,-,93,6,-,-,-,-,-,-,-,-,-,-,-,-,-,158,1,-,-,1,1,-,-,4,-,-,-,-,-,50,2,-,-,3,-,-,-,1,3,-,-,-,1,-,-,54,-,-,4,-,-,1,-,-,-,4,1,4,13,6,2,-,-,-,-,2,161,-,1,-,25,-,-,3,-,-,-,-,-,-,11,-,-,-,-,-,-,121,-,346,3,8,272,4,11,1,-,3,42,-,2,-,59,34,1,-,-,-,23,-,1,-,-,-,-,-,13
2,13122,葛飾区,9464,4267,5197,8834,-,-,27,-,-,92,-,1,34,2940,-,59,32,50,-,-,-,3997,-,1,-,35,26,-,-,7,120,1207,-,-,-,18,141,8,39,-,-,197,-,53,1,1,-,-,2,2,1,-,10,4,-,-,-,4,4,-,-,-,-,-,-,1,-,-,3,-,3,2,6,13,-,7,3,4,-,-,70,1,-,-,-,-,-,-,-,-,-,2,-,-,-,141,-,-,-,2,-,-,-,2,-,-,17,-,-,26,4,-,-,2,-,-,-,-,1,-,-,-,1,-,-,26,-,-,2,-,-,3,-,-,-,-,1,-,51,-,2,-,-,1,-,-,157,1,-,-,29,-,1,-,1,-,-,-,-,1,3,1,-,-,-,-,1,119,-,128,3,2,94,-,9,-,-,1,18,-,-,1,4,1,1,-,-,-,2,-,-,-,-,-,-,-,3
2,13123,江戸川区,15952,7092,8860,14840,-,-,58,-,-,145,1,-,53,6133,-,243,91,104,-,4,1,5145,-,-,-,63,5,-,-,17,196,2269,-,-,-,31,239,6,36,-,-,377,-,2,3,2,3,1,-,2,-,4,25,13,-,3,1,2,5,-,3,-,-,-,11,-,-,-,2,1,3,1,65,62,-,4,5,2,-,-,140,9,1,1,-,-,-,-,-,1,-,-,-,-,-,88,-,-,-,1,-,-,-,-,-,-,1,-,-,35,-,-,3,5,-,-,1,-,-,-,1,-,2,-,-,28,-,-,2,1,-,-,-,-,-,1,-,-,4,2,1,-,-,-,-,-,263,1,2,-,52,5,2,2,1,1,-,-,2,-,22,-,-,-,-,-,-,173,-,313,7,5,162,-,33,1,-,2,102,1,-,-,61,49,1,-,-,-,11,-,-,-,-,-,-,-,10
1,13200,市部,49415,23291,26124,39191,23,2,116,1,2,274,-,35,257,13576,1,341,463,332,21,22,11,15940,-,77,4,382,72,1,1,170,202,5350,-,9,14,111,934,58,388,1,-,2051,1,41,15,25,3,3,11,19,1,26,205,194,8,50,1,29,70,2,2,-,1,1,3,3,1,2,38,9,47,21,61,214,-,44,38,28,-,-,742,31,32,6,1,2,-,4,1,5,-,4,1,-,5,570,11,-,-,2,-,-,1,10,1,-,9,1,2,159,20,1,6,21,-,2,2,3,5,-,25,1,2,-,-,125,-,-,13,16,-,4,-,-,1,20,-,12,6,13,71,-,3,1,1,-,3433,2,2,-,452,9,12,11,1,4,1,-,10,2,57,5,1,-,1,-,2,2861,-,3539,84,35,1888,23,126,7,-,29,1334,-,1,12,585,420,21,1,2,1,121,-,4,1,1,7,-,6,46
2,13201,八王子市,5672,2458,3214,4562,6,-,15,-,-,49,-,9,26,1607,-,28,44,53,15,2,3,1633,-,1,-,76,11,-,-,25,18,788,-,5,1,14,48,6,79,-,-,224,1,5,4,2,-,-,-,2,-,2,18,26,-,2,-,3,6,-,-,-,-,-,-,1,-,-,4,2,3,1,13,33,-,3,4,1,-,-,77,2,-,-,-,-,-,4,1,-,-,4,-,-,-,99,1,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,12,-,-,-,1,-,-,2,-,-,-,-,8,-,-,3,-,-,3,-,-,1,1,-,2,2,2,37,-,1,-,1,-,236,-,-,-,38,2,4,-,-,1,-,-,2,-,6,-,-,-,-,-,-,183,-,479,34,6,202,3,19,3,-,7,205,-,-,-,66,53,1,-,-,1,9,-,-,-,-,-,-,2,6
