 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
10号西岸壁,57 ,"625,912 ",552 ,"6,048,954 ",-,-,-,-,57 ,"625,912 ",552 ,"6,048,954 "
10号東岸壁,27 ,"12,039 ",257 ,"113,651 ",-,-,-,-,27 ,"12,039 ",257 ,"113,651 "
東京港フェリーふ頭,29 ,"366,444 ",256 ,"3,234,816 ",-,-,-,-,29 ,"366,444 ",256 ,"3,234,816 "
多目的ふ頭,5 ,"2,381 ",13 ,"27,573 ",-,-,-,-,5 ,"2,381 ",13 ,"27,573 "
辰巳ふ頭,64 ,"21,309 ",670 ,"231,849 ",-,-,-,-,64 ,"21,309 ",670 ,"231,849 "
青海コンテナふ頭（公共）,118 ,"1,267,797 ","1,034 ","12,208,336 ",69 ,"1,231,658 ",659 ,"11,895,302 ",49 ,"36,139 ",375 ,"313,034 "
有明ふ頭,3 ,"3,471 ",40 ,"35,188 ",-,-,-,-,3 ,"3,471 ",40 ,"35,188 "
大井水産物ふ頭,1 ,"1,717 ",3 ,"10,241 ",-,-,-,-,1 ,"1,717 ",3 ,"10,241 "
大井食品ふ頭（OL）,26 ,"26,576 ",173 ,"634,232 ",1 ,"22,468 ",27 ,"609,044 ",25 ,"4,108 ",146 ,"25,188 "
大井食品ふ頭（OM）,5 ,"44,876 ",40 ,"359,883 ",5 ,"44,876 ",40 ,"359,883 ",-,-,-,-
大井食品ふ頭（ON）,-,-,9 ,"82,143 ",-,-,6 ,"68,795 ",-,-,3 ,"13,348 "
若洲内貿ふ頭,8 ,"80,272 ",104 ,"1,043,536 ",-,-,-,-,8 ,"80,272 ",104 ,"1,043,536 "
15号地木材ふ頭,-,-,9 ,"137,366 ",-,-,5 ,"126,790 ",-,-,4 ,"10,576 "
若洲建材ふ頭,35 ,"19,706 ",309 ,"174,657 ",-,-,-,-,35 ,"19,706 ",309 ,"174,657 "
大井建材ふ頭,78 ,"43,339 ",575 ,"330,594 ",-,-,-,-,78 ,"43,339 ",575 ,"330,594 "
城南島建設発生土ふ頭,62 ,"37,218 ",620 ,"401,266 ",-,-,-,-,62 ,"37,218 ",620 ,"401,266 "
中央防波堤内側ばら物ふ頭,4 ,"2,949 ",35 ,"209,623 ",1 ,"1,452 ",11 ,"195,287 ",3 ,"1,497 ",24 ,"14,336 "
中央防波堤内側建設発生土ふ頭,12 ,"14,357 ",63 ,"68,259 ",-,-,-,-,12 ,"14,357 ",63 ,"68,259 "
中央防波堤内側内貿ふ頭,22 ,"232,792 ",186 ,"1,968,929 ",-,-,-,-,22 ,"232,792 ",186 ,"1,968,929 "
官公庁（晴海）,-,-,11 ,"31,014 ",-,-,-,-,-,-,11 ,"31,014 "
官公庁（月島）,5 ,995 ,36 ,"7,158 ",-,-,-,-,5 ,995 ,36 ,"7,158 "
官公庁（有明）,1 ,"3,884 ",10 ,"29,131 ",-,-,-,-,1 ,"3,884 ",10 ,"29,131 "
東京港埠頭㈱計,303 ,"6,906,187 ","2,830 ","67,213,059 ",179 ,"6,727,098 ","1,778 ","65,553,860 ",124 ,"179,089 ","1,052 ","1,659,199 "
青海コンテナふ頭(埠頭㈱),24 ,"1,077,442 ",383 ,"12,119,022 ",22 ,"1,075,944 ",316 ,"12,045,451 ",2 ,"1,498 ",67 ,"73,571 "
お台場ライナーふ頭,25 ,"145,605 ",237 ,"1,487,691 ",8 ,"83,442 ",77 ,"849,840 ",17 ,"62,163 ",160 ,"637,851 "
大井コンテナふ頭,254 ,"5,683,140 ","2,210 ","53,606,346 ",149 ,"5,567,712 ","1,385 ","52,658,569 ",105 ,"115,428 ",825 ,"947,777 "
民間計,520 ,"1,647,629 ","4,502 ","12,116,396 ",78 ,"1,199,389 ",520 ,"7,795,494 ",442 ,"448,240 ","3,982 ","4,320,902 "
,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
