指定年,所管,施設名称,施設名ヨミガナ（カタカナ）,住所,ホームページURL,開放可能日等（開館時間等）,受入れ可能人数,対象の場所,クーリングシェルターの指定,TOKYOクールシェアスポットの登録
令和6年,区市町村施設,東陽図書館,トウヨウトショカン,江東区東陽2-3-6,https://www.koto-lib.tokyo.jp/,（月～土）9:00～21:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日,35人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,豊洲図書館,トヨストショカン,江東区豊洲2-2-18,https://www.koto-lib.tokyo.jp/,（月～土）9:00～21:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日,4人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,東雲図書館,シノノメトショカン,江東区東雲2-7-5-201,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日,11人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,古石場図書館,フルイシバトショカン,江東区古石場2-13-2,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第1・第3月曜日（祝日の場合は開館）、毎月第3金曜日,6人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,城東図書館,ジョウトウトショカン,江東区大島4-5-1,https://www.koto-lib.tokyo.jp/,（月～土）9:00～21:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日,19人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,亀戸図書館,カメイドトショカン,江東区亀戸7-39-9,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日,8人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,砂町図書館,スナマチトショカン,江東区北砂5-1-7,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第1・第3月曜日（祝日の場合は開館）、毎月第3金曜日,21人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,東大島図書館,ヒガシオオジマトショカン,江東区大島9-4-2-101,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日、改修工事期間中（7月25日から10月10日まで）,9人,新聞・雑誌コーナー,〇,〇
令和6年,区市町村施設,こどもプラザ図書館,コドモプラザトショカン,江東区住吉1-9-8,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第3金曜日,3人,読書サロン,〇,〇
令和6年,区市町村施設,有明こども図書館,アリアケコドモトショカン,江東区有明2－3－5,https://www.koto-lib.tokyo.jp/,（月～土）9:00～20:00　（日・祝日）9:00～19:00休館日:毎月第2・第4月曜日（祝日の場合は翌日）、毎月第3金曜日,9人,新聞・雑誌コーナー,〇,〇
令和6年,都施設,豊洲市場,トヨスシジョウ,江東区豊洲6-6-1,https://www.shijou.metro.tokyo.lg.jp/,"利用時間：5:00～17:00,※市場休業日を除く（中央卸売市場ＨＰを確認）",20人,施設管理棟 1階　団体見学待合室,〇,
令和6年,都施設,東京都水の科学館,トウキョウトミズノカガクカン,江東区有明3-1-8,https://www.mizunokagaku.jp/,"休館日：月曜日（ただし、休日に当たる場合はその翌日）,年末年始（12月28日から１月４日まで）,開館時間：9:30～17:00まで,（入館は16:30まで）","最大１日に1,000人程度",館内各所,〇,
令和6年,都施設,東京都虹の下水道館,トウキョウトニジノゲスイドウカン,江東区有明2-3-5 有明水再生センター5階,https://www.nijinogesuidoukan.jp/,"【開館日】火曜日～日曜日　9:00～16:30（入館は16:00まで）,【休館日】月曜日、年末年始（12月29日～1月3日）,※月曜日が祝休日の場合は開館し、その翌日が休館,※夏休み期間は無休,※下水道の日（9月1日）と都民の日（10月1日）は開館",100人,館内各所,〇,
令和6年,都施設,水素情報館　東京スイソミル,スイソジョウホウカン　トウキョウスイソミル,江東区潮見1-3-2,https://www.tokyo-suisomiru.jp/,"火～日：9:00～17:00,（最終入館 16:30）",30人程度,館内各所,〇,
令和6年,都施設,東京都環境科学研究所,トウキョウトカンキョウカガクケンキュウジョ,江東区新砂1-7-5,https://www.tokyokankyo.jp/kankyoken/,平日：9:00～16:00,16人程度,1階玄関ホール,〇,
令和6年,都施設,東京国際クルーズターミナル,トウキョウコクサイクルーズターミナル,江東区青海2丁目地先,https://www.tptc.co.jp/terminal/guide/cruise,原則 9:00～17:00（客船寄港時やイベント利用時等を除く）,130人(椅子の利用状況によって変動あり),館内各所,〇,
令和6年,都施設,TOKYOミナトリエ,トウキョウミナトリエ,江東区青海2-4-24,https://www.tokyo-minatorie.com/,"火曜日～木曜日、日曜日　 10:00～18:00,金曜日、土曜日、祝前日　 10:00～21:00,（最終入室は閉室時間の30分前まで、月曜、年末年始は休館）",200人,館内各所,〇,
令和6年,都施設,東京夢の島マリーナ,トウキョウユメノシママリーナ,江東区夢の島3-2-1,"https://yumenoshima-marina.subaru-kougyou.jp/,※令和６年４月１日以降下記URLに変更,https://www.yumenoshima-marina.com/","【営業時間】,休館日：火（7月、8月は無休）,利用時間：9:00～18:00（5、6、9月の土日祝日は20:00まで。7、8月は平日 9:00～19:00、土日祝日 8:00～20:00）",80人程度 ,クラブハウス（アトリウム）,〇,
令和6年,都施設,辰巳の森海浜公園 ,タツミノモリカイヒンコウエン,江東区辰巳2-1-35,https://www.tptc.co.jp/park/03_01/other/01_1,利用時間：8:30～17:30,20人,管理事務所1階（エントランス）,〇,
令和6年,都施設,有明客船ターミナル,アリアケキャクセンターミナル,江東区有明3-12-13,http://www.tptc.co.jp/terminal/guide/ariake,利用時間：9:00～17:00,20人程度（待合所の利用状況により変動あり）,待合所,〇,
令和6年,都施設,テレコムセンタービル,テレコムセンタービル,江東区青海2-5-10,https://www.tokyo-teleport.co.jp/,7:00~20:00,570人,1階 エントランス,〇,
令和6年,都施設,青海フロンティアビル,アオミフロンティアビル,江東区青海2-4-24,https://www.tokyo-teleport.co.jp/,7:00~22:00,202人,1階 エントランス,〇,
令和6年,都施設,有明フロンティアビル,アリアケフロンティアビル,江東区有明3-7-26,https://www.tokyo-teleport.co.jp/,7:00~23:00,326人,1階 エントランス,〇,
令和6年,都施設,東京都現代美術館,トウキョウトゲンダイビジュツカン,江東区三好4-1-1,https://www.mot-art-museum.jp/,"10:00?18:00,休館日：月曜日（祝日の場合は翌平日）、展示替期間、年末年始",44人,エントランスホール等,〇,
令和6年,都施設,海の森水上競技場,ウミノモリスイジョウキョウギジョウ,江東区海の森3-6-44,https://www.uminomori.tokyo/,"9:00～17:00,・休館日及び専用利用（貸切）時はご利用頂けませんので、事前に施設にお問い合わせください。",140人,食堂,〇,
令和6年,都施設,有明テニスの森テニス施設,アリアケテニスノモリテニスシセツ,江東区有明2-2-22,https://www.tptc.co.jp/park/02_03,"8:30～21:00,・お車でのご来場はできません,・専用利用（貸切）時はご利用頂けませんので、事前に施設にお問い合わせください。",143人,クラブハウスホール,〇,
令和6年,都施設,東京アクアティクスセンター,トウキョウアクアティクスセンター,江東区辰巳2-2-1,https://www.tef.or.jp/tac/index.html,"開館時間：9:00～21:00,休館日及び専用利用（貸切）時はご利用頂けませんので、事前に施設にお問い合わせください。",374人,1階及び2階エントランス,〇,
令和6年,都施設,木場公園,キバコウエン,江東区平野4-6-1,https://www.tokyo-park.or.jp/park/format/index020.html,木場ミドリアム開館時間：10:00～16:30、無料（月曜休館）,119人,木場ミドリアム,〇,
